step,total_loss_mean,training_success_rate,action_saturation_ratio,hidden_dynamics_separation_ratio,rdac_actor_head_grad_norm_before_clip,rdac_actor_head_grad_norm_after_clip,mean_final_position_norm,mean_final_angular_velocity_norm
0,9.3027,0,0.183594,0.14757,89.7912,49.6343,0.141304,26.8746
1000,1.61829,0.25,0,0.0759665,67.132,48.0935,0.436741,9.07986
2000,0.447967,0,0,0.866479,7.83932,7.83932,1.43226,1.26057
3000,1.53599,0,0,0.313372,485.89,48.0427,3.95945,3.71452
4000,0.667429,0,0,0.711921,15.2658,15.2658,3.21678,0.769029
5000,0.63334,0,0,0.947977,189.675,45.592,2.1198,0.813022
6000,0.942333,0,0,0.271355,49.2229,47.6043,3.05303,3.82052
7000,0.628112,0,0.00341797,0.325124,70.68,44.3788,1.36924,0.793214
8000,0.386574,0.25,0,0.471904,18.4162,18.4162,1.99086,0.586432
9000,0.388446,0.25,0,0.659849,33.3448,33.3448,1.30555,1.28634
10000,0.22433,0,0,0.412229,32.508,32.508,1.5267,1.05037
11000,1.01694,0,0,0.157507,157.097,46.3223,3.36808,2.95799
12000,0.393499,0,0,0.393892,39.4834,39.4834,2.65992,0.575666
13000,0.515294,0,0,0.508091,66.3091,47.1611,2.72942,0.32287
14000,0.395499,0,0,0.269981,18.0958,18.0958,2.57423,1.27552
15000,0.384322,0,0,0.315548,35.5836,35.5836,1.84132,0.321359
16000,0.270893,0,0,0.25697,14.4355,14.4355,2.25313,0.617284
17000,0.555184,0.25,0,0.323532,34.8856,34.8856,1.64502,0.581268
18000,0.300582,0.25,0,0.316169,13.2338,13.2338,1.76093,1.40438
19000,3.59674,0,0.0913086,0.775538,1088.18,48.0794,4.21299,6.37415
20000,0.419066,0,0,0.420061,12.7629,12.7629,2.11089,1.68411
21000,0.741142,0.5,0,0.352524,65.0253,45.6094,1.16685,0.458092
22000,0.542721,0,0,0.32188,25.1732,25.1732,2.83331,2.32013
23000,0.830142,0,0,0.887748,123.587,46.2341,1.86021,0.552936
24000,0.253924,0,0,0.0765874,27.9877,27.9877,2.23288,0.799911
25000,0.745295,0,0.00830078,0.203669,176.375,48.0123,1.88307,2.14636
26000,0.208205,0,0,0.366498,33.3842,33.3842,1.86175,0.972455
27000,1.30838,0,0.118164,0.157237,523.996,48.4009,2.58609,3.48646
28000,0.23557,0,0,0.301788,23.1228,23.1228,1.74306,1.18832
29000,0.290446,0.25,0,1.28922,91.4254,47.4162,1.26845,0.351592
30000,0.735547,0,0.0366211,0.460208,105.387,45.6963,2.63155,2.64244
31000,0.39839,0.75,0,0.559987,45.6595,45.6595,1.01682,0.54496
32000,0.443956,0.25,0,1.45339,12.8019,12.8019,2.19139,0.90672
33000,0.402402,0,0,0.113694,100.013,46.9631,1.50135,1.8408
34000,0.192981,0,0,0.178354,29.3163,29.3163,1.84279,0.899083
35000,0.780641,0.5,0.0541992,0.133283,244.888,48.0397,1.68563,2.87005
36000,0.219651,0.25,0,0.236835,26.8498,26.8498,1.57587,1.47957
37000,0.427737,0.25,0,0.280209,87.5002,44.065,1.23118,0.63833
38000,0.607075,0,0.0537109,0.186698,75.1457,46.7208,2.35465,3.02079
39000,0.954491,0.5,0.0297852,0.802015,211.021,44.3759,1.19115,1.25694
40000,0.141381,0.5,0,0.311938,16.4757,16.4757,0.927961,0.440494
41000,0.841999,0.5,0,0.140746,87.7441,46.9878,1.31688,1.60625
42000,0.246954,0.25,0,0.685193,37.3297,37.3297,1.49649,1.39466
43000,1.02763,0,0.126953,0.295196,650.556,47.8244,2.48962,4.08231
44000,0.213356,0.25,0,0.369565,45.9366,44.3221,1.48479,1.57817
45000,0.379204,0.25,0,0.427666,90.0265,45.7058,1.19895,0.36794
46000,0.514716,0.25,0.0439453,0.214605,176.023,45.8793,1.84237,2.01347
47000,0.726255,0.5,0,0.705453,88.8177,46.4022,1.05618,0.508749
