group_key,size_mass_bin,thrust_to_weight_bin,torque_to_inertia_bin,motor_delay_bin,curve_shape_bin,sample_count,loss_mean,success_mean,action_saturation_mean
0,0,0,0,0,0,6250,0.0441034,0.97712,0.0132625
1,0,0,0,0,1,6250,0.0437177,0.98464,0.0136
2,0,0,0,0,2,6250,0.0463165,0.98176,0.0151175
3,0,0,0,0,3,6250,0.0514349,0.9744,0.01614
4,0,0,0,1,0,6250,0.0491609,0.97504,0.0164475
5,0,0,0,1,1,6250,0.0486228,0.9776,0.0173725
6,0,0,0,1,2,6250,0.0534427,0.97584,0.02098
7,0,0,0,1,3,6250,0.0576826,0.96688,0.02279
8,0,0,0,2,0,6250,0.0584929,0.97568,0.0208
9,0,0,0,2,1,6250,0.0574129,0.9784,0.022395
10,0,0,0,2,2,6250,0.0623482,0.97472,0.0261475
11,0,0,0,2,3,6250,0.0659262,0.9568,0.0298825
12,0,0,0,3,0,6250,0.0686758,0.97584,0.02363
13,0,0,0,3,1,6250,0.0706417,0.976,0.0264875
14,0,0,0,3,2,6250,0.0733158,0.97056,0.029575
15,0,0,0,3,3,6250,0.0773715,0.94368,0.033645
16,0,0,1,0,0,6250,0.0624037,0.98192,0.0139825
17,0,0,1,0,1,6250,0.0580712,0.98576,0.0139825
18,0,0,1,0,2,6250,0.0562901,0.98384,0.0154875
19,0,0,1,0,3,6250,0.0710895,0.9752,0.016895
20,0,0,1,1,0,6250,0.0533395,0.97904,0.020425
21,0,0,1,1,1,6250,0.0567077,0.98192,0.020385
22,0,0,1,1,2,6250,0.071112,0.97792,0.0220725
23,0,0,1,1,3,6250,0.0824041,0.96496,0.0237975
24,0,0,1,2,0,6250,0.0652987,0.97504,0.026575
25,0,0,1,2,1,6250,0.069169,0.98032,0.0283275
26,0,0,1,2,2,6250,0.0767749,0.97568,0.03027
27,0,0,1,2,3,6250,0.0772202,0.95952,0.0319475
28,0,0,1,3,0,6250,0.0842458,0.96896,0.0342925
29,0,0,1,3,1,6250,0.100147,0.96528,0.034475
30,0,0,1,3,2,6250,0.0918949,0.95856,0.039685
31,0,0,1,3,3,6250,0.0933353,0.9384,0.04184
32,0,0,2,0,0,6250,0.0951399,0.98048,0.01898
33,0,0,2,0,1,6250,0.109734,0.98608,0.01994
34,0,0,2,0,2,6250,0.133466,0.98176,0.0212
35,0,0,2,0,3,6250,0.117774,0.9752,0.02296
36,0,0,2,1,0,6250,0.0997168,0.97888,0.0287375
37,0,0,2,1,1,6250,0.101653,0.98048,0.0286575
38,0,0,2,1,2,6250,0.107435,0.97792,0.0302775
39,0,0,2,1,3,6250,0.140451,0.96592,0.0315775
40,0,0,2,2,0,6250,0.0905864,0.97456,0.037415
41,0,0,2,2,1,6250,0.096284,0.97984,0.03848
42,0,0,2,2,2,6250,0.117718,0.96736,0.04132
43,0,0,2,2,3,6250,0.109102,0.95744,0.04207
44,0,0,2,3,0,6250,0.123966,0.96224,0.047175
45,0,0,2,3,1,6250,0.112912,0.96704,0.0502075
46,0,0,2,3,2,6250,0.109835,0.95808,0.0526625
47,0,0,2,3,3,6250,0.116634,0.93216,0.0550375
48,0,0,3,0,0,6250,0.179543,0.98096,0.0245925
49,0,0,3,0,1,6250,0.258981,0.98352,0.0265375
50,0,0,3,0,2,6250,0.260495,0.98368,0.02749
51,0,0,3,0,3,6250,0.289904,0.97216,0.0298425
52,0,0,3,1,0,6250,0.186771,0.97504,0.03676
53,0,0,3,1,1,6250,0.170897,0.97472,0.038725
54,0,0,3,1,2,6250,0.171539,0.97344,0.03926
55,0,0,3,1,3,6250,0.188247,0.96368,0.0418775
56,0,0,3,2,0,6250,0.143914,0.97152,0.0486125
57,0,0,3,2,1,6250,0.165451,0.972,0.05031
58,0,0,3,2,2,6250,0.155935,0.964,0.0525925
59,0,0,3,2,3,6250,0.157109,0.9496,0.05472
60,0,0,3,3,0,6250,0.174665,0.9584,0.0596975
61,0,0,3,3,1,6250,0.165733,0.96096,0.0640175
62,0,0,3,3,2,6250,0.201066,0.95104,0.067865
63,0,0,3,3,3,6250,0.1947,0.92592,0.0697475
64,0,1,0,0,0,6250,0.0498714,0.94416,0.01287
65,0,1,0,0,1,6250,0.0428913,0.96944,0.0127825
66,0,1,0,0,2,6250,0.0425331,0.98,0.0119925
67,0,1,0,0,3,6250,0.0438293,0.98256,0.012895
68,0,1,0,1,0,6250,0.0569054,0.93808,0.016355
69,0,1,0,1,1,6250,0.0473049,0.97072,0.0144775
70,0,1,0,1,2,6250,0.0469918,0.97808,0.01582
71,0,1,0,1,3,6250,0.0493538,0.98048,0.0173925
72,0,1,0,2,0,6250,0.0646916,0.93728,0.0193575
73,0,1,0,2,1,6250,0.0557324,0.97248,0.0187275
74,0,1,0,2,2,6250,0.0555367,0.9752,0.020735
75,0,1,0,2,3,6250,0.0583709,0.97808,0.02186
76,0,1,0,3,0,6250,0.0756747,0.94592,0.02161
77,0,1,0,3,1,6250,0.0689949,0.97072,0.021825
78,0,1,0,3,2,6250,0.0683764,0.97744,0.024335
79,0,1,0,3,3,6250,0.0705416,0.972,0.02768
80,0,1,1,0,0,6250,0.0617113,0.9608,0.0162775
81,0,1,1,0,1,6250,0.0532806,0.97904,0.01365
82,0,1,1,0,2,6250,0.0577335,0.9856,0.0135475
83,0,1,1,0,3,6250,0.0584424,0.9848,0.0134125
84,0,1,1,1,0,6250,0.0598447,0.95552,0.02198
85,0,1,1,1,1,6250,0.061185,0.97792,0.020875
86,0,1,1,1,2,6250,0.0601253,0.98304,0.0196175
87,0,1,1,1,3,6250,0.0640238,0.9792,0.0195375
88,0,1,1,2,0,6250,0.0710431,0.94512,0.0280175
89,0,1,1,2,1,6250,0.0691885,0.96784,0.0255275
90,0,1,1,2,2,6250,0.0675986,0.97728,0.0252675
91,0,1,1,2,3,6250,0.0741414,0.97808,0.027825
92,0,1,1,3,0,6250,0.0930997,0.93776,0.0351675
93,0,1,1,3,1,6250,0.0829988,0.96496,0.034215
94,0,1,1,3,2,6250,0.0840459,0.97216,0.0350925
95,0,1,1,3,3,6250,0.0844475,0.96656,0.0354225
96,0,1,2,0,0,6250,0.096543,0.95792,0.021315
97,0,1,2,0,1,6250,0.105706,0.97872,0.0199225
98,0,1,2,0,2,6250,0.131769,0.98512,0.018185
99,0,1,2,0,3,6250,0.127228,0.98448,0.01857
100,0,1,2,1,0,6250,0.0947255,0.95248,0.0317275
101,0,1,2,1,1,6250,0.119837,0.97536,0.028435
102,0,1,2,1,2,6250,0.113623,0.98112,0.027365
103,0,1,2,1,3,6250,0.104774,0.98064,0.027825
104,0,1,2,2,0,6250,0.0988712,0.9472,0.0409525
105,0,1,2,2,1,6250,0.10818,0.96912,0.037855
106,0,1,2,2,2,6250,0.0947038,0.9776,0.037935
107,0,1,2,2,3,6250,0.101496,0.97168,0.0382725
108,0,1,2,3,0,6250,0.120023,0.93728,0.050705
109,0,1,2,3,1,6250,0.13,0.95856,0.04851
110,0,1,2,3,2,6250,0.115896,0.96624,0.04729
111,0,1,2,3,3,6250,0.108794,0.9648,0.0488825
112,0,1,3,0,0,6250,0.245357,0.95952,0.02746
113,0,1,3,0,1,6250,0.24602,0.97856,0.0247225
114,0,1,3,0,2,6250,0.265661,0.98416,0.0247275
115,0,1,3,0,3,6250,0.290861,0.98144,0.02643
116,0,1,3,1,0,6250,0.154213,0.95504,0.0413725
117,0,1,3,1,1,6250,0.159272,0.97408,0.0383125
118,0,1,3,1,2,6250,0.187646,0.97696,0.0369625
119,0,1,3,1,3,6250,0.186831,0.97728,0.0370675
120,0,1,3,2,0,6250,0.157746,0.94144,0.051715
121,0,1,3,2,1,6250,0.16003,0.9688,0.0496725
122,0,1,3,2,2,6250,0.156911,0.9704,0.049165
123,0,1,3,2,3,6250,0.195779,0.97056,0.05062
124,0,1,3,3,0,6250,0.223253,0.92592,0.0650875
125,0,1,3,3,1,6250,0.204483,0.9504,0.063485
126,0,1,3,3,2,6250,0.158907,0.96096,0.0623375
127,0,1,3,3,3,6250,0.154281,0.95616,0.0644775
128,0,2,0,0,0,6250,0.0709076,0.84752,0.01421
129,0,2,0,0,1,6250,0.0519183,0.92832,0.0125025
130,0,2,0,0,2,6250,0.0453951,0.96192,0.011905
131,0,2,0,0,3,6250,0.0418227,0.97792,0.011905
132,0,2,0,1,0,6250,0.076388,0.83248,0.017435
133,0,2,0,1,1,6250,0.0573496,0.9312,0.01521
134,0,2,0,1,2,6250,0.0470573,0.96432,0.0145
135,0,2,0,1,3,6250,0.0461346,0.97504,0.0151075
136,0,2,0,2,0,6250,0.0851471,0.83728,0.0206975
137,0,2,0,2,1,6250,0.0666084,0.93328,0.017975
138,0,2,0,2,2,6250,0.0557371,0.96608,0.01752
139,0,2,0,2,3,6250,0.0540335,0.97744,0.0188025
140,0,2,0,3,0,6250,0.0957472,0.84512,0.02268
141,0,2,0,3,1,6250,0.0770135,0.94128,0.0202975
142,0,2,0,3,2,6250,0.0685066,0.968,0.02163
143,0,2,0,3,3,6250,0.065701,0.97776,0.02313
144,0,2,1,0,0,6250,0.0835676,0.87008,0.0191
145,0,2,1,0,1,6250,0.0626671,0.95136,0.01517
