step,horizon,loss,diff_rollout_loss_scaled,critic_loss_raw,critic_loss_weight,critic_loss_scaled,critic_output_mean,critic_target_mean,critic_error_mean,critic_error_norm,grad_norm,success_rate_batch,action_saturation_rate,final_position_norm_mean,final_velocity_norm_mean,final_angular_velocity_norm_mean,finite
0,32,0.0690692,0.018831,0.502382,0.1,0.0502382,0.00756137,6.8394e-11,0.00756137,513.218,1.55159,1,0,0.198455,0.414354,1.09168,true
1,32,0.0684345,0.0182111,0.502234,0.1,0.0502234,0.00741132,4.262e-11,0.00741132,513.143,1.50825,1,0,0.198439,0.412979,1.06161,true
2,32,0.0678208,0.0176118,0.50209,0.1,0.050209,0.00725858,-2.90253e-11,0.00725858,513.069,1.46528,1,0,0.198423,0.411642,1.03172,true
3,32,0.0672281,0.0170332,0.501949,0.1,0.0501949,0.00710472,3.57819e-11,0.00710472,512.997,1.42268,1,0,0.198409,0.410337,1.00205,true
4,32,0.0666564,0.0164752,0.501812,0.1,0.0501812,0.00694959,-1.04242e-10,0.00694959,512.927,1.38049,1,0,0.198394,0.409068,0.972612,true
5,32,0.0661057,0.0159378,0.501679,0.1,0.0501679,0.00679248,-6.78898e-11,0.00679248,512.859,1.33871,1,0,0.198381,0.407832,0.94342,true
6,32,0.0655757,0.0154208,0.501549,0.1,0.0501549,0.00663324,3.98542e-11,0.00663324,512.793,1.29738,1,0,0.198368,0.406632,0.91449,true
7,32,0.0650665,0.0149241,0.501424,0.1,0.0501424,0.00647189,6.49377e-11,0.00647189,512.729,1.25649,1,0,0.198356,0.405467,0.88584,true
8,32,0.0645777,0.0144475,0.501302,0.1,0.0501302,0.00630852,2.95203e-12,0.00630852,512.666,1.21609,1,0,0.198344,0.404338,0.85749,true
9,32,0.0641094,0.0139909,0.501185,0.1,0.0501185,0.00614318,-9.68742e-11,0.00614318,512.606,1.17618,1,0,0.198333,0.403243,0.829451,true
10,32,0.0636611,0.013554,0.501071,0.1,0.0501071,0.00597597,4.88319e-11,0.00597597,512.548,1.13679,1,0,0.198323,0.402186,0.801741,true
