step,horizon,loss,diff_rollout_loss_scaled,critic_loss_raw,critic_loss_weight,critic_loss_scaled,critic_output_mean,critic_target_mean,critic_error_mean,critic_error_norm,grad_norm,success_rate_batch,action_saturation_rate,final_position_norm_mean,final_velocity_norm_mean,final_angular_velocity_norm_mean,finite
0,64,0.0568142,0.00391901,0.528952,0.1,0.0528952,0.560679,6.92224e-14,0.560679,1824.25,0.56248,0.941895,0.00637722,0.190295,0.214315,0.0386553,true
1,64,0.0542115,0.00394214,0.502694,0.1,0.0502694,0.52594,-2.45611e-11,0.52594,1778.39,0.8682,0.948771,0.00818761,0.191088,0.219792,0.0650998,true
2,64,0.0553911,0.00442747,0.509636,0.1,0.0509636,0.533843,-2.08042e-11,0.533843,1790.63,0.705542,0.926697,0.00479539,0.190155,0.238843,0.056354,true
3,64,0.0542491,0.00419895,0.500501,0.1,0.0500501,0.524289,-1.57709e-11,0.524289,1774.51,0.634199,0.931315,0.00533605,0.188593,0.228394,0.0496203,true
4,64,0.0525291,0.00393821,0.485909,0.1,0.0485909,0.499543,-1.59452e-11,0.499543,1748.45,0.662712,0.945516,0.00620914,0.189108,0.218729,0.0446344,true
5,64,0.050076,0.0038708,0.462051,0.1,0.0462051,0.452621,-1.8215e-11,0.452621,1704.99,0.60919,0.945251,0.00807667,0.19004,0.214274,0.0387485,true
6,64,0.0500034,0.00445899,0.455444,0.1,0.0455444,0.441255,-1.20641e-12,0.441255,1692.75,0.580053,0.925049,0.00467316,0.189054,0.241537,0.0379342,true
7,64,0.0481933,0.00433964,0.438536,0.1,0.0438536,0.419859,-8.92283e-12,0.419859,1661.03,0.59536,0.925191,0.00497158,0.18897,0.234633,0.0421558,true
8,64,0.0467819,0.00401271,0.427692,0.1,0.0427692,0.386252,-8.22925e-12,0.386252,1640.37,0.511527,0.940267,0.00605551,0.189813,0.219349,0.0335254,true
9,64,0.0437678,0.00406074,0.397071,0.1,0.0397071,0.319439,-1.83129e-12,0.319439,1580.55,0.557473,0.934631,0.00775178,0.191117,0.218312,0.0418962,true
10,64,0.042992,0.00448758,0.385045,0.1,0.0385045,0.297005,-6.60855e-12,0.297005,1556.44,0.510006,0.924418,0.00464376,0.189917,0.241712,0.0384228,true
11,64,0.0411103,0.00440354,0.367067,0.1,0.0367067,0.269202,-9.256e-12,0.269202,1519.67,0.453321,0.921977,0.00430775,0.189567,0.236237,0.0300262,true
12,64,0.0404314,0.00420698,0.362244,0.1,0.0362244,0.230825,-1.46428e-11,0.230825,1509.65,0.498055,0.931966,0.0046796,0.1912,0.222977,0.0384554,true
13,64,0.0385468,0.00437234,0.341744,0.1,0.0341744,0.143559,8.81934e-12,0.143559,1466.31,0.353724,0.913289,0.00626659,0.191694,0.22486,0.0335112,true
14,64,0.0373774,0.00451547,0.32862,0.1,0.032862,0.116306,-1.22244e-12,0.116306,1437.88,0.265231,0.912618,0.00402808,0.190543,0.238132,0.030393,true
15,64,0.0356136,0.00425416,0.313594,0.1,0.0313594,0.0858008,-1.83406e-11,0.0858008,1404.62,0.317202,0.929911,0.00320085,0.188909,0.229692,0.0371738,true
16,64,0.0355117,0.00414113,0.313706,0.1,0.0313706,0.0483748,5.41276e-12,0.0483748,1404.87,0.246008,0.93217,0.00273021,0.190249,0.218498,0.033313,true
17,64,0.0365137,0.0044511,0.320626,0.1,0.0320626,-0.0507433,1.53729e-12,-0.0507433,1420.28,0.275198,0.905518,0.0038681,0.190412,0.227808,0.0314815,true
18,64,0.0353847,0.00425654,0.311281,0.1,0.0311281,-0.0596625,-1.84106e-11,-0.0596625,1399.43,0.271449,0.920308,0.0027113,0.18887,0.226451,0.0333283,true
19,64,0.0336659,0.00392833,0.297376,0.1,0.0297376,-0.0715948,-7.62409e-12,-0.0715948,1367.82,0.254527,0.945333,0.00200931,0.188116,0.2163,0.0334232,true
20,64,0.0343615,0.00399654,0.303649,0.1,0.0303649,-0.0906849,-7.57518e-12,-0.0906849,1382.17,0.229946,0.93811,0.00125877,0.18905,0.213008,0.0310658,true
21,64,0.0363959,0.00423108,0.321648,0.1,0.0321648,-0.170748,1.18033e-11,-0.170748,1422.55,0.570411,0.918152,0.00286396,0.18896,0.222312,0.0310478,true
22,64,0.0345078,0.00380652,0.307012,0.1,0.0307012,-0.148187,-7.21441e-12,-0.148187,1389.8,0.43278,0.946655,0.002388,0.188018,0.210264,0.0306267,true
23,64,0.0329733,0.00352626,0.294471,0.1,0.0294471,-0.131123,-2.40578e-12,-0.131123,1361.12,0.348242,0.970113,0.00138863,0.187998,0.201188,0.0319991,true
24,64,0.0333763,0.00362535,0.297509,0.1,0.0297509,-0.121735,-1.3936e-11,-0.121735,1368.13,0.283861,0.954102,0.000625134,0.188636,0.199863,0.0309956,true
25,64,0.0350552,0.00391017,0.31145,0.1,0.031145,-0.166744,1.2712e-11,-0.166744,1399.81,0.491345,0.939982,0.00300511,0.188457,0.212197,0.0304465,true
26,64,0.0326775,0.00340562,0.292719,0.1,0.0292719,-0.121637,7.89874e-12,-0.121637,1357.07,0.263749,0.971883,0.00213575,0.187866,0.195693,0.0293106,true
27,64,0.0315508,0.00324829,0.283026,0.1,0.0283026,-0.0877874,3.72498e-13,-0.0877874,1334.41,0.157349,0.983093,0.00112343,0.187983,0.189941,0.0306208,true
28,64,0.0320555,0.0033126,0.287429,0.1,0.0287429,-0.0663243,3.61156e-12,-0.0663243,1344.75,0.135869,0.966268,0.000370344,0.18847,0.187302,0.0300097,true
29,64,0.0331095,0.00352387,0.295857,0.1,0.0295857,-0.094369,2.45408e-11,-0.094369,1364.32,0.235484,0.965596,0.00328247,0.188378,0.197828,0.0296503,true
30,64,0.0310551,0.00300743,0.280477,0.1,0.0280477,-0.0493273,1.58053e-11,-0.0493273,1328.38,0.076885,0.990458,0.00200009,0.188691,0.179566,0.0296202,true
31,64,0.0305058,0.00297281,0.27533,0.1,0.027533,-0.0197137,1.02668e-11,-0.0197137,1316.14,0.107336,0.986572,0.000808477,0.188679,0.176785,0.0307441,true
32,64,0.0307067,0.00292586,0.277809,0.1,0.0277809,-0.00187041,-5.34195e-12,-0.00187041,1322.05,0.135386,0.982829,0.000225782,0.190062,0.169318,0.0297122,true
33,64,0.0315301,0.00306979,0.284603,0.1,0.0284603,-0.0284813,1.82787e-11,-0.0284813,1338.12,0.133169,0.987732,0.00324837,0.190121,0.178247,0.0294162,true
34,64,0.0303236,0.00268207,0.276415,0.1,0.0276415,0.0056544,2.10679e-11,0.0056544,1318.73,0.159623,0.997152,0.0017395,0.190156,0.163596,0.0290277,true
35,64,0.0300693,0.00281083,0.272585,0.1,0.0272585,0.0272506,7.71859e-12,0.0272506,1309.56,0.205033,0.986694,0.000743787,0.191028,0.166303,0.0291759,true
36,64,0.030171,0.002701,0.2747,0.1,0.02747,0.0365063,1.82437e-11,0.0365063,1314.63,0.217644,0.991028,0.000146548,0.191989,0.156683,0.0285799,true
37,64,0.0303899,0.00277691,0.27613,0.1,0.027613,0.00368846,2.82024e-11,0.00368846,1318.05,0.176914,0.99705,0.00335066,0.190831,0.164682,0.0288152,true
38,64,0.0294228,0.00245678,0.269661,0.1,0.0269661,0.0256532,-2.6275e-11,0.0256532,1302.52,0.215551,0.998698,0.00153422,0.191398,0.15155,0.0286574,true
39,64,0.0294411,0.00272958,0.267115,0.1,0.0267115,0.0362153,2.36976e-11,0.0362153,1296.36,0.246591,0.987671,0.000577688,0.192186,0.160157,0.0293704,true
40,64,0.0293563,0.00253181,0.268245,0.1,0.0268245,0.0371749,-2.91641e-11,0.0371749,1299.1,0.244666,0.997498,0.000114202,0.192705,0.14784,0.0289279,true
41,64,0.0292849,0.00259325,0.266917,0.1,0.0266917,-0.00669284,-1.26355e-11,-0.00669284,1295.88,0.13676,0.998881,0.0033981,0.191299,0.156029,0.0290219,true
42,64,0.0285684,0.00233819,0.262302,0.1,0.0262302,0.00744098,-1.22431e-11,0.00744098,1284.62,0.167016,0.99884,0.00168904,0.191774,0.144464,0.0284379,true
43,64,0.028637,0.00265368,0.259833,0.1,0.0259833,0.0118377,-8.33185e-13,0.0118377,1278.56,0.194159,0.990519,0.000521421,0.192444,0.156511,0.0287348,true
44,64,0.0282676,0.00240886,0.258588,0.1,0.0258588,0.00878666,-3.52901e-12,0.00878666,1275.5,0.190715,0.998881,7.19229e-05,0.192329,0.141822,0.0282007,true
45,64,0.0288623,0.00256931,0.26293,0.1,0.026293,-0.0497082,-2.08293e-11,-0.0497082,1286.16,0.160768,0.999288,0.00381033,0.190963,0.154979,0.0283261,true
46,64,0.028118,0.00229216,0.258259,0.1,0.0258259,-0.0348453,-2.12395e-11,-0.0348453,1274.69,0.0772604,0.999756,0.00190123,0.191768,0.141737,0.0284861,true
47,64,0.0283174,0.00257148,0.257459,0.1,0.0257459,-0.0270348,-3.84914e-13,-0.0270348,1272.71,0.0922201,0.993958,0.000567039,0.191795,0.153605,0.0287848,true
48,64,0.0277533,0.00231067,0.254426,0.1,0.0254426,-0.0250922,-1.42285e-11,-0.0250922,1265.19,0.0698051,0.999512,0.000108083,0.19202,0.137149,0.0277704,true
49,64,0.0294226,0.00256678,0.268558,0.1,0.0268558,-0.0871204,2.58702e-11,-0.0871204,1299.86,0.435749,0.999349,0.00402633,0.190224,0.154946,0.0281347,true
50,64,0.0284488,0.00222443,0.262244,0.1,0.0262244,-0.0593476,-9.25382e-12,-0.0593476,1284.48,0.24961,0.999959,0.00191204,0.191097,0.137791,0.0280504,true
51,64,0.0282903,0.00244521,0.258451,0.1,0.0258451,-0.0368982,5.95281e-12,-0.0368982,1275.16,0.115426,0.997416,0.000513792,0.191157,0.147363,0.0279068,true
52,64,0.0275202,0.00221497,0.253053,0.1,0.0253053,-0.0209863,2.86766e-11,-0.0209863,1261.77,0.0585141,0.999715,8.75791e-05,0.191481,0.131985,0.0272769,true
53,64,0.0291227,0.00249005,0.266326,0.1,0.0266326,-0.0706232,2.53416e-12,-0.0706232,1294.44,0.386872,0.99941,0.00377862,0.190165,0.150747,0.0276645,true
54,64,0.0281585,0.00209918,0.260593,0.1,0.0260593,-0.0349589,-4.56664e-12,-0.0349589,1280.43,0.136827,1,0.00167799,0.190422,0.129587,0.0276977,true
55,64,0.0279826,0.00230898,0.256736,0.1,0.0256736,-0.00685676,-2.68563e-13,-0.00685676,1270.92,0.0868221,0.999268,0.000474691,0.19096,0.139362,0.0276769,true
56,64,0.027364,0.00212074,0.252433,0.1,0.0252433,0.0117046,-1.6636e-11,0.0117046,1260.23,0.167366,0.999939,5.11805e-05,0.191378,0.126057,0.0272895,true
57,64,0.0283549,0.00238293,0.25972,0.1,0.025972,-0.0282363,-3.77725e-11,-0.0282363,1278.29,0.156243,0.999715,0.00373197,0.189965,0.14492,0.0276551,true
58,64,0.0278218,0.00199726,0.258245,0.1,0.0258245,0.000593874,1.8332e-11,0.000593874,1274.65,0.0554841,1,0.00164962,0.190724,0.122286,0.0275555,true
59,64,0.0281593,0.00217865,0.259806,0.1,0.0259806,0.0219939,-2.37142e-11,0.0219939,1278.5,0.182926,0.999919,0.000368277,0.191037,0.131386,0.0273689,true
