step,horizon,loss,diff_rollout_loss_scaled,critic_loss_raw,critic_loss_weight,critic_loss_scaled,critic_output_mean,critic_target_mean,critic_error_mean,critic_error_norm,grad_norm,success_rate_batch,action_saturation_rate,final_position_norm_mean,final_velocity_norm_mean,final_attitude_error_mean,final_angular_velocity_norm_mean,loss_position_mean,loss_velocity_mean,loss_attitude_mean,loss_angular_velocity_mean,loss_linear_acceleration_mean,loss_angular_acceleration_mean,loss_action_magnitude_mean,loss_action_smoothness_mean,loss_saturation_mean,loss_terminal_mean,loss_terminal_position_mean,loss_terminal_velocity_mean,loss_terminal_attitude_mean,loss_terminal_angular_velocity_mean,ratio_position,ratio_velocity,ratio_attitude,ratio_angular_velocity,ratio_linear_acceleration,ratio_angular_acceleration,ratio_action_magnitude,ratio_action_smoothness,ratio_saturation,ratio_terminal,finite
0,16,0.0510449,0.000932657,0.501123,0.1,0.0501123,0.00995579,-1.43739e-11,0.00995579,362.445,0.0537113,0,0,0.0291526,0.160537,0.0553493,0.510917,0.00660642,0.0483137,0.0203402,0.0613946,0.00112112,0.001141,9.93898e-06,0.000777028,0,1.72561,0.00905442,0.835094,0.0456664,0.835794,0.00354172,0.0259011,0.0109044,0.0329138,0.000601036,0.000611694,5.32831e-06,0.000416567,0,0.925106,true
1,16,0.0510166,0.00091065,0.50106,0.1,0.050106,0.00968717,2.18874e-11,0.00968717,362.422,0.052421,0,0,0.0291526,0.160516,0.0548069,0.498548,0.00660644,0.04831,0.0202384,0.0585134,0.0011205,0.00108606,9.6543e-06,0.000775963,0,1.68464,0.00905449,0.834864,0.0448766,0.795845,0.00362732,0.026525,0.011112,0.0321273,0.00061522,0.00059631,5.30078e-06,0.000426049,0,0.924966,true
2,16,0.050989,0.00088925,0.500998,0.1,0.0500998,0.00941734,-9.04886e-11,0.00941734,362.4,0.0511366,0,0,0.0291528,0.160495,0.0542726,0.48622,0.00660647,0.0483063,0.0201391,0.0557095,0.0011199,0.00103266,9.37804e-06,0.000774922,0,1.6448,0.00905449,0.834641,0.044107,0.757,0.00371463,0.0271613,0.0113237,0.0313239,0.000629688,0.000580636,5.27301e-06,0.000435716,0,0.924826,true
3,16,0.0509622,0.00086846,0.500937,0.1,0.0500937,0.00914645,-5.56042e-11,0.00914645,362.378,0.0498579,0,0,0.0291528,0.160476,0.0537468,0.473936,0.0066065,0.0483027,0.0200425,0.0529838,0.00111931,0.000980812,9.11018e-06,0.000773912,0,1.6061,0.00905453,0.834419,0.0433586,0.719269,0.00380358,0.0278094,0.0115391,0.0305044,0.000644424,0.000564685,5.24502e-06,0.000445566,0,0.924685,true
4,16,0.0509361,0.000848281,0.500878,0.1,0.0500878,0.00887465,1.38309e-10,0.00887465,362.356,0.0485857,0,0,0.0291529,0.160457,0.0532297,0.461705,0.0066065,0.0482991,0.0199484,0.0503365,0.00111873,0.000930517,8.8507e-06,0.000772927,0,1.56854,0.00905457,0.834202,0.0426304,0.682653,0.00389405,0.0284688,0.0117581,0.0296697,0.000659412,0.000548472,5.21684e-06,0.000455584,0,0.924542,true
5,16,0.0509107,0.000828718,0.50082,0.1,0.050082,0.00860203,3.87616e-11,0.00860203,362.335,0.047321,0,0,0.029153,0.160437,0.0527219,0.44953,0.00660651,0.0482956,0.0198571,0.0477679,0.00111817,0.000881782,8.59958e-06,0.000771967,0,1.53213,0.00905462,0.83399,0.0419235,0.647161,0.00398599,0.0291388,0.0119806,0.0288204,0.00067464,0.000532016,5.18848e-06,0.00046576,0,0.924398,true
6,16,0.0508861,0.000809769,0.500763,0.1,0.0500763,0.00832876,1.28416e-10,0.00832876,362.315,0.0460635,0,0,0.0291531,0.160418,0.0522233,0.437419,0.00660652,0.048292,0.0197684,0.0452787,0.00111762,0.000834608,8.35675e-06,0.000771032,0,1.49686,0.00905466,0.833777,0.0412377,0.612792,0.00407926,0.0298183,0.0122062,0.0279578,0.000690084,0.000515337,5.15995e-06,0.000476081,0,0.924251,true
7,16,0.0508622,0.000791437,0.500707,0.1,0.0500707,0.00805511,5.80958e-11,0.00805511,362.295,0.044815,0,0,0.0291531,0.160399,0.0517344,0.425374,0.00660655,0.0482882,0.0196823,0.0428689,0.00111708,0.000788996,8.12218e-06,0.000770122,0,1.46275,0.0090547,0.83357,0.0405728,0.579547,0.00417377,0.0305067,0.0124346,0.027083,0.000705728,0.000498458,5.13129e-06,0.000486534,0,0.924108,true
8,16,0.050839,0.00077372,0.500653,0.1,0.0500653,0.00778143,-9.04589e-11,0.00778143,362.275,0.0435754,0,0,0.0291531,0.16038,0.0512555,0.413405,0.00660657,0.0482844,0.0195989,0.0405386,0.00111655,0.000744943,7.89584e-06,0.000769236,0,1.42977,0.00905471,0.833363,0.0399293,0.547427,0.00426936,0.0312028,0.0126654,0.0261972,0.000721545,0.000481404,5.10252e-06,0.000497102,0,0.92396,true
9,16,0.0508166,0.000756617,0.5006,0.1,0.05006,0.0075081,-3.31439e-11,0.0075081,362.256,0.0423454,0,0,0.0291532,0.160361,0.0507868,0.401516,0.00660659,0.0482805,0.0195183,0.0382877,0.00111602,0.000702452,7.67758e-06,0.000768372,0,1.39795,0.00905473,0.833156,0.0393071,0.516432,0.00436587,0.0319055,0.0128984,0.0253019,0.000737508,0.000464205,5.07362e-06,0.000507768,0,0.923816,true
10,16,0.050795,0.000740127,0.500549,0.1,0.0500549,0.00723548,-2.74526e-11,0.00723548,362.237,0.0411264,0,0,0.0291532,0.160342,0.0503288,0.389713,0.00660658,0.0482762,0.0194403,0.0361165,0.00111551,0.000661512,7.46745e-06,0.000767532,0,1.36727,0.00905472,0.832946,0.0387061,0.486557,0.00446314,0.0326135,0.0131331,0.0243989,0.00075359,0.000446891,5.0447e-06,0.000518513,0,0.92367,true
11,16,0.0507741,0.000724247,0.500499,0.1,0.0500499,0.00696395,-3.1381e-11,0.00696395,362.219,0.0399184,0,0,0.0291532,0.160322,0.0498815,0.378003,0.00660657,0.0482718,0.0193649,0.0340245,0.00111499,0.000622117,7.26522e-06,0.000766713,0,1.33772,0.00905474,0.832737,0.038126,0.457799,0.004561,0.0333255,0.013369,0.0234896,0.000769759,0.000429493,5.01571e-06,0.000529318,0,0.923523,true
12,16,0.050754,0.000708972,0.50045,0.1,0.050045,0.00669391,-8.18686e-11,0.00669391,362.202,0.0387226,0,0,0.0291533,0.160303,0.0494451,0.366393,0.0066066,0.0482669,0.0192924,0.0320114,0.00111448,0.000584258,7.07089e-06,0.000765913,0,1.30929,0.00905471,0.832523,0.0375674,0.430152,0.00465928,0.0340401,0.0136059,0.022576,0.000785983,0.000412046,4.98672e-06,0.000540157,0,0.923375,true
13,16,0.0507345,0.000694298,0.500403,0.1,0.0500403,0.00642576,-2.12339e-11,0.00642576,362.184,0.0375393,0,0,0.0291532,0.160283,0.04902,0.35489,0.0066066,0.0482616,0.0192225,0.0300769,0.00111398,0.000547923,6.88427e-06,0.000765135,0,1.28199,0.00905467,0.832306,0.0370298,0.403605,0.00475775,0.0347557,0.0138431,0.0216599,0.000802231,0.000394587,4.95772e-06,0.000551013,0,0.92323,true
14,16,0.0507159,0.00068022,0.500356,0.1,0.0500356,0.00615992,1.10569e-11,0.00615992,362.168,0.0363696,0,0,0.0291532,0.160262,0.0486065,0.343496,0.0066066,0.0482561,0.0191551,0.0282204,0.00111347,0.000513096,6.70528e-06,0.000764375,0,1.25581,0.00905464,0.832087,0.036513,0.378153,0.00485622,0.0354709,0.0140801,0.0207435,0.000818462,0.000377154,4.92875e-06,0.000561859,0,0.923089,true
15,16,0.0506979,0.000666731,0.500312,0.1,0.0500312,0.00589683,-4.35615e-11,0.00589683,362.152,0.0352139,0,0,0.0291531,0.160241,0.0482042,0.332222,0.00660659,0.0482499,0.0190905,0.0264411,0.00111297,0.000479762,6.5338e-06,0.000763632,0,1.23071,0.00905458,0.831858,0.036017,0.353781,0.00495446,0.0361839,0.0143165,0.0198289,0.000834644,0.000359787,4.89987e-06,0.000572668,0,0.922944,true
16,16,0.0506807,0.000653824,0.500269,0.1,0.0500268,0.00563689,1.55855e-11,0.00563689,362.136,0.0340731,0,0,0.029153,0.16022,0.047814,0.321071,0.0066066,0.0482434,0.0190285,0.0247383,0.00111246,0.000447904,6.36966e-06,0.000762906,0,1.2067,0.00905449,0.83163,0.0355417,0.330479,0.00505228,0.0368933,0.0145517,0.0189182,0.000850736,0.000342526,4.87108e-06,0.000583418,0,0.922802,true
17,16,0.0506641,0.000641491,0.500226,0.1,0.0500227,0.00538051,-1.22107e-10,0.00538051,362.121,0.032948,0,0,0.0291528,0.160197,0.0474355,0.310051,0.0066066,0.0482361,0.0189691,0.0231112,0.00111195,0.000417498,6.21266e-06,0.000762195,0,1.18376,0.00905439,0.831388,0.0350868,0.308232,0.00514941,0.0375969,0.0147852,0.0180137,0.000866693,0.000325413,4.84236e-06,0.000594081,0,0.922666,true
