step,horizon,loss,diff_rollout_loss_scaled,critic_loss_raw,critic_loss_weight,critic_loss_scaled,critic_output_mean,critic_target_mean,critic_error_mean,critic_error_norm,grad_norm,success_rate_batch,action_saturation_rate,final_position_norm_mean,final_velocity_norm_mean,final_attitude_error_mean,final_angular_velocity_norm_mean,loss_position_mean,loss_velocity_mean,loss_attitude_mean,loss_angular_velocity_mean,loss_linear_acceleration_mean,loss_angular_acceleration_mean,loss_action_magnitude_mean,loss_action_smoothness_mean,loss_saturation_mean,loss_terminal_mean,loss_terminal_position_mean,loss_terminal_velocity_mean,loss_terminal_attitude_mean,loss_terminal_angular_velocity_mean,ratio_position,ratio_velocity,ratio_attitude,ratio_angular_velocity,ratio_linear_acceleration,ratio_angular_acceleration,ratio_action_magnitude,ratio_action_smoothness,ratio_saturation,ratio_terminal,finite
0,16,0.0332137,0.000104608,0.331091,0.1,0.0331091,0.00304819,-2.04658e-10,0.00304819,294.608,0.0028103,0.886108,0,0.0275909,0.0572555,0.0394023,0.0279608,0.00641992,0.0117634,0.0175866,0.000493315,0.000142804,5.58022e-06,0.000156744,1.53667e-05,0,0.172632,0.0079942,0.135152,0.0263945,0.00309115,0.0306856,0.0562264,0.0840596,0.00235792,0.000682568,2.66721e-05,0.000749196,7.34492e-05,0,0.82514,true
1,16,0.0332123,0.000104605,0.331077,0.1,0.0331077,0.00304264,-1.54609e-11,0.00304264,294.601,0.00282629,0.886108,0,0.0275909,0.0572547,0.0394018,0.0279613,0.00641991,0.011763,0.0175864,0.000493406,0.000142786,5.58299e-06,0.000156731,1.53234e-05,0,0.172627,0.00799416,0.135148,0.0263938,0.00309127,0.0306864,0.0562258,0.0840608,0.00235842,0.000682499,2.6686e-05,0.000749157,7.32441e-05,0,0.825137,true
2,16,0.0332109,0.000104602,0.331063,0.1,0.0331063,0.00302953,2.2755e-11,0.00302953,294.595,0.00280327,0.88623,0,0.0275908,0.0572536,0.0394012,0.0279617,0.0064199,0.0117626,0.0175862,0.000493501,0.000142768,5.58581e-06,0.000156719,1.52804e-05,0,0.172622,0.00799413,0.135143,0.0263931,0.0030914,0.0306872,0.0562253,0.084062,0.00235894,0.000682433,2.67002e-05,0.000749118,7.30402e-05,0,0.825136,true
3,16,0.0332094,0.0001046,0.331048,0.1,0.0331048,0.00302271,-5.25855e-11,0.00302271,294.588,0.00281647,0.88623,0,0.0275907,0.0572528,0.0394006,0.0279622,0.0064199,0.0117622,0.0175859,0.000493597,0.00014275,5.58862e-06,0.000156707,1.52375e-05,0,0.172617,0.00799411,0.135139,0.0263924,0.00309155,0.030688,0.0562248,0.0840632,0.00235946,0.000682367,2.67143e-05,0.00074908,7.28372e-05,0,0.825134,true
4,16,0.033208,0.000104597,0.331034,0.1,0.0331034,0.00300891,-4.59814e-11,0.00300891,294.582,0.00279772,0.88623,0,0.0275907,0.0572518,0.0394,0.0279627,0.00641988,0.0117618,0.0175857,0.000493692,0.000142733,5.59147e-06,0.000156694,1.51949e-05,0,0.172613,0.00799407,0.135135,0.0263916,0.00309169,0.0306887,0.0562244,0.0840645,0.00235998,0.000682301,2.67287e-05,0.000749039,7.26354e-05,0,0.825133,true
5,16,0.0332065,0.000104594,0.331019,0.1,0.0331019,0.00299902,8.88384e-11,0.00299902,294.575,0.0027987,0.88623,0,0.0275906,0.0572507,0.0393993,0.0279632,0.00641988,0.0117614,0.0175855,0.000493787,0.000142716,5.59433e-06,0.000156682,1.51524e-05,0,0.172607,0.00799403,0.13513,0.0263909,0.00309183,0.0306895,0.056224,0.0840658,0.00236049,0.000682236,2.67431e-05,0.000749002,7.24342e-05,0,0.825131,true
6,16,0.0332051,0.000104591,0.331005,0.1,0.0331005,0.00299381,-6.69239e-11,0.00299381,294.569,0.00281871,0.88623,0,0.0275906,0.0572498,0.039399,0.0279637,0.00641987,0.011761,0.0175853,0.00049388,0.000142698,5.5972e-06,0.00015667,1.51102e-05,0,0.172603,0.007994,0.135126,0.0263901,0.00309197,0.0306903,0.0562235,0.084067,0.002361,0.00068217,2.67575e-05,0.000748965,7.22344e-05,0,0.825129,true
7,16,0.0332036,0.000104588,0.33099,0.1,0.033099,0.00297852,1.23388e-11,0.00297852,294.563,0.00277714,0.886353,0,0.0275906,0.0572489,0.0393983,0.0279642,0.00641986,0.0117606,0.0175851,0.000493977,0.000142681,5.60003e-06,0.000156658,1.50681e-05,0,0.172598,0.00799397,0.135122,0.0263894,0.00309212,0.0306911,0.056223,0.0840681,0.00236153,0.000682106,2.67718e-05,0.000748927,7.20353e-05,0,0.825127,true
8,16,0.0332022,0.000104586,0.330976,0.1,0.0330976,0.00298213,4.47817e-11,0.00298213,294.556,0.00283825,0.886475,0,0.0275905,0.0572481,0.0393978,0.0279648,0.00641986,0.0117602,0.0175849,0.000494072,0.000142664,5.60287e-06,0.000156647,1.50263e-05,0,0.172593,0.00799395,0.135118,0.0263887,0.00309225,0.0306918,0.0562226,0.0840693,0.00236204,0.000682043,2.6786e-05,0.000748891,7.1837e-05,0,0.825126,true
9,16,0.0332007,0.000104583,0.330961,0.1,0.0330961,0.00296814,-7.47336e-11,0.00296814,294.55,0.00280534,0.886475,0,0.0275904,0.0572471,0.0393973,0.0279653,0.00641986,0.0117598,0.0175847,0.000494169,0.000142647,5.6057e-06,0.000156635,1.49847e-05,0,0.172588,0.00799391,0.135114,0.0263879,0.00309241,0.0306926,0.0562222,0.0840704,0.00236257,0.000681979,2.68002e-05,0.000748857,7.16402e-05,0,0.825125,true
