step,horizon,loss,diff_rollout_loss_scaled,critic_loss_raw,critic_loss_weight,critic_loss_scaled,critic_output_mean,critic_target_mean,critic_error_mean,critic_error_norm,grad_norm,success_rate_batch,action_saturation_rate,final_position_norm_mean,final_velocity_norm_mean,final_attitude_error_mean,final_angular_velocity_norm_mean,finite
0,16,0.0542776,0.00454886,0.497288,0.1,0.0497288,0.00671606,-2.22087e-10,0.00671606,180.528,0.538729,0.00439453,0,0.0431074,0.236554,0.0806813,1.03811,true
1,16,0.055542,0.00579957,0.497424,0.1,0.0497424,0.00606267,1.10256e-10,0.00606267,180.552,0.55853,0.0126953,0,0.0466627,0.332367,0.0814195,1.02748,true
2,16,0.0537405,0.00403288,0.497076,0.1,0.0497076,0.00590712,1.81662e-10,0.00590712,180.489,0.549053,0.0219727,0,0.0428854,0.217334,0.0796168,0.998272,true
3,16,0.0532067,0.0034226,0.497841,0.1,0.0497841,0.00587969,1.51801e-10,0.00587969,180.628,0.462484,0.00830078,0,0.0417267,0.189348,0.0757642,0.978904,true
4,16,0.0535478,0.00378804,0.497598,0.1,0.0497598,0.00555221,-3.68021e-11,0.00555221,180.584,0.457702,0.00683594,0,0.043748,0.23517,0.071838,0.916014,true
5,16,0.0548204,0.00504693,0.497734,0.1,0.0497734,0.00493692,8.56512e-12,0.00493692,180.609,0.471361,0.00927734,0,0.0467428,0.329867,0.0720926,0.908745,true
6,16,0.0531531,0.00341768,0.497354,0.1,0.0497354,0.00474425,-8.09882e-11,0.00474425,180.54,0.468829,0.0292969,0,0.0427351,0.218829,0.0713918,0.890415,true
7,16,0.0526256,0.0028174,0.498082,0.1,0.0498082,0.00478223,-3.63326e-10,0.00478223,180.672,0.388469,0.0161133,0,0.0412778,0.189588,0.0668266,0.859397,true
8,16,0.0530157,0.00322953,0.497862,0.1,0.0497862,0.00446072,3.543e-11,0.00446072,180.632,0.392223,0.00830078,0,0.0432793,0.233082,0.063644,0.806629,true
9,16,0.0541993,0.00437732,0.498219,0.1,0.049822,0.0039999,-1.89627e-10,0.0039999,180.697,0.364154,0.0185547,0,0.0458351,0.327788,0.0617414,0.778509,true
10,16,0.0525812,0.00281063,0.497706,0.1,0.0497706,0.00375015,-6.60547e-11,0.00375015,180.604,0.380041,0.0336914,0,0.0427407,0.218136,0.0622804,0.775512,true
11,16,0.0522417,0.00241567,0.498261,0.1,0.0498261,0.00363035,6.31579e-11,0.00363035,180.704,0.355675,0.0219727,0,0.0417164,0.186543,0.0609635,0.776198,true
12,16,0.0526409,0.00282187,0.498191,0.1,0.0498191,0.00338185,-2.01404e-10,0.00338185,180.692,0.335068,0.0117188,0,0.0436666,0.233158,0.0565616,0.714532,true
13,16,0.053963,0.00412588,0.498372,0.1,0.0498372,0.00270967,-3.70501e-11,0.00270967,180.724,0.357671,0.0205078,0,0.0464858,0.328408,0.0580214,0.720384,true
14,16,0.0522204,0.00243601,0.497844,0.1,0.0497844,0.00277008,-2.25466e-10,0.00277008,180.629,0.333979,0.0405273,0,0.0422799,0.217891,0.0550177,0.679627,true
15,16,0.0518231,0.00196188,0.498612,0.1,0.0498612,0.0028168,-1.01162e-10,0.0028168,180.768,0.285531,0.0302734,0,0.0419456,0.187186,0.0521479,0.662877,true
16,16,0.0523432,0.00249857,0.498446,0.1,0.0498446,0.00239057,-4.02687e-11,0.00239057,180.738,0.294879,0.0151367,0,0.0433882,0.232781,0.0505369,0.63492,true
17,16,0.0535806,0.00370781,0.498728,0.1,0.0498728,0.00192491,1.48024e-10,0.00192491,180.789,0.294095,0.0273438,0,0.0459376,0.328172,0.0495019,0.611229,true
18,16,0.0519241,0.00210359,0.498205,0.1,0.0498205,0.0019629,2.14609e-10,0.00196289,180.694,0.273606,0.0478516,0,0.0426451,0.219035,0.0476001,0.582887,true
19,16,0.0515648,0.00168708,0.498777,0.1,0.0498777,0.00194512,-7.12291e-11,0.00194512,180.798,0.254843,0.0356445,0,0.0416385,0.184312,0.0462043,0.582534,true
