step,horizon,training_episode_steps,window_start_mean,loss,diff_rollout_loss_scaled,critic_loss_raw,critic_loss_weight,critic_loss_scaled,critic_output_mean,critic_target_mean,critic_error_mean,critic_error_norm,grad_norm,success_rate_batch,action_saturation_rate,final_position_norm_mean,final_velocity_norm_mean,final_attitude_error_mean,final_angular_velocity_norm_mean,loss_position_mean,loss_velocity_mean,loss_attitude_mean,loss_angular_velocity_mean,loss_linear_acceleration_mean,loss_angular_acceleration_mean,loss_action_magnitude_mean,loss_action_smoothness_mean,loss_saturation_mean,loss_terminal_mean,loss_terminal_position_mean,loss_terminal_velocity_mean,loss_terminal_attitude_mean,loss_terminal_angular_velocity_mean,ratio_position,ratio_velocity,ratio_attitude,ratio_angular_velocity,ratio_linear_acceleration,ratio_angular_acceleration,ratio_action_magnitude,ratio_action_smoothness,ratio_saturation,ratio_terminal,finite
0,16,500,233.959,0.00665691,0.00548027,0.0117664,0.1,0.00117664,0.0231386,2.5539e-11,0.0231386,19.6357,0.0351687,0.887695,0.0495911,0.458786,1.14753,0.696711,0.383012,1.86775,3.48312,5.17376,0.307927,0.0511721,0.0607361,0.00461269,0.00694626,0.0045117,0,0,0,0,0,0.170407,0.317788,0.472035,0.0280942,0.00466876,0.00554134,0.000420845,0.000633752,0.000411631,0,true
1,16,500,245.706,0.00683195,0.00551652,0.0131543,0.1,0.00131543,-0.0107279,9.35696e-12,-0.0107279,20.7615,0.102476,0.893555,0.0532532,0.465963,1.17489,0.696895,0.389596,1.9083,3.53716,5.1573,0.301525,0.051761,0.0602265,0.00476868,0.00711305,0.00487693,0,0,0,0,0,0.172962,0.320597,0.467442,0.0273293,0.00469146,0.00545874,0.000432219,0.000644705,0.00044203,0,true
2,16,500,243.792,0.00682246,0.00560042,0.0122204,0.1,0.00122204,0.0163587,1.11981e-10,0.0163587,20.0109,0.0498701,0.892578,0.056366,0.459499,1.18062,0.699445,0.393765,1.89915,3.64313,5.2162,0.313794,0.0503575,0.0612351,0.00482084,0.00702712,0.00513301,0,0,0,0,0,0.169554,0.325255,0.465697,0.0280152,0.00449587,0.00546701,0.000430399,0.000627374,0.00045827,0,true
3,16,500,238.85,0.00672486,0.0055042,0.0122065,0.1,0.00122065,0.0381502,4.23433e-10,0.0381502,19.9996,0.127004,0.896484,0.0576324,0.45785,1.1515,0.697467,0.390336,1.88183,3.5118,5.18602,0.302239,0.049615,0.0601224,0.00480251,0.00677469,0.00520133,0,0,0,0,0,0.170945,0.31901,0.471096,0.0274553,0.00450701,0.0054615,0.000436258,0.000615411,0.000472487,0,true
4,16,500,250.164,0.00678184,0.00542305,0.0135878,0.1,0.00135878,-0.002664,-8.91323e-11,-0.002664,21.1009,0.0821046,0.899414,0.0514374,0.460679,1.15125,0.68191,0.394416,1.89721,3.51393,4.99039,0.310807,0.0506125,0.0666375,0.00472076,0.00712535,0.00467663,0,0,0,0,0,0.174921,0.32398,0.460109,0.0286561,0.00466642,0.00614391,0.00043525,0.00065695,0.000431181,0,true
5,16,500,244.117,0.00710348,0.00561747,0.0148601,0.1,0.00148601,-0.0568815,1.35679e-10,-0.0568815,22.0666,0.215449,0.904297,0.0537109,0.465839,1.17082,0.722013,0.385235,1.92748,3.4971,5.38286,0.299147,0.0539425,0.0576446,0.00484295,0.00702617,0.00489862,0,0,0,0,0,0.171561,0.31127,0.479118,0.0266265,0.00480132,0.00513083,0.000431062,0.000625386,0.000436017,0,true
6,16,500,234.951,0.00696312,0.00571054,0.0125258,0.1,0.00125258,-0.0121651,6.43162e-10,-0.0121651,20.2594,0.0469636,0.893555,0.0628052,0.446948,1.17257,0.737186,0.386562,1.80208,3.56453,5.62192,0.307417,0.052542,0.0552156,0.0050048,0.00665104,0.00573298,0,0,0,0,0,0.157785,0.312101,0.49224,0.0269166,0.00460043,0.00483453,0.000438207,0.000582348,0.000501965,0,true
7,16,500,245.093,0.00720177,0.00551369,0.0168808,0.1,0.00168808,0.0823773,1.43201e-11,0.0823773,23.5192,0.281462,0.898438,0.0688171,0.456048,1.14406,0.701141,0.402505,1.86436,3.5593,5.15286,0.320348,0.0491533,0.0629978,0.00501248,0.00711479,0.00622016,0,0,0,0,0,0.169066,0.32277,0.467279,0.0290503,0.0044574,0.00571285,0.000454549,0.000645194,0.000564066,0,true
8,16,500,239.307,0.00679668,0.00554478,0.0125191,0.1,0.00125191,0.0265664,1.67219e-10,0.0265664,20.254,0.108046,0.884766,0.0605621,0.457687,1.16046,0.698868,0.397477,1.8814,3.60331,5.1597,0.318061,0.0499063,0.0598128,0.00493742,0.00692466,0.00550082,0,0,0,0,0,0.169655,0.324928,0.465276,0.0286811,0.00450029,0.00539361,0.000445231,0.000624431,0.000496036,0,true
9,16,500,239.14,0.00680524,0.00539793,0.0140731,0.1,0.00140731,-0.0127889,3.03999e-10,-0.0127889,21.4744,0.109449,0.901367,0.0538025,0.451094,1.15672,0.686297,0.376274,1.83981,3.4582,5.07002,0.29943,0.0518502,0.0598865,0.00483509,0.00688183,0.00495232,0,0,0,0,0,0.170418,0.320327,0.469626,0.0277357,0.00480278,0.00554717,0.000447865,0.000637451,0.000458724,0,true
