step,horizon,training_episode_steps,window_start_mean,loss,diff_rollout_loss_scaled,critic_loss_raw,critic_loss_weight,critic_loss_scaled,critic_output_mean,critic_target_mean,critic_error_mean,critic_error_norm,grad_norm,success_rate_batch,action_saturation_rate,final_position_norm_mean,final_velocity_norm_mean,final_attitude_error_mean,final_angular_velocity_norm_mean,loss_position_mean,loss_velocity_mean,loss_attitude_mean,loss_angular_velocity_mean,loss_linear_acceleration_mean,loss_angular_acceleration_mean,loss_action_magnitude_mean,loss_action_smoothness_mean,loss_saturation_mean,loss_terminal_mean,loss_terminal_position_mean,loss_terminal_velocity_mean,loss_terminal_attitude_mean,loss_terminal_angular_velocity_mean,ratio_position,ratio_velocity,ratio_attitude,ratio_angular_velocity,ratio_linear_acceleration,ratio_angular_acceleration,ratio_action_magnitude,ratio_action_smoothness,ratio_saturation,ratio_terminal,finite
0,16,500,239.583,0.0104669,0.00558611,0.048808,0.1,0.0048808,0.0244536,-1.53745e-11,0.0244536,56.5569,0.00797794,0.912109,0.00571442,0.461248,1.15746,0.720125,0.348622,1.90151,3.4919,5.38365,0.337015,0.0427266,0.0105619,0.0025136,0.00179927,0.000552798,0,0,0,0,0,0.1702,0.312552,0.481878,0.0301654,0.00382436,0.000945372,0.000224986,0.000161048,4.94797e-05,0,true
1,16,500,239.583,0.0104598,0.00558604,0.0487378,0.1,0.00487378,0.024473,-9.30184e-11,0.024473,56.5162,0.0079711,0.912109,0.00570679,0.461249,1.15744,0.720126,0.348489,1.90151,3.49178,5.38365,0.336976,0.0427281,0.0105669,0.00251423,0.00180035,0.000553649,0,0,0,0,0,0.170202,0.312545,0.481884,0.0301624,0.00382454,0.000945829,0.000225046,0.000161147,4.95565e-05,0,true
2,16,500,239.583,0.0104527,0.00558596,0.0486678,0.1,0.00486678,0.0244947,1.32357e-10,0.0244947,56.4756,0.00796479,0.912109,0.00572205,0.46125,1.15741,0.720127,0.348355,1.90151,3.49166,5.38365,0.336938,0.0427295,0.0105718,0.00251486,0.00180143,0.000554496,0,0,0,0,0,0.170205,0.312539,0.481891,0.0301593,0.00382473,0.000946284,0.000225105,0.000161246,4.9633e-05,0,true
3,16,500,239.583,0.0104457,0.00558589,0.0485979,0.1,0.00485979,0.02448,-1.85733e-10,0.02448,56.4351,0.00795766,0.912109,0.00572968,0.461251,1.15739,0.720126,0.348219,1.90151,3.49154,5.38364,0.336899,0.0427312,0.0105768,0.00251544,0.0018025,0.000555275,0,0,0,0,0,0.170207,0.312532,0.481897,0.0301562,0.00382492,0.000946745,0.000225161,0.000161344,4.97034e-05,0,true
4,16,500,239.583,0.0104386,0.00558581,0.0485283,0.1,0.00485283,0.0244256,-8.54275e-11,0.0244256,56.3946,0.00794958,0.912109,0.00574493,0.461252,1.15737,0.720127,0.348084,1.90151,3.49143,5.38364,0.336859,0.0427331,0.0105818,0.00251598,0.00180357,0.000555981,0,0,0,0,0,0.170209,0.312527,0.481903,0.0301531,0.00382515,0.000947207,0.000225212,0.000161442,4.97673e-05,0,true
5,16,500,239.583,0.0104316,0.00558574,0.0484589,0.1,0.00484589,0.0243632,2.69292e-11,0.0243632,56.3543,0.00794193,0.912109,0.00576019,0.461253,1.15735,0.720128,0.347948,1.90151,3.49131,5.38364,0.33682,0.0427351,0.0105869,0.00251652,0.00180463,0.000556679,0,0,0,0,0,0.170211,0.31252,0.481909,0.0301499,0.00382537,0.000947669,0.000225263,0.000161539,4.98303e-05,0,true
6,16,500,239.583,0.0104246,0.00558566,0.0483896,0.1,0.00483896,0.0243266,-1.81608e-10,0.0243266,56.3139,0.007935,0.912109,0.00576019,0.461255,1.15734,0.720128,0.347813,1.90151,3.49119,5.38364,0.33678,0.0427369,0.0105919,0.00251709,0.00180571,0.000557426,0,0,0,0,0,0.170214,0.312514,0.481916,0.0301468,0.00382558,0.000948128,0.000225317,0.000161638,4.98979e-05,0,true
7,16,500,239.583,0.0104176,0.00558559,0.0483204,0.1,0.00483204,0.0243228,-4.43878e-12,0.0243228,56.2737,0.007928,0.912109,0.00577545,0.461255,1.15731,0.720129,0.34768,1.90151,3.49107,5.38364,0.33674,0.0427386,0.0105968,0.00251772,0.00180679,0.000558244,0,0,0,0,0,0.170216,0.312507,0.481922,0.0301437,0.00382579,0.000948582,0.000225376,0.000161737,4.99718e-05,0,true
8,16,500,239.583,0.0104106,0.00558551,0.0482513,0.1,0.00482513,0.0243267,-3.16088e-11,0.0243267,56.2334,0.00792147,0.912109,0.00579071,0.461256,1.15729,0.720129,0.347547,1.90151,3.49095,5.38364,0.3367,0.0427402,0.0106017,0.00251837,0.00180788,0.000559088,0,0,0,0,0,0.170218,0.3125,0.481929,0.0301405,0.00382599,0.000949034,0.000225438,0.000161837,5.0048e-05,0,true
9,16,500,239.583,0.0104037,0.00558543,0.0481824,0.1,0.00481824,0.0243078,1.47506e-10,0.0243078,56.1933,0.00791484,0.912109,0.00580597,0.461258,1.15727,0.72013,0.347414,1.90151,3.49082,5.38363,0.33666,0.0427419,0.0106066,0.002519,0.00180896,0.0005599,0,0,0,0,0,0.170221,0.312493,0.481935,0.0301374,0.0038262,0.000949489,0.000225497,0.000161936,5.01215e-05,0,true
10,16,500,239.583,0.0103967,0.00558536,0.0481138,0.1,0.00481138,0.0242588,1.11466e-10,0.0242588,56.1532,0.0079072,0.912109,0.00582886,0.461258,1.15725,0.72013,0.34728,1.90151,3.4907,5.38363,0.33662,0.0427439,0.0106115,0.00251959,0.00181004,0.000560672,0,0,0,0,0,0.170223,0.312487,0.481941,0.0301342,0.00382643,0.000949944,0.000225553,0.000162035,5.01912e-05,0,true
11,16,500,239.583,0.0103898,0.00558528,0.0480453,0.1,0.00480453,0.0242018,1.61589e-10,0.0242018,56.1132,0.00789967,0.912109,0.00583649,0.461259,1.15723,0.72013,0.347146,1.90151,3.49058,5.38363,0.336579,0.0427459,0.0106165,0.00252019,0.00181113,0.000561437,0,0,0,0,0,0.170225,0.31248,0.481948,0.0301309,0.00382666,0.0009504,0.00022561,0.000162134,5.02604e-05,0,true
12,16,500,239.583,0.0103829,0.0055852,0.0479769,0.1,0.00479769,0.0241647,2.50882e-11,0.0241647,56.0733,0.00789216,0.912109,0.005867,0.461261,1.15721,0.720131,0.347012,1.90151,3.49046,5.38363,0.336538,0.0427479,0.0106214,0.00252081,0.00181222,0.000562244,0,0,0,0,0,0.170228,0.312474,0.481955,0.0301277,0.00382689,0.000950853,0.000225669,0.000162234,5.03333e-05,0,true
