step,horizon,training_episode_steps,window_start_mean,loss,diff_rollout_loss_scaled,critic_loss_raw,critic_loss_weight,critic_loss_scaled,critic_output_mean,critic_target_mean,critic_error_mean,critic_error_norm,grad_norm,success_rate_batch,action_saturation_rate,final_position_norm_mean,final_velocity_norm_mean,final_attitude_error_mean,final_angular_velocity_norm_mean,loss_position_mean,loss_velocity_mean,loss_attitude_mean,loss_angular_velocity_mean,loss_linear_acceleration_mean,loss_angular_acceleration_mean,loss_action_magnitude_mean,loss_action_smoothness_mean,loss_saturation_mean,loss_terminal_mean,loss_terminal_position_mean,loss_terminal_velocity_mean,loss_terminal_attitude_mean,loss_terminal_angular_velocity_mean,ratio_position,ratio_velocity,ratio_attitude,ratio_angular_velocity,ratio_linear_acceleration,ratio_angular_acceleration,ratio_action_magnitude,ratio_action_smoothness,ratio_saturation,ratio_terminal,finite
0,16,500,239.583,0.00733224,0.00551403,0.0181821,0.1,0.00181821,0.00615472,-1.87302e-10,0.00615472,34.5193,0.00280416,0.906738,0.0174103,0.460674,1.12063,0.720033,0.252464,1.9017,3.39605,5.37899,0.280569,0.0482939,0.0147643,0.00323213,0.00281758,0.00164225,0,0,0,0,0,0.172442,0.307946,0.487755,0.0254414,0.00437918,0.0013388,0.000293082,0.000255492,0.000148915,0,true
1,16,500,239.583,0.00733061,0.00551393,0.0181668,0.1,0.00181668,0.00708688,2.98297e-11,0.00708688,34.5048,0.00342861,0.906738,0.0175018,0.460673,1.12056,0.720034,0.252419,1.9017,3.39587,5.379,0.280529,0.0482881,0.0147663,0.00323413,0.00281884,0.00164688,0,0,0,0,0,0.172445,0.307936,0.487765,0.0254383,0.00437874,0.001339,0.000293269,0.000255611,0.000149339,0,true
2,16,500,239.583,0.00732964,0.00551396,0.0181567,0.1,0.00181567,0.00559309,2.0521e-10,0.00559309,34.4952,0.00352883,0.906738,0.0173874,0.460675,1.12061,0.720033,0.252351,1.9017,3.39602,5.37899,0.280454,0.048301,0.0147717,0.00323288,0.00281958,0.00164238,0,0,0,0,0,0.172444,0.307947,0.48776,0.0254312,0.00437988,0.00133948,0.000293154,0.000255677,0.000148929,0,true
3,16,500,239.583,0.00732783,0.00551384,0.0181399,0.1,0.00181399,0.00691244,-3.78961e-11,0.00691244,34.4792,0.00317699,0.906738,0.0174866,0.460674,1.12052,0.720034,0.252308,1.90171,3.39579,5.37899,0.28042,0.0482921,0.0147731,0.00323532,0.00282091,0.0016483,0,0,0,0,0,0.172448,0.307933,0.487772,0.0254287,0.00437917,0.00133964,0.000293382,0.000255803,0.00014947,0,true
4,16,500,239.583,0.00732658,0.00551383,0.0181275,0.1,0.00181275,0.00626548,3.03599e-11,0.00626548,34.4675,0.00272038,0.906738,0.0174561,0.460675,1.12053,0.720034,0.252246,1.90171,3.39582,5.37898,0.280357,0.0482982,0.0147773,0.00323512,0.00282182,0.00164674,0,0,0,0,0,0.172449,0.307937,0.487772,0.0254231,0.00437973,0.00134002,0.000293364,0.000255886,0.000149328,0,true
5,16,500,239.583,0.00732526,0.00551379,0.0181146,0.1,0.00181146,0.00603378,5.87134e-11,0.00603378,34.4552,0.00287074,0.906738,0.0174637,0.460676,1.12052,0.720034,0.252188,1.90171,3.3958,5.37898,0.2803,0.0483009,0.014781,0.00323545,0.00282283,0.00164671,0,0,0,0,0,0.17245,0.307937,0.487775,0.0254181,0.00438001,0.00134036,0.000293396,0.000255979,0.000149326,0,true
6,16,500,239.583,0.00732361,0.00551369,0.0180993,0.1,0.00180993,0.00697313,-4.57219e-11,0.00697313,34.4406,0.00325611,0.906738,0.0175476,0.460677,1.12045,0.720034,0.25214,1.90171,3.39562,5.37898,0.28026,0.0482948,0.0147829,0.00323735,0.00282408,0.0016511,0,0,0,0,0,0.172454,0.307927,0.487785,0.025415,0.00437954,0.00134056,0.000293574,0.000256097,0.000149728,0,true
7,16,500,239.583,0.00732254,0.00551371,0.0180884,0.1,0.00180884,0.00578678,-2.93232e-12,0.00578678,34.4302,0.00317881,0.906738,0.0175018,0.460678,1.12049,0.720034,0.252073,1.90172,3.39572,5.37898,0.280189,0.0483049,0.0147879,0.00323643,0.00282488,0.00164754,0,0,0,0,0,0.172454,0.307935,0.487783,0.0254084,0.00438044,0.00134101,0.00029349,0.000256169,0.000149404,0,true
8,16,500,239.583,0.00732087,0.0055136,0.0180726,0.1,0.00180726,0.00670365,-1.3159e-10,0.00670365,34.4152,0.00289646,0.906738,0.0175629,0.460678,1.12042,0.720033,0.252024,1.90172,3.39555,5.37898,0.280149,0.0482988,0.0147898,0.00323831,0.00282612,0.00165187,0,0,0,0,0,0.172457,0.307925,0.487792,0.0254053,0.00437997,0.00134121,0.000293665,0.000256286,0.000149799,0,true
9,16,500,239.583,0.00731955,0.00551357,0.0180598,0.1,0.00180598,0.00639218,-8.99212e-11,0.00639218,34.403,0.00270145,0.906738,0.0175476,0.460679,1.12041,0.720034,0.251964,1.90172,3.39554,5.37898,0.280091,0.0483022,0.0147936,0.00323855,0.0028271,0.00165157,0,0,0,0,0,0.172458,0.307925,0.487794,0.0254002,0.0043803,0.00134156,0.000293689,0.000256377,0.000149773,0,true
10,16,500,239.583,0.00731828,0.00551354,0.0180474,0.1,0.00180474,0.00602474,-5.31546e-11,0.00602474,34.3912,0.00285947,0.906738,0.0175476,0.46068,1.1204,0.720035,0.251904,1.90173,3.39554,5.37898,0.280032,0.048306,0.0147974,0.00323872,0.00282808,0.00165109,0,0,0,0,0,0.172459,0.307927,0.487797,0.025395,0.00438066,0.00134191,0.000293706,0.000256466,0.00014973,0,true
11,16,500,239.583,0.00731668,0.00551345,0.0180323,0.1,0.00180323,0.00684406,1.55588e-10,0.00684406,34.3768,0.00307762,0.906738,0.0175934,0.46068,1.12034,0.720035,0.251854,1.90173,3.39538,5.37898,0.279991,0.0483007,0.0147994,0.00324049,0.00282931,0.00165514,0,0,0,0,0,0.172463,0.307918,0.487805,0.0253916,0.00438027,0.00134212,0.000293872,0.000256583,0.0001501,0,true
12,16,500,239.583,0.00731556,0.00551345,0.018021,0.1,0.0018021,0.00591374,1.06282e-11,0.00591374,34.366,0.00295455,0.906738,0.0175858,0.460681,1.12036,0.720035,0.251789,1.90173,3.39544,5.37898,0.279923,0.0483089,0.0148041,0.00323997,0.00283016,0.00165269,0,0,0,0,0,0.172463,0.307923,0.487805,0.0253855,0.004381,0.00134254,0.000293824,0.00025666,0.000149878,0,true
13,16,500,239.583,0.00731399,0.00551337,0.0180062,0.1,0.00180062,0.00653044,5.46005e-11,0.00653044,34.3519,0.00276461,0.906738,0.017601,0.460681,1.12031,0.720036,0.251739,1.90173,3.39531,5.37897,0.279879,0.0483052,0.0148064,0.00324151,0.00283135,0.00165608,0,0,0,0,0,0.172466,0.307916,0.487812,0.0253818,0.00438074,0.00134277,0.000293968,0.000256772,0.000150188,0,true
14,16,500,239.583,0.00731265,0.00551333,0.0179932,0.1,0.00179932,0.00639716,1.44344e-10,0.00639716,34.3395,0.00269915,0.906738,0.017601,0.460682,1.12029,0.720035,0.251681,1.90173,3.39528,5.37897,0.279824,0.0483073,0.0148099,0.00324206,0.00283238,0.00165664,0,0,0,0,0,0.172467,0.307915,0.487816,0.025377,0.00438096,0.0013431,0.00029402,0.000256867,0.000150239,0,true
15,16,500,239.583,0.00731139,0.0055133,0.0179809,0.1,0.00179809,0.0060197,7.88665e-11,0.0060197,34.3277,0.00281145,0.906738,0.0175858,0.460683,1.12029,0.720034,0.251622,1.90174,3.39527,5.37898,0.279766,0.0483112,0.0148137,0.00324228,0.00283336,0.00165625,0,0,0,0,0,0.172468,0.307916,0.487818,0.0253719,0.00438133,0.00134345,0.000294041,0.000256957,0.000150205,0,true
16,16,500,239.583,0.00730983,0.00551321,0.0179662,0.1,0.00179662,0.00670408,-3.60365e-11,0.00670408,34.3137,0.00293047,0.906738,0.017601,0.460683,1.12022,0.720035,0.251572,1.90174,3.39513,5.37898,0.279722,0.0483069,0.0148159,0.00324392,0.00283456,0.00165991,0,0,0,0,0,0.172471,0.307908,0.487826,0.0253684,0.00438101,0.00134368,0.000294195,0.00025707,0.000150539,0,true
17,16,500,239.583,0.00730865,0.00551321,0.0179544,0.1,0.00179544,0.00599706,-1.6914e-11,0.00599706,34.3025,0.00281674,0.906738,0.0175934,0.460684,1.12024,0.720036,0.25151,1.90174,3.39517,5.37898,0.279659,0.0483134,0.0148202,0.00324373,0.00283547,0.00165836,0,0,0,0,0,0.172472,0.307912,0.487827,0.0253626,0.00438161,0.00134406,0.000294178,0.000257153,0.000150399,0,true
18,16,500,239.583,0.00730715,0.00551313,0.0179402,0.1,0.00179402,0.00642992,-7.16462e-11,0.00642992,34.2889,0.00270854,0.906738,0.0176086,0.460685,1.12019,0.720036,0.251459,1.90175,3.39506,5.37898,0.279612,0.0483111,0.0148229,0.00324507,0.00283663,0.00166116,0,0,0,0,0,0.172474,0.307907,0.487833,0.0253587,0.00438146,0.00134432,0.000294303,0.000257261,0.000150655,0,true
19,16,500,239.583,0.0073058,0.00551309,0.0179272,0.1,0.00179272,0.00636935,-9.13463e-11,0.00636935,34.2764,0.00268627,0.906738,0.0176086,0.460685,1.12017,0.720036,0.251404,1.90175,3.39501,5.37897,0.279558,0.0483128,0.0148262,0.00324574,0.00283767,0.00166211,0,0,0,0,0,0.172476,0.307905,0.487836,0.0253541,0.00438164,0.00134464,0.000294367,0.000257358,0.000150742,0,true
20,16,500,239.583,0.00730454,0.00551306,0.0179148,0.1,0.00179148,0.00603205,4.45683e-11,0.00603205,34.2647,0.00275214,0.906738,0.017601,0.460686,1.12016,0.720037,0.251347,1.90175,3.39501,5.37896,0.2795,0.0483165,0.01483,0.00324605,0.00283867,0.00166199,0,0,0,0,0,0.172477,0.307906,0.487838,0.0253489,0.00438201,0.00134498,0.000294396,0.00025745,0.000150732,0,true
21,16,500,239.583,0.00730304,0.00551298,0.0179006,0.1,0.00179006,0.00657064,-2.73832e-11,0.00657064,34.251,0.00282273,0.906738,0.017662,0.460686,1.12011,0.720037,0.251297,1.90175,3.39489,5.37897,0.279455,0.0483137,0.0148325,0.00324751,0.00283984,0.00166516,0,0,0,0,0,0.17248,0.3079,0.487846,0.0253452,0.00438181,0.00134523,0.000294533,0.00025756,0.000151022,0,true
22,16,500,239.583,0.00730183,0.00551296,0.0178887,0.1,0.00178887,0.00602298,6.19992e-11,0.00602298,34.2397,0.00274285,0.906738,0.0176392,0.460688,1.12011,0.720037,0.251239,1.90176,3.39491,5.37896,0.279394,0.048319,0.0148365,0.00324754,0.00284079,0.00166426,0,0,0,0,0,0.172481,0.307902,0.487847,0.0253398,0.00438231,0.00134561,0.000294537,0.000257647,0.000150941,0,true
23,16,500,239.583,0.00730038,0.00551289,0.0178749,0.1,0.00178749,0.00635063,1.73282e-10,0.00635063,34.2264,0.00267852,0.906738,0.0176697,0.460688,1.12008,0.720037,0.251189,1.90176,3.39481,5.37895,0.279346,0.0483178,0.0148393,0.00324873,0.00284193,0.00166668,0,0,0,0,0,0.172483,0.307897,0.487852,0.0253357,0.00438225,0.00134588,0.000294649,0.000257753,0.000151162,0,true
24,16,500,239.583,0.00729904,0.00551285,0.0178619,0.1,0.00178619,0.00631201,9.66941e-11,0.00631201,34.214,0.00266606,0.906738,0.0176773,0.460688,1.12006,0.720036,0.251135,1.90176,3.39477,5.37895,0.279293,0.0483194,0.0148427,0.00324944,0.002843,0.00166771,0,0,0,0,0,0.172484,0.307896,0.487856,0.0253311,0.00438243,0.00134619,0.000294715,0.000257852,0.000151257,0,true
25,16,500,239.583,0.00729777,0.00551282,0.0178496,0.1,0.00178496,0.00605161,-6.7036e-11,0.00605161,34.2022,0.0027018,0.906738,0.0176697,0.460689,1.12005,0.720037,0.25108,1.90176,3.39475,5.37895,0.279236,0.0483227,0.0148464,0.00324984,0.00284401,0.00166789,0,0,0,0,0,0.172486,0.307896,0.487859,0.0253261,0.00438276,0.00134653,0.000294753,0.000257945,0.000151273,0,true
26,16,500,239.583,0.00729631,0.00551274,0.0178357,0.1,0.00178357,0.00647203,-3.04385e-11,0.00647203,34.1889,0.00275063,0.906738,0.0177002,0.460689,1.12,0.720037,0.251031,1.90177,3.39465,5.37895,0.27919,0.0483207,0.0148491,0.00325115,0.00284516,0.00167063,0,0,0,0,0,0.172488,0.307891,0.487865,0.0253222,0.00438264,0.00134679,0.000294876,0.000258053,0.000151524,0,true
27,16,500,239.583,0.00729509,0.00551272,0.0178237,0.1,0.00178237,0.00604388,1.09613e-10,0.00604388,34.1774,0.00269604,0.906738,0.0177078,0.46069,1.12,0.720037,0.250974,1.90177,3.39465,5.37895,0.27913,0.0483254,0.014853,0.00325132,0.00284615,0.00167016,0,0,0,0,0,0.172489,0.307893,0.487867,0.0253169,0.00438308,0.00134715,0.000294893,0.000258144,0.000151482,0,true
28,16,500,239.583,0.00729367,0.00551266,0.0178101,0.1,0.00178101,0.00631019,2.82588e-10,0.00631019,34.1644,0.00266043,0.906738,0.0177155,0.460691,1.11996,0.720036,0.250922,1.90178,3.39456,5.37895,0.279081,0.0483247,0.0148559,0.00325243,0.00284728,0.00167234,0,0,0,0,0,0.172492,0.307888,0.487873,0.0253128,0.00438306,0.00134744,0.000294996,0.000258249,0.000151682,0,true
29,16,500,239.583,0.00729235,0.00551261,0.0177974,0.1,0.00177974,0.00625433,-1.75664e-10,0.00625433,34.1521,0.00264598,0.906738,0.0177155,0.460691,1.11994,0.720036,0.250869,1.90178,3.39452,5.37895,0.279027,0.0483264,0.0148593,0.0032531,0.00284834,0.00167332,0,0,0,0,0,0.172493,0.307887,0.487876,0.0253081,0.00438326,0.00134775,0.00029506,0.000258347,0.000151772,0,true
30,16,500,239.583,0.00729107,0.00551258,0.0177849,0.1,0.00177849,0.00606802,1.71834e-10,0.00606802,34.1402,0.0026628,0.906738,0.0177155,0.460691,1.11993,0.720037,0.250813,1.90178,3.3945,5.37894,0.278972,0.0483291,0.0148629,0.00325359,0.00284937,0.00167378,0,0,0,0,0,0.172495,0.307887,0.487879,0.0253032,0.00438353,0.00134809,0.000295106,0.000258442,0.000151815,0,true
31,16,500,239.583,0.00728965,0.00551251,0.0177714,0.1,0.00177714,0.00637801,-1.69861e-10,0.00637801,34.1272,0.00269784,0.906738,0.0177307,0.460692,1.11989,0.720037,0.250763,1.90178,3.39441,5.37894,0.278924,0.0483279,0.0148657,0.00325474,0.0028505,0.0016761,0,0,0,0,0,0.172497,0.307882,0.487885,0.0252992,0.00438348,0.00134836,0.000295214,0.000258548,0.000152027,0,true
32,16,500,239.583,0.00728842,0.00551248,0.0177593,0.1,0.00177593,0.00603692,-1.56485e-10,0.00603692,34.1156,0.00266495,0.906738,0.0177383,0.460693,1.11989,0.720036,0.250707,1.90178,3.3944,5.37893,0.278866,0.0483317,0.0148695,0.00325501,0.0028515,0.00167592,0,0,0,0,0,0.172498,0.307883,0.487887,0.0252941,0.00438384,0.00134871,0.000295239,0.00025864,0.000152011,0,true
33,16,500,239.583,0.00728702,0.00551242,0.017746,0.1,0.0017746,0.00626883,1.38879e-10,0.00626883,34.1028,0.00264559,0.906738,0.0177612,0.460693,1.11985,0.720035,0.250655,1.90178,3.39433,5.37893,0.278817,0.048331,0.0148725,0.00325602,0.00285261,0.00167792,0,0,0,0,0,0.1725,0.30788,0.487891,0.0252899,0.00438383,0.00134899,0.000295335,0.000258743,0.000152194,0,true
34,16,500,239.583,0.00728572,0.00551238,0.0177333,0.1,0.00177333,0.00618647,7.57183e-11,0.00618647,34.0907,0.00262734,0.90625,0.0177765,0.460694,1.11983,0.720036,0.250601,1.90179,3.39428,5.37893,0.278764,0.0483327,0.0148759,0.00325663,0.00285365,0.00167872,0,0,0,0,0,0.172501,0.307878,0.487895,0.0252853,0.00438401,0.00134931,0.000295393,0.00025884,0.000152268,0,true
