step,horizon,training_episode_steps,window_start_mean,loss,diff_rollout_loss_scaled,critic_loss_raw,critic_loss_weight,critic_loss_scaled,critic_output_mean,critic_target_mean,critic_error_mean,critic_error_norm,grad_norm,success_rate_batch,action_saturation_rate,final_position_norm_mean,final_velocity_norm_mean,final_attitude_error_mean,final_angular_velocity_norm_mean,loss_position_mean,loss_velocity_mean,loss_attitude_mean,loss_angular_velocity_mean,loss_linear_acceleration_mean,loss_angular_acceleration_mean,loss_action_magnitude_mean,loss_action_smoothness_mean,loss_saturation_mean,loss_terminal_mean,loss_terminal_position_mean,loss_terminal_velocity_mean,loss_terminal_attitude_mean,loss_terminal_angular_velocity_mean,ratio_position,ratio_velocity,ratio_attitude,ratio_angular_velocity,ratio_linear_acceleration,ratio_angular_acceleration,ratio_action_magnitude,ratio_action_smoothness,ratio_saturation,ratio_terminal,finite
0,16,500,239.583,0.0561857,0.00613119,0.500545,0.1,0.0500545,0.0107248,-5.48024e-11,0.0107248,181.118,0.0249937,0.877441,0,0.464086,1.23555,0.75211,1.00837,1.91442,3.83325,5.50032,0.971373,0.041377,0.00137937,1.13791e-05,0.00024884,0,0,0,0,0,0,0.156122,0.312603,0.448553,0.0792158,0.00337431,0.000112488,9.27965e-07,2.0293e-05,0,0,true
1,16,500,239.583,0.0561743,0.00612851,0.500458,0.1,0.0500458,0.0109466,1.32334e-10,0.0109466,181.102,0.0249147,0.877441,0,0.464084,1.23549,0.751854,1.00208,1.91442,3.83312,5.49958,0.966942,0.0413713,0.00133529,1.11409e-05,0.00024856,0,0,0,0,0,0,0.156189,0.312729,0.448688,0.0788888,0.00337531,0.00010894,9.08942e-07,2.0279e-05,0,0,true
2,16,500,239.583,0.0561629,0.00612588,0.50037,0.1,0.050037,0.0111672,-8.27721e-12,0.0111672,181.086,0.0248368,0.877441,0,0.464083,1.23543,0.7516,0.99589,1.91441,3.833,5.49884,0.962593,0.0413655,0.00129252,1.09104e-05,0.000248287,0,0,0,0,0,0,0.156256,0.312853,0.44882,0.0785677,0.00337629,0.000105497,8.90517e-07,2.02654e-05,0,0,true
3,16,500,239.583,0.0561517,0.00612329,0.500284,0.1,0.0500284,0.0113865,-3.07465e-11,0.0113865,181.071,0.02476,0.877441,0,0.464082,1.23538,0.751348,0.989787,1.91441,3.83287,5.4981,0.958328,0.0413597,0.00125109,1.06874e-05,0.000248023,0,0,0,0,0,0,0.156322,0.312975,0.44895,0.0782527,0.00337725,0.000102158,8.72686e-07,2.02524e-05,0,0,true
4,16,500,239.583,0.0561405,0.00612075,0.500197,0.1,0.0500197,0.0116047,5.79301e-11,0.0116047,181.055,0.0246844,0.877441,0,0.46408,1.23532,0.751098,0.983781,1.91441,3.83275,5.49737,0.954149,0.0413539,0.001211,1.0472e-05,0.000247766,0,0,0,0,0,0,0.156387,0.313095,0.449077,0.0779439,0.00337818,9.89258e-05,8.55454e-07,2.02399e-05,0,0,true
5,16,500,239.583,0.0561294,0.00611825,0.500112,0.1,0.0500112,0.0118216,4.33589e-11,0.0118216,181.04,0.0246102,0.877441,0,0.464079,1.23527,0.75085,0.977872,1.9144,3.83262,5.49664,0.950057,0.0413482,0.00117225,1.02642e-05,0.000247519,0,0,0,0,0,0,0.15645,0.313213,0.449201,0.0776412,0.00337909,9.57992e-05,8.38818e-07,2.02279e-05,0,0,true
6,16,500,239.583,0.0561184,0.0061158,0.500026,0.1,0.0500026,0.0120371,3.34384e-11,0.0120371,181.024,0.0245371,0.877441,0,0.464077,1.23521,0.750606,0.972061,1.9144,3.83249,5.49593,0.946049,0.0413426,0.00113484,1.00638e-05,0.000247278,0,0,0,0,0,0,0.156513,0.313327,0.449322,0.0773447,0.00337998,9.27793e-05,8.22773e-07,2.02164e-05,0,0,true
7,16,500,239.583,0.0561076,0.00611339,0.499942,0.1,0.0499942,0.0122513,-2.09926e-10,0.0122513,181.009,0.0244653,0.877441,0,0.464076,1.23515,0.750362,0.966352,1.9144,3.83237,5.49521,0.942127,0.0413369,0.00109877,9.87088e-06,0.000247046,0,0,0,0,0,0,0.156574,0.31344,0.44944,0.0770544,0.00338085,8.98662e-05,8.07317e-07,2.02054e-05,0,0,true
8,16,500,239.583,0.0560968,0.00611103,0.499858,0.1,0.0499858,0.0124641,4.95885e-10,0.0124641,180.994,0.0243949,0.87793,0,0.464075,1.2351,0.750121,0.960746,1.91439,3.83224,5.49448,0.938291,0.0413313,0.00106405,9.68538e-06,0.000246822,0,0,0,0,0,0,0.156634,0.313551,0.449555,0.0767703,0.0033817,8.70598e-05,7.92451e-07,2.01948e-05,0,0,true
9,16,500,239.583,0.0560861,0.00610871,0.499774,0.1,0.0499774,0.0126753,5.7379e-11,0.0126753,180.978,0.0243256,0.87793,0,0.464074,1.23505,0.749885,0.955243,1.91439,3.83211,5.49377,0.934542,0.0413257,0.00103066,9.50727e-06,0.000246605,0,0,0,0,0,0,0.156693,0.31366,0.449667,0.0764926,0.00338252,8.43602e-05,7.78173e-07,2.01847e-05,0,0,true
