step,horizon,training_episode_steps,window_start_mean,loss,diff_rollout_loss_scaled,critic_loss_raw,critic_loss_weight,critic_loss_scaled,critic_output_mean,critic_target_mean,critic_error_mean,critic_error_norm,grad_norm,success_rate_batch,action_saturation_rate,final_position_norm_mean,final_velocity_norm_mean,final_attitude_error_mean,final_angular_velocity_norm_mean,loss_position_mean,loss_velocity_mean,loss_attitude_mean,loss_angular_velocity_mean,loss_linear_acceleration_mean,loss_angular_acceleration_mean,loss_action_magnitude_mean,loss_action_smoothness_mean,loss_saturation_mean,loss_terminal_mean,loss_terminal_position_mean,loss_terminal_velocity_mean,loss_terminal_attitude_mean,loss_terminal_angular_velocity_mean,ratio_position,ratio_velocity,ratio_attitude,ratio_angular_velocity,ratio_linear_acceleration,ratio_angular_acceleration,ratio_action_magnitude,ratio_action_smoothness,ratio_saturation,ratio_terminal,finite
0,16,500,239.583,0.006533,0.00547905,0.0105395,0.1,0.00105395,0.00231708,-1.20535e-11,0.00231708,26.2814,0.00106167,0.907715,0.0286789,0.460991,1.10712,0.719326,0.22421,1.90286,3.36895,5.37438,0.236391,0.0480892,0.0171956,0.00370243,0.00389441,0.00264672,0,0,0,0,0,0.173649,0.307439,0.490448,0.0215723,0.00438846,0.00156921,0.000337871,0.000355391,0.00024153,0,true
1,16,500,239.583,0.00653256,0.00547903,0.0105353,0.1,0.00105353,0.00231956,1.69517e-10,0.00231956,26.2763,0.00104187,0.907715,0.0286789,0.460992,1.10712,0.719325,0.224209,1.90286,3.36893,5.37438,0.23636,0.048089,0.017197,0.00370287,0.0038955,0.00264807,0,0,0,0,0,0.173649,0.307439,0.49045,0.0215695,0.00438846,0.00156934,0.000337913,0.000355492,0.000241655,0,true
2,16,500,239.583,0.0065321,0.00547899,0.0105311,0.1,0.00105311,0.00252494,2.43156e-10,0.00252494,26.271,0.00118645,0.907715,0.0287018,0.460991,1.1071,0.719325,0.224206,1.90286,3.36889,5.37438,0.236332,0.0480875,0.017198,0.00370367,0.00389667,0.0026502,0,0,0,0,0,0.17365,0.307437,0.490453,0.0215671,0.00438835,0.00156944,0.000337988,0.000355601,0.00024185,0,true
3,16,500,239.583,0.00653177,0.005479,0.0105277,0.1,0.00105277,0.0020853,6.07714e-11,0.0020853,26.2667,0.00144731,0.907715,0.0287018,0.460991,1.10711,0.719326,0.224208,1.90286,3.36894,5.37438,0.236295,0.0480911,0.0172001,0.00370326,0.00389768,0.00264913,0,0,0,0,0,0.17365,0.307441,0.490452,0.0215637,0.00438868,0.00156964,0.00033795,0.000355692,0.000241753,0,true
4,16,500,239.583,0.00653123,0.00547893,0.0105229,0.1,0.00105229,0.00285642,-1.13934e-10,0.00285642,26.2608,0.00190518,0.907715,0.028717,0.460991,1.10706,0.719324,0.224202,1.90286,3.36883,5.37437,0.236273,0.0480855,0.0172002,0.0037051,0.00389904,0.00265375,0,0,0,0,0,0.173652,0.307435,0.490458,0.0215619,0.00438822,0.00156967,0.000338123,0.000355821,0.000242178,0,true
5,16,500,239.583,0.00653102,0.00547898,0.0105204,0.1,0.00105204,0.00171318,-9.77249e-11,0.00171318,26.2577,0.00250917,0.907715,0.0287094,0.460992,1.10711,0.719323,0.224214,1.90286,3.36896,5.37437,0.236227,0.048095,0.0172035,0.00370351,0.0038998,0.00264994,0,0,0,0,0,0.173651,0.307444,0.490454,0.0215576,0.00438905,0.00156996,0.000337974,0.000355887,0.000241827,0,true
6,16,500,239.583,0.00653037,0.00547887,0.0105151,0.1,0.00105151,0.00331263,1.8153e-11,0.00331263,26.251,0.0034483,0.907715,0.0287399,0.46099,1.10702,0.719322,0.224201,1.90286,3.36874,5.37437,0.236216,0.0480831,0.0172023,0.00370691,0.00390138,0.00265855,0,0,0,0,0,0.173654,0.307431,0.490463,0.021557,0.00438805,0.00156988,0.000338291,0.000356039,0.000242618,0,true
7,16,500,239.583,0.00653043,0.00547898,0.0105145,0.1,0.00105145,0.0010456,-2.13345e-11,0.0010456,26.2503,0.00471833,0.907715,0.0286865,0.460992,1.10713,0.719323,0.224221,1.90286,3.36903,5.37436,0.236156,0.0481011,0.0172075,0.00370314,0.00390182,0.0026491,0,0,0,0,0,0.173651,0.30745,0.490453,0.0215511,0.0043896,0.00157032,0.00033794,0.000356071,0.000241752,0,true
8,16,500,239.583,0.00652963,0.00547878,0.0105086,0.1,0.00105086,0.0042721,8.28346e-11,0.0042721,26.2429,0.00660657,0.907715,0.0288086,0.460989,1.10695,0.719323,0.224192,1.90286,3.36861,5.37436,0.236165,0.0480762,0.0172036,0.00370939,0.00390389,0.0026647,0,0,0,0,0,0.173657,0.307423,0.490471,0.0215527,0.0043875,0.00157002,0.000338524,0.000356274,0.000243184,0,true
9,16,500,239.583,0.00653031,0.00547902,0.0105129,0.1,0.00105129,-0.000239791,8.80795e-13,-0.000239791,26.2483,0.00912257,0.907715,0.0286407,0.460992,1.10719,0.719322,0.224231,1.90286,3.36917,5.37436,0.236077,0.0481116,0.0172125,0.00370146,0.0039036,0.00264498,0,0,0,0,0,0.17365,0.307461,0.490449,0.0215437,0.00439053,0.00157076,0.000337785,0.000356232,0.000241373,0,true
10,16,500,239.583,0.00652942,0.00547864,0.0105079,0.1,0.00105079,0.00597768,6.85318e-11,0.00597768,26.242,0.0125846,0.907715,0.028923,0.460987,1.10684,0.719322,0.224176,1.90286,3.36838,5.37436,0.236123,0.0480633,0.0172037,0.00371317,0.00390651,0.00267438,0,0,0,0,0,0.173662,0.30741,0.490483,0.0215494,0.00438643,0.00157007,0.000338877,0.000356522,0.000244073,0,true
11,16,500,239.583,0.00653142,0.00547911,0.0105231,0.1,0.00105231,-0.00247102,5.85779e-11,-0.00247102,26.2611,0.0168444,0.907715,0.0285645,0.460994,1.10729,0.719321,0.224249,1.90286,3.36945,5.37434,0.235986,0.0481289,0.0172191,0.0036979,0.00390504,0.00263625,0,0,0,0,0,0.173647,0.307481,0.490439,0.0215351,0.00439203,0.00157134,0.000337454,0.000356357,0.000240573,0,true
12,16,500,239.583,0.00653058,0.00547845,0.0105213,0.1,0.00105213,0.00855408,-1.84006e-11,0.00855408,26.2587,0.02141,0.907715,0.0290451,0.460985,1.10668,0.719321,0.224149,1.90286,3.36804,5.37435,0.236093,0.0480427,0.0172024,0.00371834,0.00390938,0.00268744,0,0,0,0,0,0.173668,0.30739,0.490499,0.0215474,0.00438469,0.00157001,0.00033936,0.000356796,0.000245274,0,true
13,16,500,239.583,0.00653341,0.0054792,0.0105421,0.1,0.00105421,-0.00460036,1.21605e-11,-0.00460036,26.2847,0.0244505,0.907715,0.0284882,0.460996,1.10738,0.71932,0.224262,1.90286,3.3697,5.37433,0.235897,0.0481442,0.0172255,0.00369432,0.0039065,0.00262742,0,0,0,0,0,0.173644,0.3075,0.490431,0.0215266,0.00439336,0.0015719,0.000337123,0.000356484,0.000239763,0,true
14,16,500,239.583,0.00653047,0.00547838,0.010521,0.1,0.0010521,0.00915163,1.7605e-10,0.00915163,26.2584,0.0236684,0.907715,0.0290909,0.460984,1.10663,0.71932,0.224142,1.90286,3.36794,5.37435,0.23604,0.0480372,0.0172043,0.00371991,0.00391156,0.00269182,0,0,0,0,0,0.17367,0.307385,0.490506,0.0215428,0.00438426,0.0015702,0.000339508,0.000357,0.000245677,0,true
15,16,500,239.583,0.0065297,0.00547903,0.0105067,0.1,0.00105067,-0.0024039,1.73956e-10,-0.0024039,26.2406,0.0166887,0.907715,0.0286026,0.460993,1.10723,0.719319,0.224237,1.90286,3.3694,5.37433,0.235864,0.0481257,0.0172247,0.00369872,0.0039092,0.00263843,0,0,0,0,0,0.173649,0.307482,0.490446,0.0215243,0.00439181,0.00157187,0.000337534,0.000356743,0.000240775,0,true
16,16,500,239.583,0.00652623,0.00547864,0.0104759,0.1,0.00104759,0.00377583,-1.27498e-11,0.00377583,26.202,0.00513054,0.907715,0.0288467,0.460988,1.10689,0.719319,0.224181,1.90286,3.3686,5.37433,0.235911,0.0480772,0.0172159,0.0037103,0.00391204,0.0026675,0,0,0,0,0,0.173662,0.30743,0.49048,0.0215301,0.00438769,0.00157119,0.000338615,0.000357027,0.000243446,0,true
17,16,500,239.583,0.00652592,0.00547859,0.0104733,0.1,0.00104733,0.00438112,4.02741e-10,0.00438112,26.1988,0.007186,0.907715,0.0288544,0.460987,1.10684,0.719317,0.224174,1.90286,3.36851,5.37433,0.235889,0.0480719,0.0172163,0.00371165,0.00391325,0.00267091,0,0,0,0,0,0.173663,0.307425,0.490485,0.0215282,0.00438726,0.00157124,0.000338741,0.000357141,0.000243759,0,true
18,16,500,239.583,0.00652812,0.00547894,0.0104918,0.1,0.00104918,-0.00208097,3.30383e-11,-0.00208097,26.2219,0.0155613,0.907715,0.0286255,0.460992,1.10717,0.719316,0.224228,1.90286,3.36932,5.37432,0.235778,0.0481214,0.0172283,0.0037,0.00391236,0.00264182,0,0,0,0,0,0.173652,0.307479,0.490452,0.0215168,0.00439149,0.00157223,0.000337656,0.000357037,0.000241089,0,true
19,16,500,239.583,0.00652661,0.00547837,0.0104823,0.1,0.00104823,0.00726954,-1.66157e-11,0.00726954,26.2101,0.0173368,0.907715,0.0290298,0.460984,1.10666,0.719316,0.224148,1.90286,3.36812,5.37432,0.235865,0.0480489,0.0172144,0.00371763,0.0039161,0.00268641,0,0,0,0,0,0.17367,0.307402,0.490504,0.0215269,0.00438533,0.00157112,0.0003393,0.000357415,0.000245183,0,true
20,16,500,239.583,0.00652624,0.00547883,0.0104741,0.1,0.00104741,-0.000959163,5.79387e-12,-0.000959163,26.1998,0.0115269,0.907715,0.0286713,0.46099,1.10708,0.719315,0.224216,1.90286,3.36915,5.3743,0.235732,0.0481117,0.0172292,0.00370263,0.00391474,0.00264864,0,0,0,0,0,0.173656,0.30747,0.490461,0.021513,0.0043907,0.00157234,0.000337903,0.000357261,0.000241716,0,true
21,16,500,239.583,0.00652418,0.0054786,0.0104558,0.1,0.00104558,0.00264407,-1.25096e-10,0.00264407,26.1769,0.0015297,0.907715,0.0288239,0.460987,1.10687,0.719314,0.224183,1.90286,3.36868,5.37431,0.235747,0.0480834,0.0172247,0.00370952,0.00391684,0.00266594,0,0,0,0,0,0.173663,0.30744,0.490482,0.0215153,0.00438829,0.001572,0.000338546,0.000357467,0.000243305,0,true
22,16,500,239.583,0.00652398,0.00547845,0.0104553,0.1,0.00104553,0.00479069,4.35557e-11,0.00479069,26.1764,0.00869046,0.907715,0.0289383,0.460985,1.10675,0.719313,0.224162,1.90286,3.3684,5.3743,0.235745,0.0480663,0.0172225,0.00371374,0.0039185,0.00267664,0,0,0,0,0,0.173668,0.307422,0.490495,0.0215157,0.00438685,0.00157184,0.000338941,0.000357629,0.000244288,0,true
23,16,500,239.583,0.00652548,0.00547879,0.0104669,0.1,0.00104669,-0.00149261,-5.37431e-11,-0.00149261,26.1908,0.013437,0.907715,0.0286636,0.460991,1.10707,0.719313,0.224215,1.90286,3.36918,5.37429,0.235637,0.0481143,0.0172342,0.00370239,0.00391771,0.0026483,0,0,0,0,0,0.173657,0.307475,0.490463,0.0215044,0.00439096,0.00157281,0.000337884,0.000357534,0.000241687,0,true
24,16,500,239.583,0.00652349,0.00547836,0.0104513,0.1,0.00104513,0.00555347,9.93268e-11,0.00555347,26.1713,0.0114949,0.907715,0.0289993,0.460985,1.10669,0.719311,0.224155,1.90286,3.36827,5.3743,0.235695,0.0480597,0.017224,0.00371577,0.0039208,0.00268218,0,0,0,0,0,0.173671,0.307416,0.490503,0.0215114,0.00438633,0.001572,0.000339132,0.000357844,0.000244798,0,true
25,16,500,239.583,0.00652291,0.00547859,0.0104432,0.1,0.00104432,0.00116762,-3.52362e-11,0.00116762,26.1611,0.0040749,0.907715,0.0288086,0.460988,1.1069,0.71931,0.22419,1.90286,3.36881,5.37428,0.23561,0.048093,0.0172326,0.00370786,0.00392059,0.00266225,0,0,0,0,0,0.173663,0.307452,0.49048,0.0215028,0.00438918,0.00157272,0.000338395,0.00035781,0.000242968,0,true
26,16,500,239.583,0.00652261,0.00547858,0.0104403,0.1,0.00104403,0.00094363,-1.03646e-10,0.00094363,26.1575,0.00492029,0.907715,0.0288086,0.460988,1.1069,0.719309,0.224189,1.90286,3.36883,5.37428,0.235578,0.0480943,0.0172343,0.00370766,0.00392161,0.00266174,0,0,0,0,0,0.173664,0.307454,0.490481,0.0214999,0.0043893,0.00157288,0.000338378,0.000357904,0.000242922,0,true
27,16,500,239.583,0.00652212,0.00547831,0.0104382,0.1,0.00104382,0.00524852,3.20217e-10,0.00524851,26.1548,0.0103538,0.907715,0.0290298,0.460984,1.10666,0.719308,0.224153,1.90286,3.36827,5.37428,0.235602,0.0480609,0.0172286,0.00371596,0.00392392,0.00268276,0,0,0,0,0,0.173672,0.307419,0.490505,0.0215031,0.00438647,0.00157244,0.000339152,0.000358133,0.000244853,0,true
