step,horizon,training_episode_steps,window_start_mean,loss,diff_rollout_loss_scaled,critic_loss_raw,critic_loss_weight,critic_loss_scaled,critic_output_mean,critic_target_mean,critic_error_mean,critic_error_norm,grad_norm,success_rate_batch,action_saturation_rate,final_position_norm_mean,final_velocity_norm_mean,final_attitude_error_mean,final_angular_velocity_norm_mean,loss_position_mean,loss_velocity_mean,loss_attitude_mean,loss_angular_velocity_mean,loss_linear_acceleration_mean,loss_angular_acceleration_mean,loss_action_magnitude_mean,loss_action_smoothness_mean,loss_saturation_mean,loss_terminal_mean,loss_terminal_position_mean,loss_terminal_velocity_mean,loss_terminal_attitude_mean,loss_terminal_angular_velocity_mean,ratio_position,ratio_velocity,ratio_attitude,ratio_angular_velocity,ratio_linear_acceleration,ratio_angular_acceleration,ratio_action_magnitude,ratio_action_smoothness,ratio_saturation,ratio_terminal,finite
0,16,500,231.378,0.00640653,0.00542006,0.00986473,0.1,0.000986473,0.0104894,-1.01289e-10,0.0104894,17.9791,0.0186818,0.910156,0.0345306,0.452886,1.10868,0.714305,0.227179,1.83721,3.37452,5.32148,0.230015,0.0478279,0.017131,0.00400104,0.00478504,0.00314348,0,0,0,0,0,0.169483,0.3113,0.490906,0.0212189,0.00441212,0.00158034,0.000369096,0.00044142,0.000289986,0,true
1,16,500,248.388,0.00657597,0.00538024,0.0119573,0.1,0.00119573,0.0109433,-4.28466e-11,0.0109433,19.7943,0.0203348,0.912109,0.0323334,0.454448,1.11246,0.705337,0.232717,1.84638,3.40215,5.19721,0.235356,0.0489939,0.0184282,0.00401879,0.00499097,0.00294687,0,0,0,0,0,0.171589,0.316171,0.482991,0.0218723,0.00455313,0.00171258,0.000373477,0.000463824,0.000273861,0,true
2,16,500,242.099,0.00646386,0.00536655,0.0109731,0.1,0.00109731,0.0199943,1.14134e-10,0.0199943,18.9622,0.0276575,0.908203,0.0338593,0.456603,1.10799,0.697938,0.230966,1.88741,3.37689,5.16226,0.230354,0.0466601,0.0177011,0.00396604,0.00478678,0.00307281,0,0,0,0,0,0.175849,0.314624,0.480967,0.021462,0.00434731,0.00164921,0.000369515,0.000445983,0.000286293,0,true
3,16,500,237.749,0.00655148,0.00545728,0.0109419,0.1,0.00109419,-0.0157231,-2.89576e-10,-0.0157231,18.9353,0.0583603,0.899414,0.0334015,0.466816,1.1318,0.706354,0.227896,1.92587,3.49979,5.18051,0.231332,0.0474371,0.0178213,0.00395256,0.00481188,0.00305481,0,0,0,0,0,0.176449,0.320653,0.474642,0.0211947,0.00434622,0.0016328,0.000362136,0.000440868,0.000279884,0,true
4,16,500,249.309,0.00665599,0.00561982,0.0103618,0.1,0.00103618,-0.00499392,-1.69563e-10,-0.00499392,18.4265,0.0477686,0.901367,0.0417175,0.468464,1.13461,0.729341,0.239719,1.95319,3.47449,5.48915,0.242471,0.0485661,0.0187331,0.00419009,0.00504415,0.00379265,0,0,0,0,0,0.173777,0.309128,0.488375,0.0215729,0.00432097,0.0016667,0.000372796,0.000448783,0.000337436,0,true
5,16,500,245.268,0.00650926,0.00532083,0.0118843,0.1,0.00118843,0.0528112,-1.30806e-10,0.0528112,19.7339,0.155352,0.921875,0.0406952,0.448316,1.08122,0.70514,0.236884,1.84183,3.26027,5.22373,0.239359,0.0459785,0.0178087,0.00409912,0.0049174,0.00367192,0,0,0,0,0,0.173077,0.306369,0.490875,0.0224927,0.00432062,0.00167349,0.000385196,0.00046209,0.000345051,0,true
6,16,500,234.938,0.00710053,0.00555499,0.0154554,0.1,0.00154554,-0.0845609,-1.11353e-11,-0.0845609,22.5043,0.312132,0.884766,0.0381165,0.464246,1.15353,0.707641,0.231895,1.91385,3.66694,5.20919,0.240631,0.0484683,0.0183001,0.00413925,0.00500359,0.0034493,0,0,0,0,0,0.172264,0.330058,0.468875,0.021659,0.0043626,0.00164717,0.00037257,0.000450369,0.000310469,0,true
7,16,500,245.596,0.00659975,0.00553195,0.0106779,0.1,0.00106779,-0.0255677,-6.8055e-11,-0.0255677,18.7055,0.0452174,0.902344,0.0425262,0.46258,1.12903,0.720018,0.231936,1.90882,3.45754,5.39096,0.228182,0.0479287,0.0174143,0.0042843,0.00490697,0.00386871,0,0,0,0,0,0.172527,0.312506,0.487256,0.020624,0.00433198,0.00157397,0.000387232,0.000443512,0.00034967,0,true
8,16,500,238.494,0.00702379,0.00525092,0.0177287,0.1,0.00177287,0.0968041,2.19903e-10,0.0968041,24.1026,0.305086,0.916016,0.0376587,0.456836,1.07026,0.690268,0.231172,1.86742,3.22533,5.10004,0.233034,0.0458175,0.0177367,0.00414508,0.00483804,0.00346643,0,0,0,0,0,0.177819,0.307121,0.485634,0.0221898,0.00436281,0.00168892,0.000394701,0.000460685,0.000330078,0,true
9,16,500,240.343,0.00654465,0.00538069,0.0116396,0.1,0.00116396,0.0417555,-2.27314e-10,0.0417555,19.5296,0.145172,0.902344,0.0388489,0.457383,1.09247,0.708412,0.233719,1.87337,3.33112,5.23643,0.242782,0.0463233,0.0187234,0.00411987,0.00497083,0.00354465,0,0,0,0,0,0.174083,0.309544,0.486594,0.0225604,0.00430459,0.00173986,0.000382838,0.000461914,0.000329386,0,true
