step,horizon,training_episode_steps,window_start_mean,loss,diff_rollout_loss_scaled,critic_loss_raw,critic_loss_weight,critic_loss_scaled,critic_output_mean,critic_target_mean,critic_error_mean,critic_error_norm,grad_norm,success_rate_batch,action_saturation_rate,final_position_norm_mean,final_velocity_norm_mean,final_attitude_error_mean,final_angular_velocity_norm_mean,loss_position_mean,loss_velocity_mean,loss_attitude_mean,loss_angular_velocity_mean,loss_linear_acceleration_mean,loss_angular_acceleration_mean,loss_action_magnitude_mean,loss_action_smoothness_mean,loss_saturation_mean,loss_terminal_mean,loss_terminal_position_mean,loss_terminal_velocity_mean,loss_terminal_attitude_mean,loss_terminal_angular_velocity_mean,ratio_position,ratio_velocity,ratio_attitude,ratio_angular_velocity,ratio_linear_acceleration,ratio_angular_acceleration,ratio_action_magnitude,ratio_action_smoothness,ratio_saturation,ratio_terminal,finite
0,16,500,239.583,0.0231092,0.00570012,0.174091,0.1,0.0174091,0.0516151,4.05699e-11,0.0516151,106.814,0.0125805,0.899902,0,0.461627,1.16961,0.724583,0.400596,1.90824,3.63477,5.40769,0.403562,0.0390084,0.00465845,0.000786151,0.00152834,0,0,0,0,0,0,0.167386,0.318833,0.474348,0.0353994,0.00342172,0.000408627,6.89592e-05,0.000134062,0,0,true
1,16,500,239.583,0.0230903,0.00569994,0.173904,0.1,0.0173904,0.0515183,-9.04662e-11,0.0515183,106.757,0.0125607,0.900391,0,0.461625,1.16956,0.724577,0.400536,1.90823,3.63457,5.40766,0.403426,0.0390067,0.00466197,0.000787039,0.00152816,0,0,0,0,0,0,0.167391,0.318825,0.474361,0.0353886,0.00342167,0.000408949,6.90393e-05,0.00013405,0,0,true
2,16,500,239.583,0.0230714,0.00569975,0.173717,0.1,0.0173717,0.0514264,-1.22874e-10,0.0514264,106.699,0.0125417,0.900391,0,0.461622,1.1695,0.72457,0.400475,1.90823,3.63436,5.40763,0.40329,0.0390048,0.0046655,0.000787924,0.00152795,0,0,0,0,0,0,0.167396,0.318818,0.474375,0.0353778,0.00342162,0.000409272,6.91191e-05,0.000134037,0,0,true
3,16,500,239.583,0.0230525,0.00569957,0.173529,0.1,0.0173529,0.0513406,-1.33422e-10,0.0513406,106.642,0.0125233,0.900391,0,0.46162,1.16945,0.724564,0.400414,1.90822,3.63416,5.40761,0.403154,0.0390031,0.00466903,0.000788803,0.00152773,0,0,0,0,0,0,0.167401,0.31881,0.474388,0.0353671,0.00342159,0.000409595,6.91985e-05,0.000134022,0,0,true
4,16,500,239.583,0.0230336,0.00569938,0.173342,0.1,0.0173342,0.0512585,1.82532e-10,0.0512585,106.584,0.0125043,0.900391,0,0.461617,1.1694,0.724558,0.400351,1.90821,3.63396,5.40758,0.403019,0.0390015,0.00467257,0.000789676,0.0015275,0,0,0,0,0,0,0.167405,0.318803,0.4744,0.0353564,0.00342155,0.000409919,6.92773e-05,0.000134006,0,0,true
5,16,500,239.583,0.0230147,0.0056992,0.173155,0.1,0.0173155,0.0511801,5.98886e-11,0.0511801,106.527,0.0124858,0.900391,0,0.461615,1.16935,0.724552,0.400288,1.90821,3.63376,5.40755,0.402883,0.0389998,0.00467612,0.000790543,0.00152725,0,0,0,0,0,0,0.16741,0.318796,0.474414,0.0353456,0.00342152,0.000410244,6.93557e-05,0.000133988,0,0,true
6,16,500,239.583,0.0229959,0.00569901,0.172969,0.1,0.0172969,0.0511036,1.25184e-10,0.0511036,106.469,0.0124679,0.900391,0,0.461612,1.1693,0.724546,0.400226,1.9082,3.63355,5.40753,0.402748,0.0389981,0.00467965,0.000791405,0.00152699,0,0,0,0,0,0,0.167415,0.318788,0.474427,0.0353349,0.00342148,0.000410567,6.94335e-05,0.00013397,0,0,true
7,16,500,239.583,0.022977,0.00569883,0.172782,0.1,0.0172782,0.0510281,-6.34538e-11,0.0510281,106.412,0.0124502,0.900391,0,0.461609,1.16925,0.724539,0.400164,1.90819,3.63335,5.4075,0.402612,0.0389965,0.00468321,0.000792257,0.00152672,0,0,0,0,0,0,0.16742,0.318781,0.474439,0.0353241,0.00342145,0.000410892,6.95105e-05,0.00013395,0,0,true
8,16,500,239.583,0.0229582,0.00569865,0.172596,0.1,0.0172596,0.0509504,2.5252e-10,0.0509504,106.354,0.0124322,0.900391,0,0.461607,1.1692,0.724533,0.400104,1.90819,3.63315,5.40747,0.402477,0.0389948,0.00468675,0.000793103,0.00152643,0,0,0,0,0,0,0.167425,0.318773,0.474452,0.0353134,0.00342141,0.000411216,6.9587e-05,0.000133929,0,0,true
9,16,500,239.583,0.0229394,0.00569846,0.17241,0.1,0.017241,0.050869,-4.02124e-11,0.050869,106.297,0.0124138,0.900391,0,0.461604,1.16915,0.724527,0.400044,1.90818,3.63295,5.40744,0.402343,0.0389931,0.00469029,0.000793943,0.00152614,0,0,0,0,0,0,0.167429,0.318766,0.474465,0.0353028,0.00342138,0.00041154,6.96629e-05,0.000133908,0,0,true
