step,horizon,training_episode_steps,window_start_mean,loss,diff_rollout_loss_scaled,critic_loss_raw,critic_loss_weight,critic_loss_scaled,critic_output_mean,critic_target_mean,critic_error_mean,critic_error_norm,grad_norm,success_rate_batch,action_saturation_rate,final_position_norm_mean,final_velocity_norm_mean,final_attitude_error_mean,final_angular_velocity_norm_mean,loss_position_mean,loss_velocity_mean,loss_attitude_mean,loss_angular_velocity_mean,loss_linear_acceleration_mean,loss_angular_acceleration_mean,loss_action_magnitude_mean,loss_action_smoothness_mean,loss_saturation_mean,loss_terminal_mean,loss_terminal_position_mean,loss_terminal_velocity_mean,loss_terminal_attitude_mean,loss_terminal_angular_velocity_mean,ratio_position,ratio_velocity,ratio_attitude,ratio_angular_velocity,ratio_linear_acceleration,ratio_angular_acceleration,ratio_action_magnitude,ratio_action_smoothness,ratio_saturation,ratio_terminal,finite
0,16,500,239.696,0.054302,0.00458881,0.497132,0.1,0.0497132,0.0181295,-8.58313e-11,0.0181295,127.632,0.0240403,0.881836,0,0.468807,1.24051,0.743815,0.835466,1.9463,1.02949,5.47868,0.681779,0.0407397,0.000561096,7.25123e-06,7.33625e-05,0,0,0,0,0,0,0.21207,0.112174,0.596961,0.0742871,0.00443903,6.11374e-05,7.90098e-07,7.99362e-06,0,0,true
1,16,500,239.696,0.0542941,0.00458782,0.497063,0.1,0.0497063,0.0182904,4.5855e-10,0.0182904,127.623,0.0240101,0.881836,0,0.468807,1.24047,0.743665,0.832962,1.9463,1.02947,5.47815,0.680354,0.0407352,0.000558431,7.24128e-06,7.33667e-05,0,0,0,0,0,0,0.212116,0.112196,0.597032,0.0741479,0.0044395,6.08603e-05,7.89186e-07,7.99582e-06,0,0,true
2,16,500,239.696,0.0542861,0.00458683,0.496993,0.1,0.0496993,0.0184509,-1.25284e-10,0.0184509,127.615,0.0239802,0.881836,0,0.468806,1.24044,0.743517,0.83053,1.94629,1.02945,5.4776,0.678955,0.0407307,0.000556257,7.23412e-06,7.33724e-05,0,0,0,0,0,0,0.212161,0.112218,0.5971,0.0740113,0.00443996,6.06363e-05,7.88575e-07,7.99816e-06,0,0,true
3,16,500,239.696,0.0542783,0.00458586,0.496924,0.1,0.0496924,0.018611,3.71259e-12,0.018611,127.606,0.0239507,0.881836,0,0.468806,1.24041,0.743369,0.828163,1.94629,1.02943,5.47707,0.677581,0.0407262,0.000554549,7.22964e-06,7.33796e-05,0,0,0,0,0,0,0.212206,0.112239,0.597169,0.0738771,0.00444041,6.04629e-05,7.88252e-07,8.00063e-06,0,0,true
4,16,500,239.696,0.0542704,0.00458491,0.496855,0.1,0.0496855,0.0187707,3.87393e-11,0.0187707,127.597,0.0239217,0.881836,0,0.468805,1.24038,0.743224,0.825862,1.94629,1.02941,5.47654,0.676232,0.0407218,0.000553287,7.22772e-06,7.33883e-05,0,0,0,0,0,0,0.212249,0.11226,0.597236,0.0737454,0.00444085,6.03378e-05,7.88207e-07,8.00324e-06,0,0,true
5,16,500,239.696,0.0542627,0.00458397,0.496787,0.1,0.0496787,0.0189303,6.76492e-11,0.0189303,127.588,0.023893,0.881836,0,0.468805,1.24034,0.74308,0.823624,1.94629,1.02939,5.47601,0.674906,0.0407174,0.000552447,7.22826e-06,7.33983e-05,0,0,0,0,0,0,0.212293,0.112281,0.5973,0.0736159,0.00444128,6.02586e-05,7.88427e-07,8.00597e-06,0,0,true
6,16,500,239.696,0.0542549,0.00458304,0.496719,0.1,0.0496719,0.0190897,-4.28315e-11,0.0190897,127.579,0.0238646,0.881836,0,0.468804,1.24031,0.742939,0.82145,1.94629,1.02937,5.47549,0.673604,0.040713,0.000552011,7.23114e-06,7.34095e-05,0,0,0,0,0,0,0.212335,0.112302,0.597364,0.0734887,0.0044417,6.02232e-05,7.88901e-07,8.00882e-06,0,0,true
7,16,500,239.696,0.0542472,0.00458213,0.496651,0.1,0.0496651,0.0192491,-1.45952e-10,0.0192491,127.571,0.0238366,0.881836,0,0.468804,1.24028,0.742798,0.819336,1.94628,1.02935,5.47498,0.672322,0.0407087,0.000551958,7.23629e-06,7.34222e-05,0,0,0,0,0,0,0.212378,0.112322,0.597427,0.0733635,0.00444211,6.02294e-05,7.89621e-07,8.0118e-06,0,0,true
8,16,500,239.696,0.0542396,0.00458123,0.496583,0.1,0.0496583,0.0194086,2.66305e-11,0.0194086,127.562,0.0238089,0.881836,0,0.468803,1.24025,0.74266,0.817282,1.94628,1.02933,5.47445,0.671062,0.0407044,0.000552269,7.24359e-06,7.34359e-05,0,0,0,0,0,0,0.212419,0.112342,0.597487,0.0732403,0.00444252,6.02752e-05,7.90572e-07,8.01487e-06,0,0,true
9,16,500,239.696,0.0542319,0.00458034,0.496516,0.1,0.0496516,0.0195683,1.88585e-10,0.0195683,127.553,0.0237813,0.881836,0,0.468802,1.24021,0.742522,0.815287,1.94628,1.02931,5.47394,0.669821,0.0407001,0.000552928,7.25295e-06,7.34509e-05,0,0,0,0,0,0,0.21246,0.112361,0.597548,0.0731191,0.00444291,6.03588e-05,7.91748e-07,8.01805e-06,0,0,true
10,16,500,239.696,0.0542243,0.00457946,0.496448,0.1,0.0496449,0.0197283,-1.48448e-10,0.0197283,127.545,0.023754,0.882812,0,0.468802,1.24018,0.742386,0.813346,1.94628,1.02929,5.47343,0.6686,0.0406959,0.000553917,7.2643e-06,7.3467e-05,0,0,0,0,0,0,0.212501,0.112381,0.597606,0.0729998,0.0044433,6.04783e-05,7.93139e-07,8.02135e-06,0,0,true
11,16,500,239.696,0.0542167,0.0045786,0.496381,0.1,0.0496381,0.0198887,2.42301e-10,0.0198887,127.536,0.0237269,0.882812,0,0.468802,1.24015,0.742251,0.811462,1.94628,1.02927,5.47293,0.667397,0.0406916,0.000555218,7.27755e-06,7.34842e-05,0,0,0,0,0,0,0.212541,0.1124,0.597664,0.0728822,0.00444368,6.06319e-05,7.94735e-07,8.02475e-06,0,0,true
