step,horizon,training_episode_steps,window_start_mean,loss,diff_rollout_loss_scaled,critic_loss_raw,critic_loss_weight,critic_loss_scaled,critic_output_mean,critic_target_mean,critic_error_mean,critic_error_norm,grad_norm,success_rate_batch,action_saturation_rate,final_position_norm_mean,final_velocity_norm_mean,final_attitude_error_mean,final_angular_velocity_norm_mean,loss_position_mean,loss_velocity_mean,loss_attitude_mean,loss_angular_velocity_mean,loss_linear_acceleration_mean,loss_angular_acceleration_mean,loss_action_magnitude_mean,loss_action_smoothness_mean,loss_saturation_mean,loss_terminal_mean,loss_terminal_position_mean,loss_terminal_velocity_mean,loss_terminal_attitude_mean,loss_terminal_angular_velocity_mean,ratio_position,ratio_velocity,ratio_attitude,ratio_angular_velocity,ratio_linear_acceleration,ratio_angular_acceleration,ratio_action_magnitude,ratio_action_smoothness,ratio_saturation,ratio_terminal,finite
0,16,500,239.696,0.054149,0.00457142,0.495775,0.1,0.0495775,0.0213714,1.80281e-10,0.0213714,127.458,0.0234916,0.880859,0,0.468759,1.24064,0.741092,0.796632,1.9461,1.02945,5.46854,0.65731,0.0407714,0.000578474,7.46888e-06,7.36821e-05,0,0,0,0,0,0,0.212855,0.112596,0.598124,0.0718935,0.00445939,6.32708e-05,8.16911e-07,8.059e-06,0,0,true
1,16,500,239.696,0.0541415,0.00457064,0.495708,0.1,0.0495708,0.0215414,-1.94837e-10,0.0215414,127.449,0.0234655,0.880859,0,0.468759,1.24061,0.740968,0.795177,1.9461,1.02943,5.46807,0.656258,0.0407675,0.000582131,7.49714e-06,7.37083e-05,0,0,0,0,0,0,0.212891,0.112613,0.598174,0.0717906,0.00445971,6.36815e-05,8.20141e-07,8.06323e-06,0,0,true
2,16,500,239.696,0.054134,0.00456988,0.495641,0.1,0.0495641,0.0217128,-6.11449e-11,0.0217128,127.441,0.0234394,0.880859,0,0.468758,1.24058,0.740846,0.793751,1.9461,1.02941,5.4676,0.655217,0.0407636,0.000585953,7.52655e-06,7.37352e-05,0,0,0,0,0,0,0.212927,0.11263,0.598222,0.0716887,0.00446003,6.41104e-05,8.23496e-07,8.06752e-06,0,0,true
3,16,500,239.696,0.0541265,0.00456912,0.495574,0.1,0.0495574,0.0218858,1.09306e-10,0.0218858,127.432,0.0234131,0.880859,0,0.468757,1.24055,0.740725,0.792352,1.94609,1.02939,5.46714,0.654189,0.0407597,0.00058993,7.55704e-06,7.37628e-05,0,0,0,0,0,0,0.212962,0.112646,0.59827,0.0715881,0.00446035,6.45562e-05,8.26969e-07,8.07189e-06,0,0,true
4,16,500,239.696,0.054119,0.00456837,0.495506,0.1,0.0495506,0.0220605,-5.23753e-11,0.0220605,127.424,0.0233871,0.880859,0,0.468756,1.24052,0.740604,0.790979,1.94609,1.02937,5.46667,0.653171,0.0407559,0.000594052,7.58857e-06,7.3791e-05,0,0,0,0,0,0,0.212996,0.112662,0.598318,0.0714884,0.00446066,6.50179e-05,8.30556e-07,8.0763e-06,0,0,true
5,16,500,239.696,0.0541115,0.00456762,0.495439,0.1,0.0495439,0.022237,-4.26921e-11,0.022237,127.415,0.0233608,0.880859,0,0.468755,1.24048,0.740484,0.789631,1.94609,1.02935,5.46622,0.652164,0.0407521,0.00059831,7.6211e-06,7.38199e-05,0,0,0,0,0,0,0.213031,0.112679,0.598366,0.0713899,0.00446097,6.54947e-05,8.34252e-07,8.08078e-06,0,0,true
6,16,500,239.696,0.0541039,0.00456688,0.495371,0.1,0.0495371,0.0224154,1.42002e-10,0.0224154,127.406,0.0233343,0.880859,0,0.468755,1.24045,0.740366,0.788305,1.94609,1.02933,5.46576,0.651168,0.0407483,0.000602691,7.65457e-06,7.38494e-05,0,0,0,0,0,0,0.213065,0.112695,0.598412,0.0712923,0.00446128,6.59849e-05,8.38052e-07,8.08532e-06,0,0,true
7,16,500,239.696,0.0540964,0.00456615,0.495302,0.1,0.0495302,0.0225958,-2.54888e-10,0.0225958,127.397,0.0233081,0.880859,0,0.468754,1.24042,0.740248,0.786997,1.94608,1.0293,5.46531,0.650181,0.0407445,0.00060719,7.68893e-06,7.38795e-05,0,0,0,0,0,0,0.213099,0.11271,0.598459,0.0711957,0.00446158,6.64882e-05,8.41949e-07,8.08991e-06,0,0,true
8,16,500,239.696,0.0540888,0.00456543,0.495234,0.1,0.0495234,0.0227783,1.46244e-10,0.0227783,127.388,0.0232816,0.880859,0,0.468753,1.24039,0.740131,0.785708,1.94608,1.02928,5.46485,0.649204,0.0407407,0.000611796,7.72416e-06,7.39102e-05,0,0,0,0,0,0,0.213132,0.112726,0.598504,0.0711,0.00446188,6.70032e-05,8.45941e-07,8.09455e-06,0,0,true
9,16,500,239.696,0.0540812,0.00456471,0.495165,0.1,0.0495165,0.0229629,-9.75824e-11,0.0229629,127.38,0.0232549,0.880859,0,0.468752,1.24036,0.740016,0.784437,1.94608,1.02926,5.46441,0.648236,0.040737,0.000616502,7.7602e-06,7.39414e-05,0,0,0,0,0,0,0.213166,0.112741,0.59855,0.0710052,0.00446217,6.75292e-05,8.50021e-07,8.09925e-06,0,0,true
