step,horizon,training_episode_steps,window_start_mean,loss,diff_rollout_loss_scaled,critic_loss_raw,critic_loss_weight,critic_loss_scaled,critic_output_mean,critic_target_mean,critic_error_mean,critic_error_norm,grad_norm,success_rate_batch,action_saturation_rate,final_position_norm_mean,final_velocity_norm_mean,final_attitude_error_mean,final_angular_velocity_norm_mean,loss_position_mean,loss_velocity_mean,loss_attitude_mean,loss_angular_velocity_mean,loss_linear_acceleration_mean,loss_angular_acceleration_mean,loss_action_magnitude_mean,loss_action_smoothness_mean,loss_saturation_mean,loss_terminal_mean,loss_terminal_position_mean,loss_terminal_velocity_mean,loss_terminal_attitude_mean,loss_terminal_angular_velocity_mean,ratio_position,ratio_velocity,ratio_attitude,ratio_angular_velocity,ratio_linear_acceleration,ratio_angular_acceleration,ratio_action_magnitude,ratio_action_smoothness,ratio_saturation,ratio_terminal,finite
0,16,500,239.696,0.0546842,0.00465032,0.500339,0.1,0.0500339,0.0106232,-4.11953e-10,0.0106232,128.043,0.0259925,0.881836,0,0.468818,1.24223,0.751948,1.00798,1.94636,1.03043,5.50504,0.776362,0.0409671,0.0013858,1.15751e-05,7.48696e-05,0,0,0,0,0,0,0.209272,0.110792,0.5919,0.0834741,0.00440476,0.000149001,1.24455e-06,8.04994e-06,0,0,true
1,16,500,239.696,0.0546729,0.00464812,0.500248,0.1,0.0500248,0.0108366,-3.52875e-10,0.0108366,128.032,0.0259221,0.881836,0,0.468818,1.24218,0.75169,1.00177,1.94636,1.0304,5.50427,0.772824,0.0409609,0.0013422,1.13398e-05,7.47883e-05,0,0,0,0,0,0,0.209371,0.11084,0.592096,0.0831329,0.00440618,0.000144381,1.21983e-06,8.04501e-06,0,0,true
2,16,500,239.696,0.0546617,0.00464596,0.500158,0.1,0.0500158,0.0110513,7.85918e-11,0.0110513,128.02,0.0258525,0.881836,0,0.468817,1.24212,0.751434,0.995649,1.94636,1.03036,5.5035,0.769353,0.0409548,0.00129994,1.11123e-05,7.47095e-05,0,0,0,0,0,0,0.209468,0.110888,0.592289,0.082798,0.00440757,0.000139901,1.19591e-06,8.04026e-06,0,0,true
3,16,500,239.696,0.0546506,0.00464384,0.500068,0.1,0.0500068,0.011265,1.49088e-10,0.011265,128.009,0.025784,0.881836,0,0.468817,1.24206,0.75118,0.989629,1.94636,1.03033,5.50275,0.76595,0.0409488,0.00125906,1.08928e-05,7.46331e-05,0,0,0,0,0,0,0.209564,0.110935,0.592479,0.0824696,0.00440894,0.000135562,1.17282e-06,8.03572e-06,0,0,true
4,16,500,239.696,0.0546396,0.00464175,0.499979,0.1,0.0499979,0.0114777,2.48668e-10,0.0114777,127.997,0.0257164,0.881836,0,0.468816,1.24201,0.750928,0.983707,1.94636,1.03029,5.50199,0.762618,0.0409427,0.00121954,1.06812e-05,7.45594e-05,0,0,0,0,0,0,0.209658,0.110981,0.592663,0.0821476,0.00441026,0.000131366,1.15056e-06,8.03139e-06,0,0,true
5,16,500,239.696,0.0546287,0.0046397,0.49989,0.1,0.049989,0.0116892,1.43848e-10,0.0116892,127.986,0.0256502,0.881836,0,0.468816,1.24195,0.750679,0.977884,1.94636,1.03026,5.50123,0.759352,0.0409367,0.00118137,1.04774e-05,7.4488e-05,0,0,0,0,0,0,0.20975,0.111026,0.592843,0.081832,0.00441157,0.000127311,1.1291e-06,8.02725e-06,0,0,true
6,16,500,239.696,0.0546179,0.00463769,0.499802,0.1,0.0499802,0.0118995,2.75513e-10,0.0118995,127.975,0.0255849,0.881836,0,0.468815,1.24189,0.750432,0.97216,1.94636,1.03022,5.50048,0.756155,0.0409306,0.00114454,1.02813e-05,7.4419e-05,0,0,0,0,0,0,0.209841,0.111071,0.59302,0.0815228,0.00441283,0.000123396,1.10845e-06,8.02329e-06,0,0,true
7,16,500,239.696,0.0546071,0.00463571,0.499714,0.1,0.0499714,0.0121084,-1.31e-10,0.0121084,127.963,0.0255208,0.881836,0,0.468814,1.24184,0.750187,0.966536,1.94635,1.03019,5.49974,0.753024,0.0409246,0.00110904,1.00925e-05,7.43521e-05,0,0,0,0,0,0,0.209931,0.111115,0.593193,0.08122,0.00441407,0.000119619,1.08857e-06,8.01949e-06,0,0,true
8,16,500,239.696,0.0545965,0.00463377,0.499627,0.1,0.0499627,0.0123158,1.80851e-10,0.0123158,127.952,0.025458,0.881836,0,0.468813,1.24179,0.749946,0.96101,1.94635,1.03016,5.49899,0.74996,0.0409187,0.00107483,9.91112e-06,7.42871e-05,0,0,0,0,0,0,0.210018,0.111158,0.593361,0.0809233,0.00441527,0.000115978,1.06944e-06,8.01584e-06,0,0,true
9,16,500,239.696,0.0545859,0.00463187,0.49954,0.1,0.049954,0.0125219,7.45684e-11,0.0125219,127.941,0.0253966,0.881836,0,0.468813,1.24173,0.749706,0.955581,1.94635,1.03013,5.49826,0.746961,0.0409127,0.0010419,9.7368e-06,7.42241e-05,0,0,0,0,0,0,0.210104,0.1112,0.593525,0.0806328,0.00441644,0.000112471,1.05107e-06,8.01233e-06,0,0,true
