step,horizon,training_episode_steps,window_start_mean,loss,diff_rollout_loss_scaled,critic_loss_raw,critic_loss_weight,critic_loss_scaled,critic_output_mean,critic_target_mean,critic_error_mean,critic_error_norm,grad_norm,success_rate_batch,action_saturation_rate,final_position_norm_mean,final_velocity_norm_mean,final_attitude_error_mean,final_angular_velocity_norm_mean,loss_position_mean,loss_velocity_mean,loss_attitude_mean,loss_angular_velocity_mean,loss_linear_acceleration_mean,loss_angular_acceleration_mean,loss_action_magnitude_mean,loss_action_smoothness_mean,loss_saturation_mean,loss_terminal_mean,loss_terminal_position_mean,loss_terminal_velocity_mean,loss_terminal_attitude_mean,loss_terminal_angular_velocity_mean,ratio_position,ratio_velocity,ratio_attitude,ratio_angular_velocity,ratio_linear_acceleration,ratio_angular_acceleration,ratio_action_magnitude,ratio_action_smoothness,ratio_saturation,ratio_terminal,finite
0,16,500,239.696,0.0539951,0.00455708,0.49438,0.1,0.049438,0.0251606,2.85437e-10,0.0251606,127.279,0.0229502,0.881836,0,0.468755,1.23942,0.73879,0.771221,1.94612,1.02891,5.45965,0.638102,0.0406186,0.000672993,8.20185e-06,7.43156e-05,0,0,0,0,0,0,0.213527,0.112891,0.59903,0.0700121,0.00445664,7.38404e-05,8.99902e-07,8.15386e-06,0,0,true
1,16,500,239.696,0.0539869,0.00455642,0.494305,0.1,0.0494305,0.0253786,2.62576e-10,0.0253786,127.269,0.0229212,0.881836,0,0.468754,1.23939,0.738683,0.770067,1.94612,1.02889,5.45924,0.637221,0.0406152,0.000678395,8.24539e-06,7.43521e-05,0,0,0,0,0,0,0.213558,0.112905,0.599071,0.0699256,0.00445692,7.44439e-05,9.0481e-07,8.15905e-06,0,0,true
2,16,500,239.696,0.0539787,0.00455576,0.494229,0.1,0.0494229,0.0255999,-2.06856e-10,0.0255999,127.259,0.022892,0.881836,0,0.468753,1.23936,0.738577,0.768918,1.94612,1.02887,5.45882,0.636345,0.0406118,0.000683827,8.28944e-06,7.43888e-05,0,0,0,0,0,0,0.213588,0.112919,0.599112,0.0698395,0.00445719,7.50507e-05,9.09775e-07,8.16426e-06,0,0,true
3,16,500,239.696,0.0539704,0.00455511,0.494153,0.1,0.0494153,0.0258245,-7.27568e-11,0.0258245,127.249,0.0228625,0.881836,0,0.468752,1.23933,0.738471,0.767775,1.94611,1.02885,5.45841,0.635475,0.0406084,0.000689286,8.33398e-06,7.4426e-05,0,0,0,0,0,0,0.213619,0.112933,0.599152,0.0697541,0.00445745,7.56607e-05,9.14794e-07,8.1695e-06,0,0,true
4,16,500,239.696,0.0539621,0.00455447,0.494076,0.1,0.0494076,0.0260526,-1.02368e-10,0.0260526,127.24,0.0228326,0.881836,0,0.468751,1.2393,0.738366,0.766637,1.94611,1.02883,5.458,0.63461,0.0406051,0.00069477,8.37902e-06,7.44636e-05,0,0,0,0,0,0,0.213648,0.112947,0.599193,0.069669,0.00445772,7.62736e-05,9.19868e-07,8.17479e-06,0,0,true
5,16,500,239.696,0.0539537,0.00455382,0.493999,0.1,0.0493999,0.0262841,4.54392e-11,0.0262841,127.23,0.0228026,0.881836,0,0.46875,1.23927,0.738262,0.765503,1.94611,1.02881,5.45759,0.633751,0.0406017,0.000700277,8.42456e-06,7.45015e-05,0,0,0,0,0,0,0.213678,0.112961,0.599232,0.0695845,0.00445799,7.6889e-05,9.24999e-07,8.18011e-06,0,0,true
6,16,500,239.696,0.0539452,0.00455318,0.493921,0.1,0.0493921,0.0265193,-1.41414e-10,0.0265193,127.219,0.0227722,0.881836,0,0.468749,1.23924,0.738159,0.764374,1.9461,1.02878,5.4572,0.632896,0.0405985,0.000705807,8.4706e-06,7.45398e-05,0,0,0,0,0,0,0.213708,0.112974,0.599273,0.0695004,0.00445825,7.7507e-05,9.30184e-07,8.18546e-06,0,0,true
7,16,500,239.696,0.0539367,0.00455255,0.493841,0.1,0.0493841,0.0267581,2.35024e-10,0.0267581,127.209,0.0227416,0.881836,0,0.468748,1.23921,0.738056,0.763251,1.9461,1.02876,5.4568,0.632047,0.0405952,0.000711355,8.51712e-06,7.45784e-05,0,0,0,0,0,0,0.213738,0.112988,0.599313,0.0694168,0.00445852,7.81271e-05,9.35423e-07,8.19084e-06,0,0,true
8,16,500,239.696,0.0539281,0.00455191,0.493762,0.1,0.0493762,0.0270007,1.60789e-10,0.0270007,127.199,0.0227106,0.881836,0,0.468747,1.23918,0.737954,0.762131,1.9461,1.02874,5.4564,0.631202,0.040592,0.000716923,8.56413e-06,7.46173e-05,0,0,0,0,0,0,0.213767,0.113001,0.599352,0.0693336,0.00445878,7.87496e-05,9.40718e-07,8.19626e-06,0,0,true
9,16,500,239.696,0.0539194,0.00455129,0.493681,0.1,0.0493681,0.0272472,-5.16636e-11,0.0272472,127.189,0.0226793,0.881836,0,0.468746,1.23915,0.737852,0.761015,1.94609,1.02872,5.45601,0.63036,0.0405888,0.000722509,8.61164e-06,7.46567e-05,0,0,0,0,0,0,0.213796,0.113014,0.599392,0.0692508,0.00445904,7.93742e-05,9.46067e-07,8.20171e-06,0,0,true
10,16,500,239.696,0.0539106,0.00455066,0.493599,0.1,0.0493599,0.0274978,-8.06253e-11,0.0274978,127.178,0.0226477,0.881836,0,0.468744,1.23912,0.737752,0.759905,1.94609,1.0287,5.45562,0.629525,0.0405856,0.000728112,8.65966e-06,7.46962e-05,0,0,0,0,0,0,0.213825,0.113027,0.599431,0.0691685,0.0044593,8.00007e-05,9.51473e-07,8.20719e-06,0,0,true
11,16,500,239.696,0.0539017,0.00455004,0.493517,0.1,0.0493517,0.0277525,2.06261e-10,0.0277525,127.167,0.0226159,0.881836,0,0.468743,1.23909,0.737652,0.758799,1.94609,1.02868,5.45523,0.628692,0.0405823,0.000733732,8.70817e-06,7.47362e-05,0,0,0,0,0,0,0.213854,0.11304,0.59947,0.0690865,0.00445956,8.06293e-05,9.56933e-07,8.2127e-06,0,0,true
12,16,500,239.696,0.0538928,0.00454942,0.493434,0.1,0.0493434,0.0280113,-2.5806e-10,0.0280113,127.157,0.0225836,0.881836,0,0.468742,1.23906,0.737553,0.757697,1.94609,1.02866,5.45484,0.627865,0.0405793,0.000739369,8.75719e-06,7.47766e-05,0,0,0,0,0,0,0.213883,0.113053,0.599509,0.0690049,0.00445983,8.12597e-05,9.62451e-07,8.21825e-06,0,0,true
13,16,500,239.696,0.0538838,0.00454881,0.49335,0.1,0.049335,0.0282744,-7.69624e-11,0.0282744,127.146,0.0225511,0.881836,0,0.468741,1.23903,0.737455,0.7566,1.94608,1.02863,5.45446,0.627041,0.0405761,0.000745021,8.80675e-06,7.48173e-05,0,0,0,0,0,0,0.213911,0.113066,0.599548,0.0689237,0.00446008,8.18919e-05,9.68028e-07,8.22383e-06,0,0,true
