step,horizon,training_episode_steps,window_start_mean,loss,diff_rollout_loss_scaled,critic_loss_raw,critic_loss_weight,critic_loss_scaled,critic_output_mean,critic_target_mean,critic_error_mean,critic_error_norm,grad_norm,success_rate_batch,action_saturation_rate,final_position_norm_mean,final_velocity_norm_mean,final_attitude_error_mean,final_angular_velocity_norm_mean,loss_position_mean,loss_velocity_mean,loss_attitude_mean,loss_angular_velocity_mean,loss_linear_acceleration_mean,loss_angular_acceleration_mean,loss_action_magnitude_mean,loss_action_smoothness_mean,loss_saturation_mean,loss_terminal_mean,loss_terminal_position_mean,loss_terminal_velocity_mean,loss_terminal_attitude_mean,loss_terminal_angular_velocity_mean,ratio_position,ratio_velocity,ratio_attitude,ratio_angular_velocity,ratio_linear_acceleration,ratio_angular_acceleration,ratio_action_magnitude,ratio_action_smoothness,ratio_saturation,ratio_terminal,finite
0,16,500,239.696,0.0544756,0.00461312,0.498625,0.1,0.0498625,0.0146819,-2.47688e-10,0.0146819,127.824,0.0248016,0.880859,0,0.468765,1.24126,0.747297,0.902464,1.94598,1.02985,5.49063,0.718098,0.0408491,0.00076086,8.25804e-06,7.36722e-05,0,0,0,0,0,0,0.210918,0.111622,0.59511,0.0778321,0.00442749,8.24669e-05,8.9506e-07,7.98507e-06,0,0,true
1,16,500,239.696,0.0544661,0.00461164,0.498545,0.1,0.0498545,0.0148683,2.11883e-11,0.0148683,127.814,0.0247545,0.880859,0,0.468764,1.24123,0.747098,0.898242,1.94598,1.02983,5.48997,0.715833,0.0408435,0.000742316,8.16114e-06,7.36361e-05,0,0,0,0,0,0,0.210986,0.111655,0.59523,0.0776115,0.00442831,8.04828e-05,8.84841e-07,7.98372e-06,0,0,true
2,16,500,239.696,0.0544567,0.00461019,0.498466,0.1,0.0498466,0.0150531,8.0588e-11,0.0150531,127.803,0.0247087,0.880859,0,0.468764,1.24119,0.746901,0.894121,1.94598,1.02981,5.48933,0.713625,0.0408381,0.000724849,8.07003e-06,7.36023e-05,0,0,0,0,0,0,0.211052,0.111688,0.595347,0.0773965,0.00442911,7.86137e-05,8.75238e-07,7.98257e-06,0,0,true
3,16,500,239.696,0.0544475,0.00460877,0.498387,0.1,0.0498387,0.0152362,-2.93292e-10,0.0152362,127.793,0.024664,0.880859,0,0.468764,1.24116,0.746708,0.890098,1.94598,1.02979,5.48869,0.711471,0.0408327,0.000708435,7.98459e-06,7.3571e-05,0,0,0,0,0,0,0.211117,0.11172,0.595461,0.0771866,0.00442989,7.68572e-05,8.66239e-07,7.98163e-06,0,0,true
4,16,500,239.696,0.0544383,0.00460739,0.498309,0.1,0.0498309,0.0154177,-1.49341e-10,0.0154177,127.783,0.0246202,0.880859,0,0.468764,1.24112,0.746517,0.886174,1.94598,1.02977,5.48805,0.70937,0.0408274,0.000693043,7.90467e-06,7.35419e-05,0,0,0,0,0,0,0.21118,0.111752,0.595572,0.0769818,0.00443065,7.521e-05,8.57826e-07,7.98088e-06,0,0,true
5,16,500,239.696,0.0544291,0.00460603,0.498231,0.1,0.0498231,0.0155975,-7.12843e-11,0.0155975,127.773,0.0245777,0.879883,0,0.468764,1.24108,0.746329,0.882347,1.94598,1.02975,5.48742,0.707322,0.0408221,0.000678647,7.83014e-06,7.35151e-05,0,0,0,0,0,0,0.211242,0.111783,0.595679,0.0767822,0.00443138,7.36694e-05,8.49989e-07,7.98032e-06,0,0,true
6,16,500,239.696,0.0544201,0.0046047,0.498154,0.1,0.0498154,0.0157758,-2.8672e-10,0.0157758,127.764,0.0245361,0.879883,0,0.468763,1.24105,0.746144,0.878615,1.94597,1.02973,5.48681,0.705324,0.0408168,0.000665215,7.76083e-06,7.34906e-05,0,0,0,0,0,0,0.211303,0.111813,0.595784,0.0765875,0.00443209,7.22322e-05,8.42709e-07,7.97996e-06,0,0,true
7,16,500,239.696,0.0544112,0.0046034,0.498078,0.1,0.0498078,0.0159524,-1.18951e-10,0.0159524,127.754,0.0244956,0.879883,0,0.468763,1.24102,0.745962,0.874977,1.94597,1.02971,5.48619,0.703375,0.0408117,0.000652718,7.69661e-06,7.34683e-05,0,0,0,0,0,0,0.211363,0.111842,0.595886,0.0763974,0.00443278,7.08953e-05,8.35971e-07,7.97979e-06,0,0,true
8,16,500,239.696,0.0544023,0.00460212,0.498002,0.1,0.0498002,0.0161276,-1.99901e-10,0.0161276,127.744,0.024456,0.879883,0,0.468763,1.24098,0.745783,0.871432,1.94597,1.02969,5.48558,0.701473,0.0408065,0.000641124,7.63729e-06,7.34482e-05,0,0,0,0,0,0,0.211421,0.111871,0.595984,0.0762119,0.00443345,6.96553e-05,8.29757e-07,7.97982e-06,0,0,true
9,16,500,239.696,0.0543935,0.00460087,0.497926,0.1,0.0497926,0.0163013,-3.41687e-10,0.0163013,127.734,0.0244174,0.879883,0,0.468762,1.24095,0.745606,0.867978,1.94597,1.02967,5.48498,0.699618,0.0408014,0.000630403,7.58273e-06,7.34302e-05,0,0,0,0,0,0,0.211478,0.111899,0.596081,0.076031,0.00443409,6.85091e-05,8.24053e-07,7.98003e-06,0,0,true
