step,horizon,loss,diff_rollout_loss_scaled,critic_loss_raw,critic_loss_weight,critic_loss_scaled,critic_output_mean,critic_target_mean,critic_error_mean,critic_error_norm,grad_norm,success_rate_batch,action_saturation_rate,final_position_norm_mean,final_velocity_norm_mean,final_attitude_error_mean,final_angular_velocity_norm_mean,loss_position_mean,loss_velocity_mean,loss_attitude_mean,loss_angular_velocity_mean,loss_linear_acceleration_mean,loss_angular_acceleration_mean,loss_action_magnitude_mean,loss_action_smoothness_mean,loss_saturation_mean,loss_terminal_mean,loss_terminal_position_mean,loss_terminal_velocity_mean,loss_terminal_attitude_mean,loss_terminal_angular_velocity_mean,ratio_position,ratio_velocity,ratio_attitude,ratio_angular_velocity,ratio_linear_acceleration,ratio_angular_acceleration,ratio_action_magnitude,ratio_action_smoothness,ratio_saturation,ratio_terminal,finite
0,16,0.0546634,0.00462844,0.500349,0.1,0.0500349,0.0107248,-4.62457e-11,0.0107248,181.083,0.0256707,0.877441,0,0.464086,1.23555,0.75211,1.00837,1.91442,1.0222,5.50032,0.777099,0.041377,0.00137937,1.13791e-05,7.46521e-05,0,0,0,0,0,0,0.206811,0.110426,0.594188,0.0839483,0.00446987,0.00014901,1.22925e-06,8.0645e-06,0,0,true
1,16,0.0546524,0.00462625,0.500262,0.1,0.0500262,0.0109394,-2.12053e-10,0.0109394,181.067,0.0255941,0.877441,0,0.464085,1.23549,0.751852,1.00207,1.91442,1.02217,5.49958,0.773548,0.0413712,0.00133511,1.11392e-05,7.45675e-05,0,0,0,0,0,0,0.206908,0.110475,0.594389,0.0836042,0.00447135,0.000144297,1.20391e-06,8.05918e-06,0,0,true
2,16,0.0546416,0.00462409,0.500175,0.1,0.0500175,0.0111548,-2.79893e-12,0.0111548,181.051,0.0255185,0.877441,0,0.464084,1.23545,0.7516,0.995844,1.91442,1.02214,5.49884,0.770043,0.0413651,0.00129189,1.0906e-05,7.44838e-05,0,0,0,0,0,0,0.207005,0.110523,0.594586,0.0832643,0.00447278,0.000139691,1.17926e-06,8.05388e-06,0,0,true
3,16,0.0546309,0.00462196,0.500089,0.1,0.0500089,0.0113692,1.62115e-12,0.0113692,181.035,0.025444,0.877441,0,0.464084,1.2354,0.751349,0.989702,1.91442,1.02211,5.49811,0.766603,0.0413589,0.0012499,1.068e-05,7.44019e-05,0,0,0,0,0,0,0.2071,0.110571,0.59478,0.0829304,0.00447417,0.000135213,1.15535e-06,8.04874e-06,0,0,true
4,16,0.0546202,0.00461987,0.500003,0.1,0.0500003,0.0115825,-3.01861e-11,0.0115825,181.02,0.0253706,0.877441,0,0.464083,1.23535,0.751098,0.983648,1.91441,1.02209,5.49737,0.763227,0.0413527,0.00120922,1.04614e-05,7.43223e-05,0,0,0,0,0,0,0.207193,0.110619,0.59497,0.0826026,0.00447552,0.000130871,1.13222e-06,8.04376e-06,0,0,true
5,16,0.0546097,0.00461782,0.499918,0.1,0.0499918,0.0117945,2.07717e-10,0.0117945,181.005,0.0252985,0.877441,0,0.464082,1.23531,0.750851,0.977691,1.91441,1.02206,5.49664,0.759919,0.0413466,0.00116985,1.02504e-05,7.42452e-05,0,0,0,0,0,0,0.207285,0.110665,0.595156,0.0822811,0.00447685,0.000126667,1.10987e-06,8.03898e-06,0,0,true
6,16,0.0545992,0.0046158,0.499834,0.1,0.0499834,0.0120053,-1.12973e-10,0.0120053,180.989,0.0252274,0.877441,0,0.464081,1.23527,0.750607,0.971828,1.91441,1.02204,5.49593,0.756677,0.0413404,0.00113182,1.00468e-05,7.41705e-05,0,0,0,0,0,0,0.207376,0.110711,0.595338,0.081966,0.00447814,0.000122602,1.08831e-06,8.03441e-06,0,0,true
7,16,0.0545888,0.00461382,0.49975,0.1,0.049975,0.0122147,-1.75484e-10,0.0122147,180.974,0.0251577,0.877441,0,0.464081,1.23522,0.750364,0.966067,1.91441,1.02202,5.4952,0.753505,0.0413343,0.00109511,9.85083e-06,7.40981e-05,0,0,0,0,0,0,0.207465,0.110756,0.595516,0.0816574,0.0044794,0.000118677,1.06754e-06,8.03002e-06,0,0,true
8,16,0.0545785,0.00461187,0.499666,0.1,0.0499666,0.0124226,-6.81762e-11,0.0124226,180.959,0.0250892,0.87793,0,0.46408,1.23518,0.750123,0.960404,1.91441,1.02199,5.49449,0.750401,0.0413282,0.00105974,9.66233e-06,7.40281e-05,0,0,0,0,0,0,0.207552,0.1108,0.595689,0.0813553,0.00448063,0.000114893,1.04755e-06,8.02582e-06,0,0,true
9,16,0.0545683,0.00460997,0.499583,0.1,0.0499583,0.0126292,-1.58589e-10,0.0126292,180.944,0.0250217,0.87793,0,0.464079,1.23513,0.749885,0.954843,1.91441,1.02197,5.49376,0.747366,0.0413222,0.00102571,9.48134e-06,7.39606e-05,0,0,0,0,0,0,0.207638,0.110843,0.595857,0.0810599,0.00448183,0.000111249,1.02835e-06,8.02181e-06,0,0,true
10,16,0.0545582,0.00460809,0.499501,0.1,0.0499501,0.0128341,-1.87162e-10,0.0128341,180.929,0.0249558,0.878418,0,0.464078,1.23509,0.74965,0.949386,1.9144,1.02194,5.49305,0.7444,0.0413161,0.000992996,9.30774e-06,7.38952e-05,0,0,0,0,0,0,0.207722,0.110886,0.596022,0.0807709,0.00448299,0.000107745,1.00993e-06,8.01798e-06,0,0,true
11,16,0.0545482,0.00460626,0.499419,0.1,0.0499419,0.0130376,-9.18932e-13,0.0130376,180.914,0.024891,0.87793,0,0.464077,1.23505,0.749417,0.944034,1.9144,1.02192,5.49235,0.741502,0.0413101,0.000961603,9.14146e-06,7.38325e-05,0,0,0,0,0,0,0.207804,0.110927,0.596184,0.0804885,0.00448413,0.00010438,9.92287e-07,8.01436e-06,0,0,true
12,16,0.0545383,0.00460446,0.499338,0.1,0.0499338,0.0132394,-1.86599e-10,0.0132394,180.899,0.0248276,0.87793,0,0.464076,1.23501,0.749186,0.938786,1.9144,1.02189,5.49165,0.738672,0.0413043,0.000931521,8.98242e-06,7.37719e-05,0,0,0,0,0,0,0.207885,0.110968,0.59634,0.0802126,0.00448524,0.000101154,9.75404e-07,8.01091e-06,0,0,true
13,16,0.0545284,0.0046027,0.499257,0.1,0.0499257,0.0134396,2.75988e-11,0.0134396,180.885,0.0247653,0.878418,0,0.464076,1.23497,0.74896,0.933646,1.91439,1.02187,5.49095,0.735908,0.0412983,0.00090273,8.83049e-06,7.37137e-05,0,0,0,0,0,0,0.207964,0.111008,0.596492,0.0799431,0.00448631,9.80653e-05,9.59272e-07,8.00765e-06,0,0,true
14,16,0.0545187,0.00460098,0.499177,0.1,0.0499177,0.0136381,6.59572e-11,0.0136381,180.87,0.0247046,0.878418,0,0.464075,1.23492,0.748735,0.928612,1.91439,1.02185,5.49025,0.733213,0.0412924,0.000875222,8.68557e-06,7.36575e-05,0,0,0,0,0,0,0.208042,0.111047,0.59664,0.0796802,0.00448735,9.51126e-05,9.43883e-07,8.00454e-06,0,0,true
15,16,0.0545091,0.00459929,0.499098,0.1,0.0499098,0.0138349,1.68607e-10,0.0138349,180.856,0.024645,0.878418,0,0.464074,1.23488,0.748514,0.923685,1.91439,1.02182,5.48958,0.730584,0.0412866,0.000848974,8.54757e-06,7.36037e-05,0,0,0,0,0,0,0.208118,0.111085,0.596785,0.0794235,0.00448837,9.2294e-05,9.29227e-07,8.00164e-06,0,0,true
16,16,0.0544996,0.00459764,0.499019,0.1,0.0499019,0.0140301,1.87773e-10,0.0140301,180.842,0.0245869,0.878418,0,0.464073,1.23484,0.748295,0.918864,1.91439,1.0218,5.48889,0.728019,0.0412809,0.000823968,8.41633e-06,7.35521e-05,0,0,0,0,0,0,0.208192,0.111122,0.596925,0.0791732,0.00448936,8.96078e-05,9.15288e-07,7.99891e-06,0,0,true
17,16,0.0544901,0.00459602,0.498941,0.1,0.0498941,0.0142236,-1.108e-10,0.0142236,180.828,0.0245301,0.878418,0,0.464072,1.2348,0.748079,0.914149,1.91438,1.02178,5.48822,0.725519,0.0412751,0.000800185,8.29171e-06,7.35029e-05,0,0,0,0,0,0,0.208265,0.111159,0.597062,0.078929,0.00449031,8.70519e-05,9.02054e-07,7.99636e-06,0,0,true
18,16,0.0544808,0.00459444,0.498863,0.1,0.0498863,0.0144154,1.57729e-11,0.0144154,180.813,0.0244743,0.878418,0,0.464071,1.23476,0.747866,0.909541,1.91438,1.02176,5.48754,0.723081,0.0412694,0.000777601,8.17359e-06,7.34559e-05,0,0,0,0,0,0,0.208337,0.111195,0.597193,0.0786909,0.00449124,8.46242e-05,8.8951e-07,7.994e-06,0,0,true
19,16,0.0544715,0.00459289,0.498786,0.1,0.0498786,0.0146055,-2.28778e-10,0.0146055,180.799,0.0244202,0.878418,0,0.46407,1.23472,0.747655,0.90504,1.91438,1.02173,5.48687,0.720707,0.0412639,0.000756192,8.06182e-06,7.34111e-05,0,0,0,0,0,0,0.208407,0.11123,0.597322,0.0784589,0.00449214,8.2322e-05,8.77641e-07,7.99182e-06,0,0,true
