step,horizon,loss,diff_rollout_loss_scaled,critic_loss_raw,critic_loss_weight,critic_loss_scaled,critic_output_mean,critic_target_mean,critic_error_mean,critic_error_norm,grad_norm,success_rate_batch,action_saturation_rate,final_position_norm_mean,final_velocity_norm_mean,final_angular_velocity_norm_mean,finite
0,32,0.0850172,0.0351863,0.498309,0.1,0.0498309,0.00659803,-1.55854e-11,0.00659803,1252.02,2.14762,0.477559,0,0.211847,0.642613,0.98098,true
1,32,0.105382,0.0555596,0.498227,0.1,0.0498227,0.00567301,-2.53273e-11,0.00567301,1251.91,2.24473,0.325724,0,0.229627,0.869354,0.98814,true
2,32,0.0806528,0.0308967,0.497561,0.1,0.0497561,0.00593344,1.47164e-11,0.00593344,1251.08,2.24076,0.461121,0,0.208764,0.559995,0.955625,true
3,32,0.0739532,0.0240027,0.499505,0.1,0.0499505,0.00612451,-1.64907e-12,0.00612451,1253.52,1.84458,0.513774,0,0.202884,0.50149,0.910059,true
4,32,0.0822382,0.0323874,0.498508,0.1,0.0498508,0.00547341,-1.86019e-11,0.00547341,1252.27,1.88463,0.496379,0,0.211684,0.634454,0.877397,true
5,32,0.102432,0.0525945,0.498375,0.1,0.0498375,0.00453019,-2.94632e-11,0.00453019,1252.1,1.96937,0.33842,0,0.228428,0.862299,0.882811,true
6,32,0.0777919,0.0280046,0.497873,0.1,0.0497873,0.00488089,-9.18565e-12,0.00488089,1251.47,1.95417,0.465373,0,0.208397,0.553037,0.849832,true
7,32,0.0716539,0.0216755,0.499785,0.1,0.0499785,0.0050805,-1.23659e-11,0.0050805,1253.87,1.606,0.524719,0,0.203362,0.494642,0.808868,true
8,32,0.0799337,0.0300701,0.498636,0.1,0.0498636,0.00441401,-4.77004e-11,0.00441401,1252.43,1.65011,0.511251,0,0.211499,0.626318,0.780235,true
9,32,0.10023,0.0503865,0.498437,0.1,0.0498437,0.00347818,6.6252e-12,0.00347818,1252.18,1.71985,0.34491,0,0.228772,0.858497,0.784062,true
10,32,0.075575,0.0257602,0.498148,0.1,0.0498148,0.00384291,-1.20394e-11,0.00384291,1251.81,1.69586,0.467773,0,0.207401,0.549107,0.753292,true
11,32,0.0697358,0.0197367,0.499991,0.1,0.0499991,0.00408824,-2.40043e-11,0.00408824,1254.13,1.39578,0.534098,0,0.203188,0.48735,0.714585,true
12,32,0.0781509,0.0282776,0.498733,0.1,0.0498733,0.00339336,-4.79119e-11,0.00339336,1252.55,1.43273,0.518921,0,0.211608,0.621059,0.688846,true
13,32,0.0981176,0.0482722,0.498453,0.1,0.0498453,0.00250663,1.18896e-11,0.00250663,1252.2,1.48838,0.354736,0,0.228433,0.851433,0.691032,true
14,32,0.0737085,0.0238697,0.498388,0.1,0.0498388,0.0029242,4.57666e-13,0.0029242,1252.12,1.47036,0.470805,0,0.208078,0.544747,0.66258,true
15,32,0.0681955,0.0181881,0.500075,0.1,0.0500075,0.00318003,1.24052e-11,0.00318003,1254.23,1.20966,0.541646,0,0.203381,0.481132,0.6271,true
16,32,0.0765308,0.0266566,0.498742,0.1,0.0498742,0.00253386,7.51612e-12,0.00253386,1252.56,1.22467,0.525655,0,0.211376,0.614072,0.602136,true
17,32,0.0964722,0.0466309,0.498413,0.1,0.0498413,0.00163405,6.20342e-12,0.00163405,1252.15,1.27896,0.359843,0,0.228609,0.846503,0.605697,true
18,32,0.0723379,0.0224758,0.498622,0.1,0.0498622,0.00209237,-3.13768e-11,0.00209237,1252.41,1.26602,0.473409,0,0.207857,0.541356,0.5811,true
19,32,0.0668528,0.0168401,0.500127,0.1,0.0500127,0.00242647,2.43539e-11,0.00242647,1254.3,1.02452,0.545715,0,0.2031,0.474389,0.544883,true
20,32,0.0753051,0.0254313,0.498738,0.1,0.0498738,0.00178029,3.59152e-11,0.00178029,1252.56,1.04705,0.530131,0,0.211154,0.608109,0.524533,true
21,32,0.0953788,0.0455449,0.49834,0.1,0.049834,0.000899265,-2.89136e-11,0.000899265,1252.05,1.10237,0.36322,0,0.228511,0.844205,0.529228,true
22,32,0.0710558,0.0211726,0.498832,0.1,0.0498832,0.00145694,1.76484e-11,0.00145694,1252.67,1.07475,0.475932,0,0.207765,0.536501,0.505689,true
23,32,0.0658771,0.0158684,0.500087,0.1,0.0500087,0.00183264,-1.27602e-11,0.00183264,1254.25,0.869491,0.550659,0,0.203208,0.470341,0.470596,true
