step,horizon,loss,diff_rollout_loss_scaled,critic_loss_raw,critic_loss_weight,critic_loss_scaled,critic_output_mean,critic_target_mean,critic_error_mean,critic_error_norm,grad_norm,success_rate_batch,action_saturation_rate,final_position_norm_mean,final_velocity_norm_mean,final_angular_velocity_norm_mean,finite
0,64,0.0857743,0.00728704,0.784873,0.1,0.0784873,0.964388,1.82241e-11,0.964388,2222.16,2.63188,0.806376,0,0.192136,0.352945,0.131737,true
1,64,0.0701101,0.00448925,0.656208,0.1,0.0656208,0.924934,1.64215e-11,0.924934,2031.87,2.54717,0.97054,0,0.191321,0.253825,0.104668,true
2,64,0.0549313,0.0029962,0.519351,0.1,0.0519351,0.839019,2.19963e-12,0.839019,1807.62,2.5,0.988342,0,0.19555,0.175528,0.0865388,true
3,64,0.0472254,0.00373713,0.434883,0.1,0.0434883,0.708476,5.90209e-12,0.708476,1654.1,2.48334,0.97231,0,0.204559,0.212106,0.0933993,true
4,64,0.044302,0.0060742,0.382278,0.1,0.0382278,0.530878,1.05824e-11,0.530878,1550.83,2.34403,0.917013,0,0.216012,0.301936,0.105269,true
5,64,0.0430051,0.00862771,0.343774,0.1,0.0343774,0.32215,1.00399e-11,0.32215,1470.66,1.9178,0.778564,0,0.22412,0.382441,0.127348,true
6,64,0.0430126,0.00953342,0.334792,0.1,0.0334792,0.0591588,-2.44719e-11,0.0591588,1451.32,1.0197,0.707275,0,0.22878,0.407902,0.138443,true
7,64,0.0555434,0.00867314,0.468703,0.1,0.0468703,-0.23416,2.11283e-12,-0.23416,1717.21,10.1702,0.733602,0,0.224838,0.37835,0.148165,true
8,64,0.0398457,0.00776041,0.320853,0.1,0.0320853,-0.165412,1.09147e-11,-0.165412,1420.79,3.5659,0.812419,0,0.221903,0.351392,0.145964,true
9,64,0.0256591,0.00614781,0.195113,0.1,0.0195113,-0.0544825,-2.10625e-11,-0.0544825,1107.95,0.836577,0.923096,0,0.215831,0.296504,0.134494,true
10,64,0.0168314,0.00430092,0.125305,0.1,0.0125305,0.0501885,1.9255e-13,0.0501885,887.891,0.607199,0.984436,0,0.206641,0.231714,0.114679,true
11,64,0.0126874,0.00318481,0.0950256,0.1,0.00950256,0.129306,-7.69509e-12,0.129306,773.207,1.01952,0.99408,0,0.198793,0.190123,0.101852,true
12,64,0.0110607,0.00277235,0.0828833,0.1,0.00828833,0.171988,-4.03073e-11,0.171988,722.119,1.21751,0.996541,0,0.194276,0.173496,0.0797339,true
13,64,0.0103952,0.00297478,0.0742041,0.1,0.00742041,0.187015,1.84169e-11,0.187015,683.266,1.29397,0.994487,0,0.192076,0.188298,0.0589699,true
14,64,0.0101168,0.00329998,0.0681686,0.1,0.00681686,0.186278,-1.43489e-12,0.186278,654.889,1.30151,0.987142,0,0.191764,0.206264,0.0523906,true
15,64,0.00949717,0.00340029,0.0609689,0.1,0.00609689,0.167887,-1.77141e-11,0.167887,619.341,1.25268,0.98997,0,0.191986,0.213169,0.0497831,true
16,64,0.00949941,0.00334298,0.0615643,0.1,0.00615643,0.143352,-6.11289e-12,0.143352,622.358,1.13613,0.993815,0,0.192349,0.210581,0.0471741,true
17,64,0.00966214,0.00320067,0.0646147,0.1,0.00646147,0.103034,-2.34982e-11,0.103034,637.589,0.99221,0.996399,0,0.192714,0.203332,0.0498756,true
18,64,0.00883812,0.00280654,0.0603159,0.1,0.00603159,0.0784659,-1.88089e-11,0.0784659,616.015,0.863217,0.999329,0,0.192035,0.183241,0.0559732,true
