step,horizon,loss,diff_rollout_loss_scaled,critic_loss_raw,critic_loss_weight,critic_loss_scaled,critic_output_mean,critic_target_mean,critic_error_mean,critic_error_norm,grad_norm,success_rate_batch,action_saturation_rate,final_position_norm_mean,final_velocity_norm_mean,final_angular_velocity_norm_mean,finite
0,64,0.080309,0.00182176,0.784873,0.1,0.0784873,0.964388,1.82241e-11,0.964388,2222.16,0.5,0.806376,0,0.192136,0.352944,0.131736,true
1,64,0.0796421,0.00179985,0.778422,0.1,0.0778422,0.963144,1.75881e-11,0.963144,2213.01,0.5,0.828267,0,0.192228,0.352536,0.131658,true
2,64,0.0795036,0.00177716,0.777264,0.1,0.0777264,0.961407,-5.93064e-12,0.961407,2211.36,0.5,0.828939,0,0.19225,0.346941,0.131096,true
3,64,0.0790507,0.00171638,0.773343,0.1,0.0773343,0.961861,-1.50973e-11,0.961861,2205.78,0.5,0.830729,0,0.191405,0.337525,0.128475,true
4,64,0.0774359,0.00164662,0.757893,0.1,0.0757893,0.957056,1.45665e-12,0.957056,2183.63,0.5,0.852763,0,0.191702,0.330104,0.125479,true
5,64,0.0760563,0.00159033,0.74466,0.1,0.074466,0.955318,1.81984e-12,0.955318,2164.48,0.5,0.880188,0,0.19114,0.325402,0.123888,true
6,64,0.0751723,0.00155823,0.736141,0.1,0.0736141,0.947269,-2.09531e-11,0.947269,2152.07,0.5,0.878438,0,0.191565,0.317913,0.122416,true
7,64,0.0741651,0.00150475,0.726603,0.1,0.0726603,0.944139,4.1702e-12,0.944139,2138.08,0.5,0.879049,0,0.190931,0.309285,0.120208,true
8,64,0.0723267,0.00142298,0.709038,0.1,0.0709038,0.937683,3.74772e-12,0.937683,2112.08,0.5,0.90684,0,0.190959,0.299266,0.116218,true
9,64,0.0707185,0.00136516,0.693533,0.1,0.0693533,0.932717,2.26648e-12,0.932717,2088.86,0.5,0.9304,0,0.190737,0.293104,0.11349,true
10,64,0.0696578,0.00132091,0.683369,0.1,0.0683369,0.925586,2.53079e-11,0.925586,2073.5,0.5,0.927653,0,0.190666,0.28376,0.111882,true
11,64,0.068273,0.00127567,0.669974,0.1,0.0669974,0.918814,-1.75571e-11,0.918814,2053.07,0.5,0.929749,0,0.19047,0.275736,0.110531,true
12,64,0.0663644,0.00120622,0.651582,0.1,0.0651582,0.909019,-1.66218e-11,0.909019,2024.7,0.5,0.953532,0,0.190813,0.266125,0.106097,true
13,64,0.0647004,0.0011433,0.635571,0.1,0.0635571,0.90381,3.36945e-12,0.90381,1999.67,0.5,0.968099,0,0.190487,0.258532,0.102993,true
14,64,0.0635291,0.0011127,0.624164,0.1,0.0624164,0.89444,1.37062e-11,0.89444,1981.64,0.5,0.961934,0,0.190755,0.250194,0.102119,true
15,64,0.0620061,0.0010811,0.60925,0.1,0.060925,0.883316,-1.09444e-11,0.883316,1957.82,0.5,0.968079,0,0.19105,0.243812,0.101552,true
16,64,0.06038,0.00100902,0.59371,0.1,0.059371,0.878347,1.72343e-11,0.878347,1932.69,0.5,0.981547,0,0.190596,0.232971,0.0964321,true
17,64,0.0587799,0.000963844,0.578161,0.1,0.0578161,0.869691,-5.32426e-12,0.869691,1907.22,0.5,0.987691,0,0.190508,0.226774,0.0932176,true
18,64,0.0577586,0.000946054,0.568126,0.1,0.0568126,0.861505,-4.59427e-12,0.861505,1890.59,0.5,0.977824,0,0.190647,0.220111,0.0934068,true
19,64,0.0563548,0.000921201,0.554336,0.1,0.0554336,0.850571,-4.55673e-13,0.850571,1867.51,0.5,0.98645,0,0.190873,0.214733,0.0934069,true
20,64,0.0547141,0.000858739,0.538554,0.1,0.0538554,0.842942,-1.50692e-12,0.842942,1840.73,0.5,0.992696,0,0.190763,0.204239,0.0880816,true
21,64,0.0532421,0.000826197,0.524159,0.1,0.0524159,0.833509,-3.14482e-12,0.833509,1815.96,0.5,0.995219,0,0.19088,0.199661,0.0852431,true
22,64,0.0522406,0.000814559,0.51426,0.1,0.051426,0.823354,-1.33338e-11,0.823354,1798.73,0.5,0.989278,0,0.191008,0.19413,0.0859339,true
23,64,0.0510354,0.000792852,0.502425,0.1,0.0502425,0.815071,2.4059e-11,0.815071,1777.92,0.5,0.994832,0,0.191066,0.189159,0.0867247,true
24,64,0.0495874,0.000747311,0.488401,0.1,0.0488401,0.804373,-1.54273e-11,0.804373,1752.93,0.5,0.996684,0,0.191092,0.180722,0.0814748,true
25,64,0.0483733,0.000722644,0.476507,0.1,0.0476507,0.796859,-4.6322e-12,0.796859,1731.45,0.5,0.997274,0,0.190837,0.176755,0.0787875,true
26,64,0.0471786,0.000725631,0.46453,0.1,0.046453,0.78188,-5.46322e-12,0.78188,1709.55,0.5,0.993998,0,0.191748,0.174036,0.0804957,true
27,64,0.0462161,0.000708875,0.455072,0.1,0.0455072,0.775226,2.20486e-11,0.775226,1692.06,0.5,0.997314,0,0.191345,0.170393,0.0818885,true
28,64,0.0447569,0.000672095,0.440848,0.1,0.0440848,0.763123,-1.88613e-11,0.763123,1665.41,0.5,0.997803,0,0.19184,0.163068,0.076326,true
29,64,0.0436041,0.000655229,0.429488,0.1,0.0429488,0.753391,-1.68766e-11,0.753391,1643.81,0.5,0.997437,0,0.191909,0.159552,0.0741898,true
30,64,0.0427806,0.000658564,0.421221,0.1,0.0421221,0.74317,1.58303e-12,0.74317,1627.91,0.5,0.99646,0,0.192028,0.158281,0.076262,true
31,64,0.0418442,0.000651865,0.411923,0.1,0.0411923,0.735121,-2.68156e-13,0.735121,1609.84,0.5,0.997864,0,0.191786,0.156931,0.078531,true
32,64,0.0404735,0.000622476,0.398511,0.1,0.0398511,0.722367,-2.63415e-12,0.722367,1583.42,0.5,0.998149,0,0.192366,0.150513,0.0729881,true
33,64,0.0394677,0.000618239,0.388494,0.1,0.0388494,0.71284,-2.30522e-11,0.71284,1563.39,0.5,0.997152,0,0.192494,0.149506,0.0719918,true
34,64,0.0388426,0.000624054,0.382185,0.1,0.0382185,0.705757,-3.98552e-12,0.705757,1550.65,0.5,0.996846,0,0.191754,0.149731,0.0741116,true
35,64,0.0377527,0.000617355,0.371354,0.1,0.0371354,0.691878,1.22282e-11,0.691878,1528.51,0.5,0.998352,0,0.192803,0.148024,0.0761953,true
36,64,0.0366249,0.000601372,0.360235,0.1,0.0360235,0.680371,-9.36151e-12,0.680371,1505.46,0.5,0.997192,0,0.192899,0.144012,0.0711255,true
