seed,group,phase,rows,first_step,last_step,first_loss,median_loss,final_loss,loss_slope,median_final_p,median_final_v,median_final_w,final_p,final_v,final_w,median_actor_grad_norm_pre_clip,actor_grad_clip_fraction,median_actor_grad_clip_scale,median_action_grad_norm_pre_clip,action_grad_clip_fraction,median_action_grad_clip_scale,action_mean,action_std,action_abs_mean,action_saturation_ratio,action_delta_mean,action_delta_max,loss_position_fraction,loss_velocity_fraction,loss_angular_velocity_fraction,loss_terminal_position_fraction,loss_terminal_velocity_fraction,loss_terminal_angular_velocity_fraction,training_success_rate,eval_euler_success,eval_l2f_success
2,success_control,H16_easy,500,0,499,1614.79,264.40999999999997,93.2633,-3.0491517034068134,0.1720775,1.1262750000000001,2.5873749999999998,0.244224,1.0921,0.945298,79.26905,0.936,0.630763,452.105,1.0,0.02211875,-0.164954,0.166403,0.1886525,0.0,0.0143222,0.07507125,0.0006888086529482625,0.0027242053654645835,0.02629049994615588,0.005443588659149196,0.19069408929582934,0.726622618503461,1.0,0.49333333333333335,0.4666666666666666
2,success_control,H32_easy,500,500,999,231.933,271.837,214.988,-0.03395791583166331,0.406431,2.14878,1.31039,0.408615,2.0479,0.691734,93.44694999999999,0.944,0.535063,348.632,1.0,0.028683550000000002,-0.09186710000000001,0.0992729,0.110307,0.0,0.01005895,0.08287330000000001,0.0021231445078638894,0.009616025008422662,0.01688444168651121,0.031230687346373923,0.694464452846485,0.16852249018286142,0.25,0.49333333333333335,0.4666666666666666
2,success_control,H64_easy,500,1000,1499,1542.78,695.3615,534.622,-2.0203567134268536,1.30622,3.752465,0.8241745,1.20036,3.26548,0.6478,116.0675,0.964,0.43078249999999996,833.9175,1.0,0.0119916,0.009052435,0.07039224999999999,0.0695371,0.0,0.00683411,0.08662120000000001,0.005015031137798011,0.011280377160625236,0.0034151208108241854,0.12000002767805865,0.8064048190014552,0.028999520773922052,0.0,0.49333333333333335,0.4666666666666666
2,success_control,H128_easy,2500,1500,3999,2495.2,1453.62,4402.63,0.7632773109243699,3.01011,3.958015,1.898365,3.90557,6.63709,6.86021,182.59199999999998,0.9972,0.273834,5574.6,1.0,0.00179385,0.3722935,0.1093665,0.3729755,0.0,0.01093145,0.14722449999999998,0.01405009861997691,0.008003585469899469,0.00524905606288085,0.344687174152001,0.4668412968825849,0.09912988825415427,0.0,0.49333333333333335,0.4666666666666666
2,success_control,H128_medium,2000,4000,5999,5854.87,740.387,199.166,-2.8292666333166583,2.2455249999999998,2.3872549999999997,1.9016899999999999,1.12639,1.03216,1.26925,197.894,0.997,0.2526605,8651.67,1.0,0.00115585,0.5453655,0.09905605,0.545598,0.0,0.007779685,0.2039155,0.018662811040599553,0.00837048171170051,0.009000250399887208,0.3561612426390724,0.3476323309309832,0.16026919225778608,0.0,0.49333333333333335,0.4666666666666666
2,success_control,H128_full,6000,6000,11999,331.998,257.039,114.437,-0.036266211035172524,1.27911,0.934109,1.454885,0.873717,0.821642,0.967152,216.744,0.9926666666666667,0.23068699999999998,5885.645,1.0,0.0016990500000000001,0.6781554999999999,0.1069025,0.678241,0.0,0.008352275,0.247543,0.02976642218236624,0.010245751092232953,0.020616886852403232,0.3767227947906829,0.1884318503372892,0.2553740934032146,0.5,0.49333333333333335,0.4666666666666666
3,success_control,H16_easy,500,0,499,10908.5,734.1624999999999,89.132,-21.682100200400804,0.16267949999999998,0.9792959999999999,4.884655,0.193135,0.944733,1.1696,94.2803,0.954,0.5303335,1171.885,1.0,0.008533235,0.122824,0.16326400000000002,0.1539775,0.0,0.0121413,0.0717286,0.0002633762666617316,0.0007886680064910503,0.019675347981941996,0.0019236108019240435,0.051970462082698406,0.8902807382621902,0.5,0.3066666666666667,0.19666666666666666
3,success_control,H32_easy,500,500,999,364.918,238.7785,243.469,-0.24338476953907817,0.37301850000000003,1.86589,1.429125,0.295855,2.06305,0.815046,106.8515,0.968,0.4679405,488.98699999999997,1.0,0.020450450000000002,0.1256295,0.0712024,0.1295985,0.0,0.00727146,0.06471065000000001,0.0022926891644382665,0.008455156199765208,0.022155764057072577,0.0302030914010617,0.6058480568872151,0.2361841879311328,0.75,0.3066666666666667,0.19666666666666666
3,success_control,H64_easy,500,1000,1499,962.035,528.9845,509.253,-0.90737875751503,1.1361050000000001,3.179405,1.086425,1.06126,3.05525,1.32916,111.15899999999999,0.954,0.44980549999999997,1118.865,1.0,0.008937675,0.14750950000000002,0.06025655,0.1483105,0.0,0.00730925,0.07598225,0.005184339607430038,0.01079158960968866,0.00502859115475281,0.11691574770934195,0.7689033056385183,0.06093807515205464,0.0,0.3066666666666667,0.19666666666666666
3,success_control,H128_easy,2500,1500,3999,1957.59,1335.655,905.155,-0.4211424569827931,2.997235,3.98836,1.8798849999999998,1.86428,2.29496,4.0784,165.798,0.9952,0.301572,5652.15,1.0,0.00176924,0.31183,0.10036600000000001,0.3120235,0.0,0.012619700000000001,0.12634800000000002,0.014096896528466102,0.007908990746253501,0.004401641535869985,0.33805556612494664,0.49634081229881466,0.08438045855938642,0.0,0.3066666666666667,0.19666666666666666
