seed,group,phase,rows,first_step,last_step,first_loss,median_loss,final_loss,loss_slope,median_final_p,median_final_v,median_final_w,final_p,final_v,final_w,median_actor_grad_norm_pre_clip,actor_grad_clip_fraction,median_actor_grad_clip_scale,median_action_grad_norm_pre_clip,action_grad_clip_fraction,median_action_grad_clip_scale,action_mean,action_std,action_abs_mean,action_saturation_ratio,action_delta_mean,action_delta_max,loss_position_fraction,loss_velocity_fraction,loss_angular_velocity_fraction,loss_terminal_position_fraction,loss_terminal_velocity_fraction,loss_terminal_angular_velocity_fraction,training_success_rate,eval_euler_success,eval_l2f_success
2,success_control,H16_easy,500,0,499,1614.79,263.256,93.1095,-3.0494599198396792,0.1720755,1.1262050000000001,2.572085,0.244214,1.09175,0.94192,3368.4350000000004,1.0,0.00593748,451.16700000000003,0.0,1.0,-0.1646045,0.166318,0.1884185,0.0,0.014322000000000001,0.07508755,0.0006923907458138947,0.0027402242381463254,0.02631957794547824,0.00546675364817876,0.19169853894202266,0.725647105829474,1.0,0.5066666666666667,0.47
2,success_control,H32_easy,500,500,999,231.54,271.9065,214.227,-0.034695390781563105,0.4063905,2.14795,1.30632,0.408453,2.04574,0.684428,3182.675,1.0,0.00628403,349.423,0.0,1.0,-0.09088225,0.0983888,0.10940949999999999,0.0,0.0100021,0.08283545,0.002128128691297916,0.009617821614950176,0.016889100288920527,0.031274281570705095,0.6954626398583247,0.16845357424429747,0.25,0.5066666666666667,0.47
2,success_control,H64_easy,500,1000,1499,1542.22,695.1410000000001,534.312,-2.0198557114228457,1.3058,3.7533000000000003,0.8231085,1.19985,3.26422,0.647882,9364.31,1.0,0.00213577,844.2165,0.0,1.0,0.00976073,0.07010885,0.06902364999999999,0.0,0.0067949099999999995,0.08664655,0.005015852613440373,0.011280270672359052,0.0034039925949507733,0.11993619281684562,0.806499412251462,0.02895216288747019,0.0,0.5066666666666667,0.47
2,success_control,H128_easy,2500,1500,3999,2492.79,1452.555,4317.5,0.7301760704281712,3.0206049999999998,3.96976,1.87914,3.91925,6.7054,6.46694,104109.5,1.0,0.000192105,5577.995,0.0,1.0,0.371334,0.109276,0.3719785,0.0,0.01093335,0.147086,0.014082829358891977,0.008011367049721291,0.005216756158133458,0.34460317994907336,0.46805852309961415,0.09667702656632873,0.0,0.5066666666666667,0.47
2,success_control,H128_medium,2000,4000,5999,5644.37,751.8005,214.532,-2.7162771385692843,2.25347,2.3958000000000004,1.9709750000000001,1.13741,1.04752,1.4637,168055.0,1.0,0.000119009,8491.470000000001,0.0,1.0,0.544573,0.0996727,0.5447245000000001,0.0,0.007894644999999999,0.20407199999999998,0.01849644516861776,0.008314465679417442,0.00901317048948885,0.3556973335902618,0.3476806803561484,0.16704687786638125,0.0,0.5066666666666667,0.47
2,success_control,H128_full,6000,6000,11999,365.653,249.651,117.461,-0.04137222870478413,1.271325,0.909262,1.3952049999999998,0.943596,0.807185,0.82467,122846.0,1.0,0.00016280549999999998,5762.985000000001,0.0,1.0,0.6765045000000001,0.107168,0.6766135,0.0,0.008365315,0.245273,0.030569736717064346,0.010431223447366245,0.020436667742341357,0.38465721184674095,0.18681508004379221,0.2480593501554434,0.5,0.5066666666666667,0.47
3,success_control,H16_easy,500,0,499,10908.5,732.6524999999999,88.905,-21.682555110220438,0.162676,0.9792695,4.8793050000000004,0.19313,0.944644,1.16575,10410.15,1.0,0.001921205,1170.965,0.0,1.0,0.1229325,0.163242,0.15391749999999998,0.0,0.012162,0.0717308,0.0002638795396166789,0.0007900346061040209,0.01970542561742468,0.0019248763847755854,0.052083233946798715,0.8901010010017854,0.5,0.09999999999999999,0.04
3,success_control,H32_easy,500,500,999,361.538,238.1645,243.388,-0.23677354709418838,0.372977,1.86507,1.4230999999999998,0.295804,2.06259,0.816623,5119.379999999999,1.0,0.003906725,489.7625,0.0,1.0,0.125776,0.0709694,0.129739,0.0,0.007280295,0.06475765,0.0022964678942523856,0.00847043509307074,0.022106868673746113,0.030281343547615303,0.6062585292265623,0.23670433179031167,0.75,0.09999999999999999,0.04
3,success_control,H64_easy,500,1000,1499,961.377,529.0885000000001,508.628,-0.9073126252505009,1.1357300000000001,3.17671,1.08352,1.06081,3.05307,1.32888,12294.849999999999,1.0,0.001626705,1125.575,0.0,1.0,0.148061,0.0604334,0.14895049999999999,0.0,0.007329465,0.07604564999999999,0.005180808572668026,0.010784751740284449,0.0050196336755329715,0.11687906396455344,0.7687283470558051,0.06109962019563238,0.0,0.09999999999999999,0.04
3,success_control,H128_easy,2500,1500,3999,1955.97,1336.23,834.046,-0.44894917967186876,3.0004999999999997,3.99353,1.8633199999999999,1.84451,2.24131,3.84508,92205.25,1.0,0.0002169075,5674.165,0.0,1.0,0.31145849999999997,0.1002615,0.311664,0.0,0.01261575,0.125999,0.014111076494363526,0.007912173575910366,0.004375842642412536,0.33885394943057834,0.4970569523609155,0.0835946911259603,0.0,0.09999999999999999,0.04
