seed,group,phase,rows,first_step,last_step,first_loss,median_loss,final_loss,loss_slope,median_final_p,median_final_v,median_final_w,final_p,final_v,final_w,median_actor_grad_norm_pre_clip,actor_grad_clip_fraction,median_actor_grad_clip_scale,median_action_grad_norm_pre_clip,action_grad_clip_fraction,median_action_grad_clip_scale,action_mean,action_std,action_abs_mean,action_saturation_ratio,action_delta_mean,action_delta_max,loss_position_fraction,loss_velocity_fraction,loss_angular_velocity_fraction,loss_terminal_position_fraction,loss_terminal_velocity_fraction,loss_terminal_angular_velocity_fraction,training_success_rate,eval_euler_success,eval_l2f_success
2,success_control,H16_easy,1000,0,999,1614.79,96.78305,62.4027,-1.553941241241241,0.1901115,1.1139000000000001,1.01271,0.273726,0.957711,0.6059,1296.03,1.0,0.0385794,170.5355,0.0,1.0,-0.08591285,0.14923550000000002,0.1418605,0.0,0.01535855,0.078424,0.002602702652732068,0.007815852433720079,0.03798961346384963,0.018983171621169893,0.5025657563441803,0.3042712714723182,1.0,0.42,0.38999999999999996
2,success_control,H32_easy,1000,1000,1999,253.922,214.7505,263.331,0.009418418418418438,0.43852749999999996,1.949125,0.9180465,0.429631,2.0133,1.50386,3153.615,1.0,0.01585485,341.1815,0.0,1.0,0.0764784,0.08517369999999999,0.094659,0.0,0.01290705,0.0840803,0.004347683266041038,0.011278859726688639,0.01645051519192949,0.04812444334381618,0.7274751195014892,0.11162669025616478,0.5,0.42,0.38999999999999996
2,success_control,H64_easy,1000,2000,2999,665.858,632.62,663.449,-0.0024114114114114032,1.1937250000000001,2.953685,2.106045,1.42305,2.84059,2.59024,25567.2,1.0,0.001955625,2148.7349999999997,0.0,1.0,0.206884,0.1470055,0.2178775,0.0,0.0242654,0.1304805,0.006308063087673136,0.00982500171349668,0.00899312184969768,0.11653349283739914,0.5906034518898016,0.21943191507711557,0.0,0.42,0.38999999999999996
2,success_control,H128_easy,3000,3000,5999,1883.0,2612.385,1154.56,-0.24289429809936647,3.5883399999999996,4.963195000000001,4.6704799999999995,2.80822,3.90686,1.2779,214568.5,1.0,0.0002330255,11402.849999999999,0.0,1.0,0.3891605,0.09796305,0.389515,0.0,0.008077319999999999,0.15731050000000002,0.010393678103344243,0.00637058331937965,0.00696897282082142,0.2582755402258784,0.44658947403843086,0.22814852500943592,0.0,0.42,0.38999999999999996
2,success_control,H128_medium,3000,6000,8999,1050.05,576.4915000000001,51.6437,-0.33291307102367457,2.1011249999999997,2.1478,1.234295,0.709069,0.424548,0.530483,144347.0,1.0,0.000346387,7178.965,0.0,1.0,0.56376,0.0773364,0.5638164999999999,0.0,0.0064101950000000005,0.21751700000000002,0.023132071453381746,0.009618474337479217,0.010413570385721299,0.42512187135640345,0.3665203178764873,0.08652125215503283,0.0,0.42,0.38999999999999996
2,success_control,H128_full,7000,9000,15999,162.748,246.594,163.598,0.00012144592084583837,1.240195,0.9435610000000001,1.4426199999999998,1.10572,0.850712,1.13674,152885.0,1.0,0.0003270425,6959.9400000000005,0.0,1.0,0.699746,0.09480005,0.699812,0.0,0.007130555,0.2514205,0.030908636118454715,0.010655594349235119,0.020585332197359654,0.37244700008180875,0.1830968327933134,0.26063784348362407,0.5,0.42,0.38999999999999996
3,success_control,H16_easy,1000,0,999,10908.5,99.70355,76.7934,-10.842549149149148,0.1847165,0.9761435,1.198605,0.0962064,0.986079,0.569163,2055.565,1.0,0.02432425,263.1975,0.0,1.0,0.13450250000000002,0.13081700000000002,0.15036650000000001,0.0,0.01381245,0.07298715,0.00243674803276547,0.005917396133786319,0.04265018743597711,0.016923962559838836,0.37330656244933824,0.4194419352562395,1.0,0.55,0.5033333333333333
3,success_control,H32_easy,1000,1000,1999,197.256,217.7765,324.135,0.127006006006006,0.428857,1.87232,0.9212965,0.773471,2.42027,0.817082,3602.7,1.0,0.0138785,357.9735,0.0,1.0,0.17035050000000002,0.052439150000000004,0.170656,0.0,0.00698783,0.0715694,0.004207308116233138,0.010271981347011147,0.022089960494706712,0.045549559624441696,0.6796519019154657,0.10951307461855003,0.75,0.55,0.5033333333333333
3,success_control,H64_easy,1000,2000,2999,730.178,452.358,624.991,-0.10529229229229231,1.13586,2.82713,0.8850855,1.46122,3.43673,0.709175,11662.8,1.0,0.004287134999999999,1096.7350000000001,0.0,1.0,0.259266,0.0639453,0.259266,0.0,0.008565975,0.1152595,0.008257120723151188,0.012086711394570201,0.005215855907889326,0.14591817364440668,0.7421063026764748,0.04847322017987834,0.0,0.55,0.5033333333333333
3,success_control,H128_easy,3000,3000,5999,1190.17,283.25,196.954,-0.3311823941313772,1.47446,1.098875,1.0120049999999998,0.888229,0.48937,1.83096,74947.65,1.0,0.0006671324999999999,3690.1499999999996,0.0,1.0,0.5782555,0.0863782,0.578273,0.0,0.008792669999999999,0.1817805,0.026405094554990266,0.00913701021073829,0.014964812526673053,0.4164065459577108,0.22952244048346554,0.11952905932800346,0.25,0.55,0.5033333333333333
3,success_control,H128_medium,3000,6000,8999,341.439,783.0465,717.776,0.12548749583194396,1.72023,1.87422,3.15322,1.5088,1.77224,3.39775,209977.5,1.0,0.000238121,11312.1,0.0,1.0,0.6998545,0.1006725,0.6998545,0.0,0.0072999399999999996,0.21296199999999998,0.012047583235767205,0.005739695476633268,0.01541923062001163,0.1959179539290921,0.23886797524792466,0.41571713186941334,0.25,0.55,0.5033333333333333
3,success_control,H128_full,7000,9000,15999,295.217,161.13049999999998,118.027,-0.025316473781968853,1.1495250000000001,0.8991480000000001,0.801218,1.19614,0.593637,0.585823,98834.4,1.0,0.0005058965,4285.995,0.0,1.0,0.7042835000000001,0.08918465,0.7042835000000001,0.0,0.0060672750000000004,0.2151815,0.03818600516039353,0.01204019547473082,0.021398023046413896,0.4065081734812451,0.24629864609471525,0.1281935711641432,0.5,0.55,0.5033333333333333
6,failed,H16_easy,1000,0,999,5999.68,83.8928,65.8295,-5.939790290290291,0.1846935,1.05315,0.867651,0.271518,0.97334,0.492845,1104.225,1.0,0.045280749999999995,148.45850000000002,0.0,1.0,-0.00425793,0.1308295,0.1115475,0.0,0.01480515,0.0741755,0.0031362089681135213,0.008359552870567836,0.042333736598973354,0.021460876346533552,0.5336774414180604,0.25777626615393656,1.0,0.37333333333333335,0.33666666666666667
6,failed,H32_easy,1000,1000,1999,168.482,198.09,210.411,0.041970970970970974,0.42508500000000005,1.817875,0.8868045,0.523381,1.96478,0.691377,3073.295,1.0,0.01626925,316.8555,0.0,1.0,0.2070265,0.09145655,0.21053650000000002,0.0,0.012252599999999999,0.1143935,0.0045618060066339935,0.010823638820357851,0.020943518256749158,0.049366704617045544,0.6894394529612287,0.1109312459798904,0.75,0.37333333333333335,0.33666666666666667
6,failed,H64_easy,1000,2000,2999,613.973,295.051,207.851,-0.4065285285285285,0.9860774999999999,2.1149,0.8792985,0.970419,1.40194,1.192,15607.75,1.0,0.0032035400000000004,1474.1750000000002,0.0,1.0,0.4748475,0.111691,0.47568999999999995,0.0,0.011442250000000001,0.167472,0.01117348158736265,0.012985754731039703,0.007214727028443998,0.17300550340616372,0.6598246675128481,0.07183703238863079,0.25,0.37333333333333335,0.33666666666666667
6,failed,H128_easy,3000,3000,5999,407.741,232.628,958.354,0.18359886628876293,1.078385,0.6367545,1.1459899999999998,1.34655,1.6855,4.39345,111275.0,1.0,0.00044933699999999996,5578.05,0.0,1.0,0.6329595,0.11747250000000001,0.6332875,0.0,0.0131432,0.210599,0.030185280205712994,0.008263264322103083,0.018092313997247075,0.3575820481627758,0.08917313566843327,0.23358210532552878,0.5,0.37333333333333335,0.33666666666666667
6,failed,H128_medium,3000,6000,8999,474.474,1322.135,391.531,-0.027656885628542842,1.94349,2.283505,4.40882,1.18386,0.727624,3.07536,295960.0,1.0,0.000168942,14819.35,0.0,1.0,0.7014985,0.128347,0.7017869999999999,0.0,0.01012505,0.2078355,0.008688537441823886,0.00556640447832994,0.013343960984300934,0.17840738058660632,0.2609839320016308,0.40309209732017615,0.0,0.37333333333333335,0.33666666666666667
6,failed,H128_full,7000,9000,15999,729.483,363.414,305.531,-0.06057322474639233,1.469535,1.2373,1.679045,1.63678,1.11268,1.03602,171135.0,1.0,0.0002921675,8621.665,0.0,1.0,0.73245,0.1224175,0.7326585,0.0,0.008629645,0.20365149999999999,0.027270142701777488,0.011129275097439661,0.018968148285811545,0.35782504469041365,0.21835095812591598,0.22435839260120893,0.25,0.37333333333333335,0.33666666666666667
7,success_control,H16_easy,1000,0,999,3030.59,106.6465,80.5937,-2.9529492492492495,0.188365,1.070325,1.134935,0.216676,0.953901,0.829806,1512.83,1.0,0.03305065,251.7545,0.0,1.0,-0.011368900000000001,0.11187849999999999,0.1002425,0.0,0.012181649999999999,0.05906375,0.002509254621412274,0.006461669081849499,0.0352289809358062,0.018434473796365498,0.4126467751742692,0.41171044731325485,1.0,0.5499999999999999,0.5266666666666667
7,success_control,H32_easy,1000,1000,1999,139.871,199.9315,244.329,0.10456256256256256,0.42649899999999996,1.831375,0.8312515,0.52054,2.13176,0.495786,2532.425,1.0,0.0197439,264.125,0.0,1.0,0.183882,0.0844789,0.1859075,0.0,0.01065445,0.09494240000000001,0.004565891356603823,0.01089270650190696,0.020202084582805258,0.04912725575508389,0.6971813270932232,0.09627602940998642,0.75,0.5499999999999999,0.5266666666666667
7,success_control,H64_easy,1000,2000,2999,1045.05,293.8835,331.524,-0.7142402402402402,0.997915,2.11311,0.914971,0.834861,1.6936,2.05619,12893.25,1.0,0.00387799,1180.27,0.0,1.0,0.417256,0.10051550000000001,0.417481,0.0,0.010874749999999999,0.164102,0.011200731468731661,0.01280293341859305,0.008021561206158517,0.1698989244118021,0.6576275680580117,0.07620907954387776,0.25,0.5499999999999999,0.5266666666666667
