train_seed,status_complete,first_loss,final_loss,loss_reduction,loss_increased_flag,final_train_p,final_train_v,final_train_w,total_applied_steps,total_skipped_steps,total_invalid_rollouts,any_nan_or_inf,euler_success_mean,euler_success_std,euler_success_min,euler_success_max,euler_final_p_mean,euler_final_v_mean,euler_final_w_mean,euler_invalid_or_nan_rate_mean,l2f_success_mean,l2f_success_std,l2f_success_min,l2f_success_max,l2f_final_p_mean,l2f_final_v_mean,l2f_final_w_mean,l2f_invalid_or_nan_rate_mean,beats_euler_baseline,beats_l2f_baseline,beats_both_baselines,action_saturation_median,action_saturation_high_fraction,actor_grad_clip_fraction,actor_grad_scale_median,early_divergence_flag,curriculum_collapse_flag,failure_type,failure_reason_short
0,True,1056.45,132.695,923.7550000000001,False,1.19133,0.771525,0.587346,6000,0,0,False,0.43333333333333335,0.009428090415820642,0.42,0.44,1.2329533333333333,0.7276389999999999,0.9943683333333333,0.0,0.4033333333333333,0.016996731711975938,0.38,0.42,1.31597,0.8599916666666667,1.2373666666666667,0.0,True,True,True,0.0,0.0,1.0,0.0006054890000000001,False,True,PASS_STRONG,"beats both baselines, L2F success >= 0.25, and loss decreased"
1,True,1513.71,6296.54,-4782.83,True,3.5796,5.95773,9.69578,6000,0,0,False,0.0,0.0,0.0,0.0,5.585723333333333,8.832713333333334,5.77791,0.0,0.0,0.0,0.0,0.0,5.682476666666667,9.18101,5.9508133333333335,0.0,False,False,False,0.0,0.0,1.0,0.00072331,True,True,TYPE_A_EARLY_DIVERGENCE,loss increased early and both eval models have near-zero success
2,True,1614.79,204.475,1410.315,False,1.16132,1.05014,1.42149,6000,0,0,False,0.17,0.021602468994692873,0.15,0.2,1.6770033333333334,1.40924,1.4980166666666666,0.0,0.14,0.040824829046386304,0.09,0.19,1.7816400000000001,1.6575766666666667,1.94389,0.0,True,True,True,0.0,0.0,1.0,0.0005550975,False,True,PASS_WEAK,beats both baselines but misses strong-pass threshold
3,True,10908.5,401.023,10507.477,False,1.57278,1.81206,1.59987,6000,0,0,False,0.05,0.014142135623730952,0.04,0.07,2.3344233333333335,2.6347366666666665,1.7699666666666667,0.0,0.04,0.008164965809277261,0.03,0.05,2.5190966666666665,2.992696666666667,2.142,0.0,False,False,False,0.0,0.0,1.0,0.000510878,False,True,TYPE_B_CURRICULUM_TRIGGERED_COLLAPSE,loss spiked after horizon or state curriculum changed
4,True,2817.89,634.162,2183.728,False,1.92424,1.86049,2.04233,6000,0,0,False,0.21333333333333335,0.04027681991198192,0.18,0.27,1.9128333333333334,1.7615666666666667,1.9357766666666667,0.0,0.18000000000000002,0.03741657386773941,0.14,0.23,2.09375,2.107336666666667,2.2772733333333335,0.0,True,True,True,0.0,0.0,1.0,0.000620233,False,True,PASS_WEAK,beats both baselines but misses strong-pass threshold
5,True,2785.71,3907.89,-1122.1799999999998,True,3.10179,5.58385,2.72591,6000,0,0,False,0.16333333333333333,0.009428090415820642,0.15,0.17,3.2286566666666667,4.600586666666667,3.75345,0.0,0.11666666666666667,0.01247219128924647,0.1,0.13,3.5478533333333333,5.253223333333334,4.17711,0.0,True,True,True,0.0,0.0,1.0,0.0007034005,True,True,PASS_WEAK,beats both baselines but misses strong-pass threshold
6,True,5999.68,1903.29,4096.39,False,2.30108,3.43933,4.43495,6000,0,0,False,0.03666666666666667,0.016996731711975948,0.02,0.06,2.25449,3.8053833333333333,7.51984,0.0,0.016666666666666666,0.004714045207910317,0.01,0.02,2.72825,4.937213333333333,7.361923333333333,0.0,False,False,False,0.0,0.0,1.0,0.00042135800000000004,False,True,TYPE_B_CURRICULUM_TRIGGERED_COLLAPSE,loss spiked after horizon or state curriculum changed
7,True,3030.59,785.489,2245.101,False,2.65674,2.18657,1.81596,6000,0,0,False,0.14666666666666667,0.030912061651652348,0.12,0.19,2.2108733333333332,2.0672566666666667,1.9684300000000001,0.0,0.13666666666666666,0.01699673171197595,0.12,0.16,2.39739,2.38555,2.17085,0.0,True,True,True,0.0,0.0,1.0,0.0004854395,False,True,PASS_WEAK,beats both baselines but misses strong-pass threshold
8,True,14880.7,388.061,14492.639000000001,False,1.5723,1.80625,1.32124,6000,0,0,False,0.24333333333333335,0.020548046676563264,0.22,0.27,2.0466266666666666,1.9645533333333334,1.57759,0.0,0.22666666666666666,0.01699673171197595,0.21,0.25,2.2190066666666666,2.1879999999999997,1.7146733333333333,0.0,True,True,True,0.0,0.0,1.0,0.00043329100000000004,False,True,PASS_WEAK,beats both baselines but misses strong-pass threshold
9,True,5486.16,2491.39,2994.77,False,3.13953,5.34741,3.8269,6000,0,0,False,0.023333333333333334,0.012472191289246471,0.01,0.04,3.52501,6.144093333333333,3.800926666666667,0.0,0.016666666666666666,0.004714045207910317,0.01,0.02,3.8185433333333334,6.637403333333333,3.7947599999999997,0.0,False,False,False,0.0,0.0,1.0,0.000634023,False,True,TYPE_B_CURRICULUM_TRIGGERED_COLLAPSE,loss spiked after horizon or state curriculum changed
