train_seed,status_complete,first_loss,final_loss,loss_reduction,loss_increased_flag,final_train_p,final_train_v,final_train_w,total_applied_steps,total_skipped_steps,total_invalid_rollouts,any_nan_or_inf,euler_success_mean,euler_success_std,euler_success_min,euler_success_max,euler_final_p_mean,euler_final_v_mean,euler_final_w_mean,euler_invalid_or_nan_rate_mean,l2f_success_mean,l2f_success_std,l2f_success_min,l2f_success_max,l2f_final_p_mean,l2f_final_v_mean,l2f_final_w_mean,l2f_invalid_or_nan_rate_mean,beats_euler_baseline,beats_l2f_baseline,beats_both_baselines,action_saturation_median,action_saturation_high_fraction,actor_grad_clip_fraction,actor_grad_scale_median,early_divergence_flag,curriculum_collapse_flag,failure_type,failure_reason_short
0,True,1056.45,402.186,654.2640000000001,False,1.59091,1.33648,1.6026,6000,0,0,False,0.2833333333333333,0.0339934634239519,0.25,0.33,1.7154866666666666,1.5837666666666668,2.0363266666666666,0.0,0.23333333333333334,0.02054804667656326,0.21,0.26,1.9197966666666666,1.9026133333333335,2.1951666666666667,0.0,True,True,True,0.0,0.0,1.0,0.00182865,False,True,PASS_WEAK,beats both baselines but misses strong-pass threshold
1,True,1513.71,119.71,1394.0,False,0.832233,0.355081,1.4287,6000,0,0,False,0.5233333333333333,0.023570226039551605,0.49,0.54,1.008035,0.633199,2.3649133333333334,0.0,0.35,0.014142135623730937,0.33,0.36,1.1211466666666667,1.0334276666666666,4.630226666666666,0.0,True,True,True,0.0,0.0,1.0,0.002856085,False,True,PASS_STRONG,"beats both baselines, L2F success >= 0.25, and loss decreased"
2,True,1614.79,1154.56,460.23,False,2.80822,3.90686,1.2779,6000,0,0,False,0.0,0.0,0.0,0.0,3.0765866666666666,3.9358766666666667,1.47965,0.0,0.0,0.0,0.0,0.0,3.2251933333333334,4.20695,1.76942,0.0,False,False,False,0.0,0.0,1.0,0.000805211,False,True,TYPE_B_CURRICULUM_TRIGGERED_COLLAPSE,loss spiked after horizon or state curriculum changed
3,True,10908.5,196.954,10711.546,False,0.888229,0.48937,1.83096,6000,0,0,False,0.52,0.037416573867739396,0.48,0.57,1.0950966666666668,0.8215636666666667,2.5962666666666667,0.0,0.36333333333333334,0.030912061651652348,0.32,0.39,1.2917733333333334,1.1887699999999999,3.8385866666666666,0.0,True,True,True,0.0,0.0,1.0,0.00186243,False,True,PASS_STRONG,"beats both baselines, L2F success >= 0.25, and loss decreased"
4,True,2817.89,2772.93,44.960000000000036,False,2.86551,5.2877,5.0576,6000,0,0,False,0.09,0.008164965809277261,0.08,0.1,2.756,4.8223,5.733046666666667,0.0,0.05666666666666667,0.012472191289246473,0.04,0.07,3.076513333333333,5.3807366666666665,6.377153333333333,0.0,False,False,False,0.0,0.0,1.0,0.0018523900000000002,False,True,TYPE_B_CURRICULUM_TRIGGERED_COLLAPSE,loss spiked after horizon or state curriculum changed
5,True,2785.71,1245.16,1540.55,False,1.59089,1.60751,4.1923,6000,0,0,False,0.23333333333333334,0.01699673171197595,0.21,0.25,1.3248866666666665,1.8977166666666667,6.139256666666666,0.0,0.12000000000000001,0.03741657386773941,0.07,0.16,1.6626666666666667,2.9415066666666667,7.069446666666667,0.0,True,True,True,0.0,0.0,1.0,0.002207705,False,True,PASS_WEAK,beats both baselines but misses strong-pass threshold
6,True,5999.68,958.354,5041.326,False,1.34655,1.6855,4.39345,6000,0,0,False,0.21666666666666667,0.02054804667656325,0.19,0.24,1.0246979999999999,1.3294933333333334,6.134143333333333,0.0,0.09666666666666666,0.02054804667656325,0.07,0.12,1.2031333333333334,1.7960033333333334,7.513106666666666,0.0,True,True,True,0.0,0.0,1.0,0.001573715,False,True,PASS_WEAK,beats both baselines but misses strong-pass threshold
7,True,3030.59,889.849,2140.741,False,2.60556,2.73126,2.30518,6000,0,0,False,0.11,0.01414213562373095,0.09,0.12,2.2316766666666665,2.6625199999999998,2.7525633333333333,0.0,0.08,0.016329931618554522,0.06,0.1,2.50405,3.0992433333333334,3.0071966666666667,0.0,False,False,False,0.0,0.0,1.0,0.0016556700000000001,False,True,TYPE_B_CURRICULUM_TRIGGERED_COLLAPSE,loss spiked after horizon or state curriculum changed
8,True,14880.7,1245.01,13635.69,False,1.36344,2.60289,4.36517,6000,0,0,False,0.20333333333333334,0.01699673171197595,0.18,0.22,1.8568266666666666,3.2481066666666667,5.4886333333333335,0.0,0.10333333333333333,0.038586123009300755,0.05,0.14,2.2660533333333333,4.37666,6.13669,0.0,True,True,True,0.0,0.0,1.0,0.00151305,False,True,PASS_WEAK,beats both baselines but misses strong-pass threshold
9,True,5486.16,1203.13,4283.03,False,2.96404,3.16402,1.38819,6000,0,0,False,0.15666666666666668,0.02054804667656325,0.13,0.18,1.9773399999999999,2.0478366666666665,1.4119599999999999,0.0,0.1,0.01632993161855452,0.08,0.12,2.20466,2.44896,1.8019766666666668,0.0,True,True,True,0.0,0.0,1.0,0.001857165,False,True,PASS_WEAK,beats both baselines but misses strong-pass threshold
