teacher_id,dynamics_id,checkpoint_step,logged_eval_step,logged_return_mean,logged_episode_length_mean,checkpoint
0,0,10000,0,-67.8859,29.9,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/mini_teachers/mini_teachers_2026-06-02/1k-experiments/mini_teachers_2026-06-02/109ed9e_foundation-policy-pre-training_dynamics-id/0/0000/steps/000000000010000/checkpoint.h5
1,1,10000,0,-70.0481,30.33,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/mini_teachers/mini_teachers_2026-06-02/1k-experiments/mini_teachers_2026-06-02/109ed9e_foundation-policy-pre-training_dynamics-id/1/0001/steps/000000000010000/checkpoint.h5
2,2,10000,0,-71.7374,29.96,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/mini_teachers/mini_teachers_2026-06-02/1k-experiments/mini_teachers_2026-06-02/109ed9e_foundation-policy-pre-training_dynamics-id/2/0002/steps/000000000010000/checkpoint.h5
3,3,10000,0,-70.0916,28.06,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/mini_teachers/mini_teachers_2026-06-02/1k-experiments/mini_teachers_2026-06-02/109ed9e_foundation-policy-pre-training_dynamics-id/3/0003/steps/000000000010000/checkpoint.h5
4,4,10000,0,-69.9003,28.58,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/mini_teachers/mini_teachers_2026-06-02/1k-experiments/mini_teachers_2026-06-02/109ed9e_foundation-policy-pre-training_dynamics-id/4/0004/steps/000000000010000/checkpoint.h5
5,5,10000,0,-69.2007,29.33,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/mini_teachers/mini_teachers_2026-06-02/1k-experiments/mini_teachers_2026-06-02/109ed9e_foundation-policy-pre-training_dynamics-id/5/0005/steps/000000000010000/checkpoint.h5
6,6,10000,0,-66.351,31.81,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/mini_teachers/mini_teachers_2026-06-02/1k-experiments/mini_teachers_2026-06-02/109ed9e_foundation-policy-pre-training_dynamics-id/6/0006/steps/000000000010000/checkpoint.h5
7,7,10000,0,-67.408,28.8,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/mini_teachers/mini_teachers_2026-06-02/1k-experiments/mini_teachers_2026-06-02/109ed9e_foundation-policy-pre-training_dynamics-id/7/0007/steps/000000000010000/checkpoint.h5
8,8,10000,0,-68.6939,30.38,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/mini_teachers/mini_teachers_2026-06-02/1k-experiments/mini_teachers_2026-06-02/109ed9e_foundation-policy-pre-training_dynamics-id/8/0008/steps/000000000010000/checkpoint.h5
9,9,10000,0,-64.761,32.17,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/mini_teachers/mini_teachers_2026-06-02/1k-experiments/mini_teachers_2026-06-02/109ed9e_foundation-policy-pre-training_dynamics-id/9/0009/steps/000000000010000/checkpoint.h5
