teacher_count,condition,train_seed,eval_domain,eval_seed,success_rate,mean_final_position_norm,mean_final_velocity_norm,mean_final_angular_velocity_norm,invalid_or_nan_rate,mean_action_norm,skipped_updates,training_nan_inf,checkpoint
8,scratch,0,fixed,10000,0,7.54701,12.1527,8.52735,0,0.0861458,0,0,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/teacher_cost_pilot/mini_teachers_2026-06-02/scratch/teachers_8/seed_0/checkpoint.h5
8,scratch,0,fixed,10001,0,7.33468,11.8979,8.4232,0,0.0804403,0,0,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/teacher_cost_pilot/mini_teachers_2026-06-02/scratch/teachers_8/seed_0/checkpoint.h5
8,scratch,0,fixed,10002,0,7.47839,12.1722,9.06739,0,0.0805245,0,0,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/teacher_cost_pilot/mini_teachers_2026-06-02/scratch/teachers_8/seed_0/checkpoint.h5
8,scratch,0,narrow,10000,0,7.37095,11.9761,8.58344,0,0.0794398,0,0,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/teacher_cost_pilot/mini_teachers_2026-06-02/scratch/teachers_8/seed_0/checkpoint.h5
8,scratch,0,narrow,10001,0,7.36361,12.0603,8.9941,0,0.0827605,0,0,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/teacher_cost_pilot/mini_teachers_2026-06-02/scratch/teachers_8/seed_0/checkpoint.h5
8,scratch,0,narrow,10002,0,7.62113,12.4337,8.21042,0,0.0828467,0,0,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/teacher_cost_pilot/mini_teachers_2026-06-02/scratch/teachers_8/seed_0/checkpoint.h5
8,scratch,0,medium,10000,0,7.29859,11.9223,8.83767,0,0.0832709,0,0,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/teacher_cost_pilot/mini_teachers_2026-06-02/scratch/teachers_8/seed_0/checkpoint.h5
8,scratch,0,medium,10001,0,7.25873,11.9611,9.27082,0,0.0868509,0,0,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/teacher_cost_pilot/mini_teachers_2026-06-02/scratch/teachers_8/seed_0/checkpoint.h5
8,scratch,0,medium,10002,0,7.20889,11.9968,9.03935,0,0.0833752,0,0,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/teacher_cost_pilot/mini_teachers_2026-06-02/scratch/teachers_8/seed_0/checkpoint.h5
8,diff_init,0,fixed,10000,0,4.22416,5.78668,1.62516,0,0.382048,0,0,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/teacher_cost_pilot/mini_teachers_2026-06-02/diff_init/teachers_8/seed_0/checkpoint.h5
8,diff_init,0,fixed,10001,0,4.12633,5.69811,1.55362,0,0.375639,0,0,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/teacher_cost_pilot/mini_teachers_2026-06-02/diff_init/teachers_8/seed_0/checkpoint.h5
8,diff_init,0,fixed,10002,0,4.10967,5.67477,1.594,0,0.375108,0,0,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/teacher_cost_pilot/mini_teachers_2026-06-02/diff_init/teachers_8/seed_0/checkpoint.h5
8,diff_init,0,narrow,10000,0,3.89559,5.30596,1.55674,0,0.370321,0,0,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/teacher_cost_pilot/mini_teachers_2026-06-02/diff_init/teachers_8/seed_0/checkpoint.h5
8,diff_init,0,narrow,10001,0,3.94192,5.39228,1.66779,0,0.368956,0,0,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/teacher_cost_pilot/mini_teachers_2026-06-02/diff_init/teachers_8/seed_0/checkpoint.h5
8,diff_init,0,narrow,10002,0,3.92654,5.3564,1.74769,0,0.372312,0,0,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/teacher_cost_pilot/mini_teachers_2026-06-02/diff_init/teachers_8/seed_0/checkpoint.h5
8,diff_init,0,medium,10000,0,3.60508,4.81892,1.55492,0,0.358107,0,0,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/teacher_cost_pilot/mini_teachers_2026-06-02/diff_init/teachers_8/seed_0/checkpoint.h5
8,diff_init,0,medium,10001,0,3.70495,4.9851,1.69583,0,0.359154,0,0,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/teacher_cost_pilot/mini_teachers_2026-06-02/diff_init/teachers_8/seed_0/checkpoint.h5
