step,loss,tracking,position,velocity,attitude,omega,clf,outward,tail,du,ddu,sat,grad_norm,seconds,success_rate,tail_success_rate,invalid_fraction,full_position_mean,full_position_max_mean,full_position_max_std,full_angle_mean,full_angle_max_mean,full_angle_max_std,full_linear_velocity_mean,full_linear_velocity_max_mean,full_linear_velocity_max_std,full_angular_velocity_mean,full_angular_velocity_max_mean,full_angular_velocity_max_std,full_angular_acceleration_mean,full_angular_acceleration_max_mean,full_angular_acceleration_max_std,full_action_mean,full_action_max_mean,full_action_max_std,full_action_relative_mean,full_action_relative_max_mean,full_action_relative_max_std,tail_position_mean,tail_position_max_mean,tail_position_max_std,tail_angle_mean,tail_angle_max_mean,tail_angle_max_std,tail_linear_velocity_mean,tail_linear_velocity_max_mean,tail_linear_velocity_max_std,tail_angular_velocity_mean,tail_angular_velocity_max_mean,tail_angular_velocity_max_std,tail_angular_acceleration_mean,tail_angular_acceleration_max_mean,tail_angular_acceleration_max_std,tail_action_mean,tail_action_max_mean,tail_action_max_std,tail_action_relative_mean,tail_action_relative_max_mean,tail_action_relative_max_std,full_position_settling_fraction_10mm,tail_position_settling_fraction_10mm
1,5595.62939453125,21.379199981689453,18.900026321411133,2.2699434757232666,0.20500630140304565,0.0042170449160039425,0.22959505021572113,55128.0,61.48878479003906,3.343912646780467e-10,1.5978622938672693e-11,0.0,936520.0,3.883013717015274,0.0,0.0,0.0,27.45216941833496,91.04834747314453,11.85527229309082,1.5764122009277344,3.1353578567504883,0.004998938180506229,18.69890022277832,41.7243766784668,2.958688974380493,25.689441680908203,74.63359832763672,9.03005599975586,16.06474494934082,31.739727020263672,7.577952861785889,0.009982164949178696,0.0170866958796978,0.0006099875899963081,0.004991082474589348,0.0085433479398489,0.0003049930965062231,81.29175567626953,91.04834747314453,11.85527229309082,1.8175846338272095,3.0948128700256348,0.038667138665914536,39.35768508911133,41.7243766784668,2.958688974380493,68.80583953857422,74.63359832763672,9.03005599975586,29.84453582763672,31.71347427368164,7.611597537994385,0.01684260554611683,0.017077118158340454,0.0006137398304417729,0.008421302773058414,0.008538560010492802,0.0003068688965868205,0.0,0.0
2,5500.02294921875,20.097915649414062,17.756547927856445,2.022639513015747,0.18577128648757935,0.1332067996263504,0.18215475976467133,54230.51171875,56.686344146728516,4.559141064675032e-09,8.724725941711142e-10,0.0,52681.234375,7.6188445430016145,0.0,0.0,0.0,26.58460235595703,88.71400451660156,12.386773109436035,1.6454150676727295,3.1355056762695312,0.00509860971942544,18.239173889160156,40.8751335144043,3.394387722015381,27.237926483154297,70.21353149414062,17.06958770751953,25.29599380493164,78.92646789550781,32.879634857177734,0.011182451620697975,0.020810367539525032,0.0023353397846221924,0.005591224879026413,0.010405182838439941,0.0011676695430651307,79.15169525146484,88.71400451660156,12.386773109436035,2.1417782306671143,3.1025524139404297,0.03669401630759239,38.593265533447266,40.8751335144043,3.394387722015381,65.25780487060547,69.41449737548828,18.32373046875,69.39527893066406,78.92597198486328,32.88044738769531,0.02000967226922512,0.020791491493582726,0.0023328782990574837,0.01000483613461256,0.010395744815468788,0.0011664386838674545,0.0,0.0
3,4975.123046875,19.38603973388672,17.092689514160156,1.9572808742523193,0.1956556737422943,0.14039501547813416,0.17222106456756592,49005.09765625,55.00978469848633,6.185174150630246e-09,7.582676153639056e-10,0.0,59986.3828125,11.350813634926453,0.0,0.0,0.0,23.968008041381836,80.32229614257812,16.281675338745117,1.7110226154327393,3.1366400718688965,0.004649312701076269,16.62140655517578,37.202335357666016,7.040475845336914,16.58156394958496,36.26548767089844,10.588890075683594,37.6706428527832,128.30999755859375,52.95830535888672,0.01202634908258915,0.023703521117568016,0.0024557027500122786,0.006013174541294575,0.011851761490106583,0.0012278518406674266,71.65901184082031,80.32229614257812,16.281675338745117,2.099280595779419,3.10060977935791,0.08143936842679977,35.13621139526367,37.202335357666016,7.040475845336914,28.10578155517578,32.539676666259766,11.402156829833984,115.00308227539062,128.30999755859375,52.95830535888672,0.021608607843518257,0.023014917969703674,0.002501904731616378,0.010804304853081703,0.011507458984851837,0.001250952947884798,0.0,0.0
4,3785.60888671875,18.03251075744629,15.896805763244629,1.8570170402526855,0.2035233974456787,0.07519741356372833,0.15492650866508484,37158.51953125,51.732242584228516,1.019663553591954e-08,5.36940658601992e-10,0.0,67158.0390625,15.077309077954851,0.0,0.0,0.0,20.014177322387695,66.26266479492188,19.929399490356445,1.632091999053955,3.136153221130371,0.004999205935746431,13.913724899291992,30.705541610717773,9.686846733093262,11.289502143859863,23.9718017578125,6.971086502075195,33.47412109375,121.06775665283203,71.91189575195312,0.012068849988281727,0.024333488196134567,0.003451777622103691,0.006034424994140863,0.012166744098067284,0.0017258888110518456,59.18070983886719,66.26266479492188,19.929399490356445,1.9396175146102905,3.101706027984619,0.06996124982833862,29.07439422607422,30.705541610717773,9.686846733093262,20.60932159423828,23.262313842773438,7.057745456695557,104.59185028076172,121.06775665283203,71.91189575195312,0.02250148169696331,0.02401888743042946,0.0034542528446763754,0.011250740848481655,0.012009444646537304,0.0017271264223381877,0.0,0.0
5,2348.9619140625,15.460562705993652,13.608020782470703,1.61187744140625,0.1968849003314972,0.0438837856054306,0.1240731030702591,22886.423828125,44.85807418823242,1.3813973076537422e-08,7.450176586765167e-10,0.0,67122.1328125,18.854169031023048,0.0,0.0,0.0,16.919708251953125,54.01935958862305,17.441476821899414,1.5524892807006836,3.1353750228881836,0.0053298878483474255,11.403060913085938,24.397281646728516,8.446026802062988,8.95621109008789,21.840295791625977,6.519355297088623,27.753021240234375,114.71810913085938,93.40613555908203,0.01245806086808443,0.02540946751832962,0.005148552358150482,0.006229030434042215,0.01270473375916481,0.002574276179075241,48.43402862548828,54.01935958862305,17.441476821899414,1.786195993423462,3.0853428840637207,0.12510943412780762,23.094640731811523,24.397275924682617,8.446039199829102,19.654863357543945,21.807979583740234,6.544441223144531,92.66184997558594,114.71659851074219,93.40786743164062,0.02404465340077877,0.025365164503455162,0.005160559434443712,0.012022326700389385,0.012682582251727581,0.002580279717221856,0.0,0.0
6,1204.6751708984375,14.20773983001709,12.546509742736816,1.446225881576538,0.18245109915733337,0.03260220214724541,0.10393046587705612,11495.27734375,40.94241714477539,1.6136540992306436e-08,1.5555372545605906e-09,0.0,28299.841796875,22.59911959397141,0.0,0.0,0.0,17.066225051879883,55.349273681640625,19.101125717163086,1.5086404085159302,3.135239601135254,0.00560491718351841,11.52462100982666,25.634275436401367,9.40853214263916,9.543781280517578,27.796777725219727,8.49937915802002,27.85851287841797,154.45095825195312,159.53628540039062,0.014895586296916008,0.0289359949529171,0.005633835680782795,0.007447793148458004,0.01446799747645855,0.00281691737473011,49.42463302612305,55.349273681640625,19.101125717163086,1.767775058746338,3.1000356674194336,0.03979027271270752,24.125343322753906,25.63094711303711,9.414189338684082,24.578638076782227,27.796777725219727,8.49937915802002,109.63762664794922,154.45095825195312,159.53628540039062,0.027838105335831642,0.028935927897691727,0.005633869674056768,0.013919052667915821,0.014467963948845863,0.0028169346041977406,0.0,0.0
7,1272.6678466796875,13.948882102966309,12.277295112609863,1.4657769203186035,0.17371651530265808,0.03211493417620659,0.10761712491512299,12173.068359375,41.40985870361328,1.9210425250548724e-08,2.9769373632859697e-09,0.0,93211.6328125,26.33300208102446,0.0,0.0,0.0,15.270633697509766,49.04740905761719,17.677324295043945,1.4857664108276367,3.1352124214172363,0.005142787005752325,10.256577491760254,22.473846435546875,8.980201721191406,10.715983390808105,33.66740798950195,13.12407112121582,31.37586784362793,227.0900421142578,328.0851745605469,0.01717366836965084,0.033968765288591385,0.006046582944691181,0.00858683418482542,0.016984382644295692,0.0030232917051762342,43.85026168823242,49.04740905761719,17.677324295043945,1.7217167615890503,3.1012978553771973,0.0291010569781065,21.17277717590332,22.46366310119629,9.002354621887207,29.13827133178711,33.66740798950195,13.12407112121582,143.6468505859375,227.0899200439453,328.0852355957031,0.0326215960085392,0.033968765288591385,0.006046582944691181,0.0163107980042696,0.016984382644295692,0.0030232917051762342,0.0,0.0
8,824.3499145507812,12.28406047821045,10.811368942260742,1.2654972076416016,0.16986514627933502,0.03730122745037079,0.08457251638174057,7755.66552734375,36.48713302612305,2.8901586901497467e-08,5.1378368226551174e-09,0.0,50875.9375,30.073718198924325,0.0,0.0,0.0,12.43764877319336,38.32498550415039,14.188567161560059,1.4620047807693481,3.135314464569092,0.005509240552783012,8.128195762634277,16.908348083496094,7.7174201011657715,11.321907997131348,35.668853759765625,13.07865047454834,27.8949031829834,219.89923095703125,361.23248291015625,0.018448811024427414,0.03728018328547478,0.006357158999890089,0.009224405512213707,0.01864009164273739,0.0031785801984369755,34.4437370300293,38.32498550415039,14.188567161560059,1.6666287183761597,3.1007094383239746,0.03212793543934822,15.980670928955078,16.906553268432617,7.719338893890381,30.908891677856445,35.668853759765625,13.07865047454834,131.14292907714844,219.89865112304688,361.2328186035156,0.035559359937906265,0.03728018328547478,0.006357158999890089,0.017779679968953133,0.01864009164273739,0.0031785801984369755,0.0,0.0
9,346.3617858886719,9.97255802154541,8.8170804977417,0.9500576257705688,0.164828360080719,0.04047560319304466,0.05352333188056946,3074.321044921875,28.95571517944336,5.104721267912282e-08,8.959994524104786e-09,0.0,17127.40625,33.819188187946565,0.0,0.0,0.0,10.540430068969727,31.106727600097656,12.790777206420898,1.450067162513733,3.135169744491577,0.004979622084647417,6.717617511749268,13.315580368041992,6.414189338684082,11.846360206604004,38.274288177490234,20.938812255859375,28.836933135986328,269.7209777832031,642.4011840820312,0.019137004390358925,0.03934469074010849,0.00677351001650095,0.009568502195179462,0.019672345370054245,0.0033867554739117622,28.09360694885254,31.106727600097656,12.790777206420898,1.6420845985412598,3.0985665321350098,0.03309349715709686,12.606552124023438,13.309043884277344,6.4226908683776855,32.53635025024414,38.274288177490234,20.938812255859375,147.5428009033203,269.7209777832031,642.4011840820312,0.03703825920820236,0.03934469074010849,0.00677351001650095,0.01851912960410118,0.019672345370054245,0.0033867554739117622,0.0,0.0
10,193.15794372558594,8.052724838256836,7.126636028289795,0.7205808758735657,0.16229656338691711,0.043176282197237015,0.03480583429336548,1623.5128173828125,22.752595901489258,9.628110575476967e-08,1.685252470906562e-08,0.0,7618.24609375,37.570281793014146,0.0,0.0,0.0,8.907527923583984,25.496253967285156,12.027557373046875,1.4342297315597534,3.134921073913574,0.005295768845826387,5.6573967933654785,11.052145004272461,5.510168075561523,12.393381118774414,41.569786071777344,32.967891693115234,30.450361251831055,339.80389404296875,1087.7269287109375,0.020013317465782166,0.04177899658679962,0.006958032958209515,0.010006659664213657,0.02088949829339981,0.0034790164791047573,23.055465698242188,25.49589729309082,12.028203010559082,1.630843162536621,3.0957894325256348,0.03413728252053261,10.428977966308594,11.029654502868652,5.538323879241943,34.50161361694336,41.569786071777344,32.967891693115234,170.60316467285156,339.80389404296875,1087.7269287109375,0.03897605091333389,0.04177899658679962,0.006958032958209515,0.019488025456666946,0.02088949829339981,0.0034790164791047573,0.0,0.0
