sample_i,training_step,batch_i,dynamics_size_mass_bin,dynamics_thrust_to_weight_bin,dynamics_torque_to_inertia_bin,dynamics_motor_delay_bin,dynamics_curve_shape_bin,dynamics_group_key,rejected_before_accept,mass,thrust_to_weight_ratio,torque_to_inertia_ratio,sampled_tau_rise,sampled_tau_fall,sampled_curve_shape,rotor_torque_constant,inertia_trace,thrust_scale,torque_scale,sampled_parameters_inside_allowed_ranges
0,0,0,0,0,0,0,0,0,0,0.073277,2.19181,316.18,0.0412889,0.0372308,0.098471,0.0286434,0.000235405,3.57666,6.14006,true
1,0,1,1,0,0,0,0,256,0,0.114822,1.73415,157.16,0.0313234,0.0391876,0.0785241,0.0158568,0.000679015,4.43423,3.39911,true
2,0,2,2,0,0,0,0,512,0,0.171398,1.79262,65.2206,0.0338145,0.0682996,0.231444,0.0121643,0.00298183,6.84229,2.60756,true
3,0,3,3,0,0,0,0,768,0,0.231078,1.74828,213.658,0.0373222,0.0803994,0.125643,0.0213004,0.00129256,8.99654,4.56601,true
4,1,0,0,1,0,0,0,64,0,0.0455229,2.98797,154.796,0.0462848,0.0777768,0.215654,0.0187588,0.000356322,3.0291,4.02118,true
5,1,1,1,1,0,0,0,320,0,0.0856835,2.9758,116.31,0.046436,0.0348337,0.05,0.0109663,0.00104786,5.67817,2.35077,true
6,1,2,2,1,0,0,0,576,0,0.154353,2.58184,230.682,0.0415605,0.0605959,0.05,0.0202985,0.00100929,8.87467,4.35122,true
7,1,3,3,1,0,0,0,832,0,0.203794,3.22842,185.819,0.0359297,0.0370844,0.227127,0.0214239,0.00237209,14.6518,4.59248,true
8,2,0,0,2,0,0,0,128,0,0.0477263,3.72074,181.824,0.0359361,0.0315775,0.138975,0.0191305,0.000395782,3.95453,4.10086,true
9,2,1,1,2,0,0,0,384,0,0.105728,3.8043,153.277,0.0417847,0.0769982,0.15705,0.0173224,0.00139169,8.95724,3.71326,true
10,2,2,2,2,0,0,0,640,0,0.159965,3.85139,85.3198,0.0398261,0.0332341,0.08952,0.0105304,0.00433256,13.7198,2.25732,true
11,2,3,3,2,0,0,0,896,0,0.226563,3.82902,311.364,0.0424487,0.07029,0.17188,0.0299214,0.00191107,19.319,6.41401,true
12,3,0,0,3,0,0,0,192,0,0.0467746,4.51088,221.029,0.0429432,0.0441334,0.05,0.0192569,0.000373528,4.69872,4.12794,true
13,3,1,1,3,0,0,0,448,0,0.119538,4.14926,190.302,0.033075,0.0303589,0.243719,0.022145,0.00146678,11.0454,4.74706,true
14,3,2,2,3,0,0,0,704,0,0.148944,4.59298,71.8933,0.0434394,0.0780099,0.05,0.00777312,0.00548241,15.2344,1.66626,true
15,3,3,3,3,0,0,0,960,0,0.22283,4.81117,272.288,0.0373434,0.0738469,0.193272,0.027371,0.00269799,23.8744,5.86731,true
16,4,0,0,0,1,0,0,16,0,0.0238047,1.56539,550.411,0.0348441,0.0641528,0.229809,0.0272716,2.21841e-05,0.829839,5.846,true
17,4,1,1,0,1,0,0,272,0,0.119555,2.29877,503.925,0.0374372,0.0862253,0.190547,0.0227815,0.000303499,6.1203,4.88349,true
18,4,2,2,0,1,0,0,528,0,0.16954,2.35113,544.387,0.0474741,0.0855526,0.05,0.022419,0.0004426,8.87679,4.80578,true
19,4,3,3,0,1,0,0,784,0,0.196232,2.35223,351.305,0.0375596,0.0309952,0.05,0.00730943,0.000832822,10.2792,1.56687,true
20,5,0,0,1,1,0,0,80,0,0.0285138,2.45792,392.772,0.0447304,0.0559602,0.171293,0.0137243,6.13267e-05,1.56074,2.94198,true
21,5,1,1,1,1,0,0,336,0,0.102894,2.62846,430.542,0.0349906,0.0538712,0.12309,0.0155702,0.000327731,6.02281,3.33766,true
22,5,2,2,1,1,0,0,592,0,0.13842,3.17214,503.128,0.0426987,0.0837609,0.05,0.0185782,0.000489954,9.77821,3.98246,true
23,5,3,3,1,1,0,0,848,0,0.217795,2.40522,411.577,0.0419595,0.0319552,0.174406,0.0152534,0.000862066,11.6657,3.26975,true
24,6,0,0,2,1,0,0,144,0,0.0660314,3.92463,451.946,0.0357704,0.0420194,0.19914,0.018942,0.000262286,5.77108,4.06045,true
25,6,1,1,2,1,0,0,400,0,0.0938727,3.27434,419.286,0.0317551,0.0926474,0.213135,0.0167229,0.00037817,6.84496,3.58476,true
26,6,2,2,2,1,0,0,656,0,0.173986,3.70811,469.62,0.0466589,0.056613,0.221999,0.0208276,0.000872157,14.3673,4.46465,true
27,6,3,3,2,1,0,0,912,0,0.221037,3.64132,438.097,0.0358143,0.0779489,0.144114,0.0166294,0.00124239,17.9239,3.56472,true
28,7,0,0,3,1,0,0,208,0,0.0291123,4.65456,544.525,0.0473321,0.066699,0.193479,0.0259974,8.65308e-05,3.01761,5.57287,true
29,7,1,1,3,1,0,0,464,0,0.0943911,4.65199,355.809,0.0474094,0.0424811,0.0554167,0.00824934,0.000616457,9.77863,1.76835,true
30,7,2,2,3,1,0,0,720,0,0.178351,4.48996,591.466,0.0440115,0.044537,0.233301,0.0305355,0.000868736,17.833,6.54565,true
31,7,3,3,3,1,0,0,976,0,0.202002,4.44116,579.419,0.0460178,0.0946242,0.202573,0.0289094,0.00102887,19.9784,6.19709,true
32,8,0,0,0,2,0,0,32,0,0.07207,1.53313,765.011,0.0310077,0.0497778,0.05,0.0162834,6.51601e-05,2.4606,3.49056,true
33,8,1,1,0,2,0,0,288,0,0.0932322,1.82165,636.153,0.0371299,0.0498357,0.05,0.00706484,0.000132246,3.78215,1.51444,true
34,8,2,2,0,2,0,0,544,0,0.185227,2.33447,812.961,0.0383466,0.0423984,0.0695596,0.0215362,0.000333665,9.62943,4.61655,true
35,8,3,3,0,2,0,0,800,0,0.220172,1.89544,806.574,0.046401,0.0375091,0.105458,0.0218484,0.000346525,9.29353,4.68346,true
36,9,0,0,1,2,0,0,96,0,0.0390878,3.12045,852.403,0.0447744,0.0310616,0.222627,0.0280403,5.52318e-05,2.71623,6.01079,true
37,9,1,1,1,2,0,0,352,0,0.0969774,3.2033,748.703,0.0369885,0.0368567,0.227095,0.0200953,0.000217014,6.91794,4.30767,true
38,9,2,2,1,2,0,0,608,0,0.139909,3.22491,778.266,0.0349809,0.0603295,0.226849,0.0223833,0.00034261,10.0478,4.79815,true
39,9,3,3,1,2,0,0,864,0,0.243214,2.85004,887.526,0.0421113,0.0405401,0.191858,0.0300732,0.000550863,15.4364,6.44655,true
40,10,0,0,2,2,0,0,160,0,0.0356357,3.803,724.004,0.033686,0.0678101,0.086279,0.0150106,6.80357e-05,3.01799,3.2177,true
41,10,1,1,2,2,0,0,416,0,0.0853041,3.66034,748.861,0.0323346,0.0356548,0.242111,0.0204453,0.000209619,6.95344,4.38271,true
42,10,2,2,2,2,0,0,672,0,0.144821,3.42255,791.871,0.042093,0.0819494,0.143451,0.0215624,0.000367585,11.038,4.62217,true
43,10,3,3,2,2,0,0,928,0,0.242157,4.00272,690.944,0.0386141,0.0724985,0.120384,0.0132129,0.000972965,21.5854,2.83235,true
44,11,0,0,3,2,0,0,224,0,0.0277313,4.57667,806.43,0.0451065,0.038442,0.246032,0.0250001,5.44485e-05,2.82636,5.35907,true
45,11,1,1,3,2,0,0,480,0,0.0779674,4.40611,693.324,0.0346988,0.0451099,0.05,0.0116166,0.000231502,7.65027,2.49015,true
46,11,2,2,3,2,0,0,736,0,0.185616,4.1339,900.614,0.0385784,0.0357828,0.05,0.0270276,0.000528034,17.0877,5.7937,true
47,11,3,3,3,2,0,0,992,0,0.207505,4.44066,805.593,0.0412626,0.0498917,0.0694965,0.0209631,0.00074522,20.5204,4.4937,true
48,12,0,0,0,3,0,0,48,0,0.0337593,2.01673,1053.21,0.0366593,0.0482017,0.175631,0.0200629,2.35257e-05,1.51617,4.30074,true
49,12,1,1,0,3,0,0,304,0,0.103384,1.97525,1093.63,0.0300891,0.0538541,0.0856506,0.0211744,9.6783e-05,4.54759,4.53898,true
50,12,2,2,0,3,0,0,560,0,0.150243,1.61656,956.722,0.0463989,0.0435731,0.201209,0.0131522,0.000152798,5.4087,2.81933,true
51,12,3,3,0,3,0,0,816,0,0.246142,2.2539,963.76,0.0445893,0.092988,0.0890601,0.0111749,0.000398702,12.3546,2.39548,true
52,13,0,0,1,3,0,0,112,0,0.0427627,2.6231,1026.8,0.0348061,0.0876746,0.137858,0.0171636,4.26691e-05,2.49798,3.67923,true
53,13,1,1,1,3,0,0,368,0,0.0865883,3.01453,1038.21,0.0407555,0.0425089,0.0990161,0.0171751,0.000123194,5.81283,3.6817,true
54,13,2,2,1,3,0,0,624,0,0.149183,2.8071,1072.06,0.0468686,0.0787675,0.161235,0.0212015,0.000232565,9.32578,4.5448,true
55,13,3,3,1,3,0,0,880,0,0.219099,2.9796,1190.63,0.035413,0.0396653,0.05,0.0277506,0.000361686,14.5381,5.94868,true
56,14,0,0,2,3,0,0,176,0,0.0245638,3.82915,1177,0.0375922,0.0918537,0.05,0.0260493,2.52585e-05,2.09462,5.58398,true
57,14,1,1,2,3,0,0,432,0,0.103189,3.30491,1044.89,0.0320068,0.0844554,0.05,0.0155412,0.000166029,7.59453,3.33144,true
58,14,2,2,2,3,0,0,688,0,0.188516,3.5925,1197.09,0.034203,0.0962849,0.171611,0.0311354,0.00036496,15.0818,6.67426,true
59,14,3,3,2,3,0,0,944,0,0.249368,3.33024,961.455,0.0355746,0.0854477,0.05,0.00981443,0.000593978,18.4937,2.10384,true
60,15,0,0,3,3,0,0,240,0,0.0496759,4.17573,1185.46,0.0324293,0.0746149,0.233788,0.0316317,7.33323e-05,4.6194,6.78065,true
61,15,1,1,3,3,0,0,496,0,0.127519,4.42671,993.886,0.0388177,0.0939741,0.15805,0.0150645,0.000320695,12.5708,3.22926,true
62,15,2,2,3,3,0,0,752,0,0.156187,4.50532,1178.14,0.0381909,0.0870773,0.157463,0.0293466,0.000360786,15.6703,6.2908,true
63,15,3,3,3,3,0,0,1008,0,0.200928,4.86045,914.287,0.0317084,0.0479221,0.18546,0.00950545,0.000705956,21.7482,2.03761,true
64,16,0,0,0,0,1,0,4,0,0.0272968,2.09019,156.604,0.0571507,0.111378,0.080412,0.0158562,0.000121008,1.27059,3.39896,true
